
[00:00:00.000 --> 00:00:05.040]  今天我們所讀的經文是在以弗所書的第三章14-21節
[00:00:05.040 --> 00:00:09.920]  以弗所書可以說是保羅坐牢的時候寫的一封書信
[00:00:09.920 --> 00:00:15.360]  整個以弗所書可以說是講述一個救恩的道理
[00:00:15.360 --> 00:00:20.280]  這個救恩如何打破猶太人和外邦人的隔閡
[00:00:20.280 --> 00:00:22.080]  這個很強的觀念
[00:00:22.080 --> 00:00:24.400]  上帝直著耶穌的死
[00:00:24.400 --> 00:00:31.320]  將世人變成一個身體 一同的可有機會敬拜上帝
[00:00:31.320 --> 00:00:35.120]  在第三章保羅延續這個救恩的主題
[00:00:35.120 --> 00:00:39.240]  他在這裡解釋他自己就是外邦人的仕途身份
[00:00:39.240 --> 00:00:43.360]  我就是向外邦人傳講福音
[00:00:43.360 --> 00:00:47.960]  在第三章14-19節保羅有一個禱告
[00:00:47.960 --> 00:00:53.240]  當他見到上帝直著耶穌拯救地上的人
[00:00:53.240 --> 00:00:56.720]  外邦人上帝也拯救 猶太人上帝也拯救
[00:00:56.720 --> 00:01:01.240]  保羅在這裡為一群信了耶穌的人祈禱
[00:01:01.240 --> 00:01:05.080]  求上帝保守他們這一群人
[00:01:05.080 --> 00:01:08.280]  能夠在地上無論遇到什麼困難
[00:01:08.280 --> 00:01:13.720]  仍然能夠堅定地去跟從這位愛他們的主
[00:01:13.720 --> 00:01:17.720]  在20-21節保羅在這裡有一個重讚
[00:01:17.720 --> 00:01:19.920]  他在這裡看到上帝直著他的靈
[00:01:19.920 --> 00:01:22.880]  如何保守一群相信他的人
[00:01:22.880 --> 00:01:28.760]  以至這一群人在地上有能力去跟從耶穌的時候
[00:01:28.760 --> 00:01:33.160]  他為了這件事去重讚上帝的慈愛
[00:01:33.160 --> 00:01:35.600]  也歌頌上帝自己的榮耀
[00:01:35.600 --> 00:01:38.160]  看到上帝在這群人身上
[00:01:38.160 --> 00:01:40.760]  彰顯了奇妙的一局作為
[00:01:40.760 --> 00:01:42.880]  這段經文可以說是說
[00:01:42.880 --> 00:01:47.840]  保羅為了一群信徒的靈命成長有一個祈求
[00:01:47.840 --> 00:01:51.120]  他更加去講究竟一群信耶穌的人
[00:01:51.120 --> 00:01:54.800]  生命成長的基礎究竟是什麼呢
[00:01:54.800 --> 00:01:58.600]  接著繼續說為什麼我們要成長呢
[00:01:58.600 --> 00:02:00.880]  為什麼我們生命要成熟呢
[00:02:00.880 --> 00:02:04.320]  他們也說了一個很終極的目標
[00:02:04.320 --> 00:02:08.040]  在第三章14-15節保羅這樣說
[00:02:08.040 --> 00:02:10.520]  因此我在父面前屈膝
[00:02:10.520 --> 00:02:14.160]  天上地上的國家都是從他得名
[00:02:14.160 --> 00:02:18.640]  在第三章14-19節其實只有一句句子
[00:02:18.640 --> 00:02:23.760]  保羅就像在《爾忽所書》第一章3-14節
[00:02:23.760 --> 00:02:25.920]  中文是很長的經文
[00:02:25.920 --> 00:02:30.000]  但在原來的語言只有一句話
[00:02:30.000 --> 00:02:33.040]  保羅在這裡同樣用了這樣的方法
[00:02:33.040 --> 00:02:35.520]  幾節的經文其實一句話
[00:02:35.520 --> 00:02:36.800]  結構很緊密
[00:02:36.800 --> 00:02:42.960]  帶出了一些很重要的信仰的內容
[00:02:42.960 --> 00:02:45.280]  在這裡保羅說為者緣故
[00:02:45.280 --> 00:02:46.240]  為什麼緣故呢
[00:02:46.240 --> 00:02:47.520]  就是為你祈禱
[00:02:47.520 --> 00:02:50.400]  其實也在延續第三章的第一節
[00:02:50.400 --> 00:02:52.000]  因為保羅一開始說
[00:02:52.000 --> 00:02:55.280]  我作為愛國人的使徒為你們祈禱
[00:02:55.280 --> 00:02:57.280]  接著怎麼為你們祈禱呢
[00:02:57.280 --> 00:02:58.800]  保羅就在這裡說
[00:02:58.800 --> 00:03:05.920]  首先他說因著上帝所設立的救恩計劃
[00:03:05.920 --> 00:03:08.720]  在第二章已經很清楚的說
[00:03:08.720 --> 00:03:10.720]  上帝藉著耶穌
[00:03:10.720 --> 00:03:15.040]  去將地上不同種族的人聯成為一體
[00:03:15.040 --> 00:03:18.880]  這個救恩是上帝奇妙的一個作為
[00:03:18.880 --> 00:03:21.120]  所以保羅在這裡看到
[00:03:21.120 --> 00:03:23.120]  上帝藉著他的令
[00:03:23.120 --> 00:03:26.480]  也讓不同的人有機會相信
[00:03:26.480 --> 00:03:32.400]  他在這裡為上帝這個救恩計劃獻上感恩
[00:03:32.400 --> 00:03:34.880]  也為一群相信耶穌的人
[00:03:34.880 --> 00:03:37.760]  為他們祈禱
[00:03:37.760 --> 00:03:40.080]  這個祈禱的對象是什麼呢
[00:03:40.080 --> 00:03:43.200]  保羅說這是天上地上的國家
[00:03:43.200 --> 00:03:46.960]  這裡可能保羅指的是天上的聖徒
[00:03:46.960 --> 00:03:48.960]  地上當代的信徒
[00:03:48.960 --> 00:03:50.960]  所有相信耶穌的人
[00:03:50.960 --> 00:03:55.200]  都在上帝的看顧大令當中
[00:03:55.200 --> 00:03:56.480]  這個上帝
[00:03:56.480 --> 00:03:58.800]  也可以更廣泛的說
[00:03:58.800 --> 00:04:00.800]  天上地上的國家
[00:04:00.800 --> 00:04:04.560]  可能指的是所有來源的根源
[00:04:04.560 --> 00:04:06.800]  其實最後都在上帝那裡
[00:04:06.800 --> 00:04:09.360]  上帝就是掌管天地的主
[00:04:09.360 --> 00:04:13.120]  現在我就是向這個上帝有一個禱告
[00:04:13.120 --> 00:04:15.120]  在第十六十七節
[00:04:15.120 --> 00:04:16.640]  保羅怎麼祈求呢
[00:04:16.640 --> 00:04:19.200]  求他按著他封聖的榮耀
[00:04:19.200 --> 00:04:20.320]  藉著他的靈
[00:04:20.320 --> 00:04:22.960]  叫你們心裡的力量剛強起來
[00:04:22.960 --> 00:04:25.920]  使基督因你們的信住在你們心裡
[00:04:25.920 --> 00:04:28.560]  叫你們的愛心有根有機
[00:04:28.560 --> 00:04:32.160]  十六至十九節就是可以說祈禱的兩部分
[00:04:32.160 --> 00:04:34.400]  在這裡保羅祈求
[00:04:34.400 --> 00:04:38.640]  上帝的大能力賜給一群信徒
[00:04:38.640 --> 00:04:41.200]  受惠的就是相信耶穌的人
[00:04:41.200 --> 00:04:46.160]  當上帝的能力臨到這群信徒身上的時候
[00:04:46.160 --> 00:04:49.520]  這群信徒的生命就會剛強
[00:04:49.520 --> 00:04:53.520]  就會更有力量的去跟從上帝
[00:04:53.520 --> 00:04:54.640]  在這裡
[00:04:54.640 --> 00:04:57.920]  這個信徒的生命怎麼去成長呢
[00:04:57.920 --> 00:05:00.640]  保羅說裡面的人
[00:05:00.640 --> 00:05:02.720]  相信耶穌的人重生了
[00:05:02.720 --> 00:05:04.240]  我們有一個新的生命
[00:05:04.240 --> 00:05:07.600]  裡面的人是會茁壯成長的
[00:05:07.600 --> 00:05:10.000]  這個能力是幫助裡面的人
[00:05:10.000 --> 00:05:11.600]  茁壯成長
[00:05:11.600 --> 00:05:13.200]  怎麼可以茁壯成長呢
[00:05:13.200 --> 00:05:15.120]  就是藉著聖靈
[00:05:15.120 --> 00:05:16.560]  藉著上帝的靈
[00:05:16.560 --> 00:05:19.600]  所以信徒的生命的成長不是靠自己的
[00:05:19.600 --> 00:05:21.600]  不是我意志很堅定
[00:05:21.600 --> 00:05:22.720]  死就死啦
[00:05:22.720 --> 00:05:23.920]  衝就衝啦
[00:05:23.920 --> 00:05:25.200]  不是靠自己的
[00:05:25.200 --> 00:05:26.160]  保羅在這裡說
[00:05:26.160 --> 00:05:27.920]  藉著一個靈
[00:05:27.920 --> 00:05:32.720]  去幫助我們心中的力量能夠剛強起來
[00:05:32.720 --> 00:05:34.240]  在這裡
[00:05:34.240 --> 00:05:36.480]  保羅帶出了可以說
[00:05:36.480 --> 00:05:41.440]  聖靈的工作和耶穌的工作其實很緊密在一起
[00:05:41.440 --> 00:05:42.400]  也可以這麼說
[00:05:42.400 --> 00:05:48.400]  聖靈的工作就是讓我們能夠在生命當中稱耶穌為主
[00:05:48.400 --> 00:05:52.560]  我們為什麼可以告訴別人耶穌是我生命的主呢
[00:05:52.560 --> 00:05:53.920]  是聖靈的工作
[00:05:53.920 --> 00:05:58.240]  聖靈就是彰顯耶穌這個身份
[00:05:58.240 --> 00:06:00.320]  保羅在這裡不是說
[00:06:00.320 --> 00:06:01.760]  未信耶穌的人
[00:06:01.760 --> 00:06:02.880]  接著信耶穌了
[00:06:02.880 --> 00:06:04.640]  那麼耶穌就住在你心中了
[00:06:04.640 --> 00:06:07.200]  我們很多時候跟長者傳婚都是這樣
[00:06:07.200 --> 00:06:08.560]  跟他們祈禱之後
[00:06:08.560 --> 00:06:09.280]  接著說
[00:06:09.280 --> 00:06:10.480]  現在耶穌在哪裡
