
[00:00:00.000 --> 00:00:03.080]  各位弟兄姊妹 各位朋友 轉內平安
[00:00:03.080 --> 00:00:05.080]  (轉內平安)
[00:00:05.080 --> 00:00:08.800]  今天講到的經文是記載在45章1至15節
[00:00:08.800 --> 00:00:11.600]  很感謝凱耀剛才很用心地讀出來
[00:00:11.600 --> 00:00:14.600]  15節的經文其實都頗長的 多謝他
[00:00:14.600 --> 00:00:19.000]  剛才讀出來的經文 我相信大家都很用心去聽
[00:00:19.000 --> 00:00:23.400]  裏面提到就是約瑟當他知道他那班哥哥
[00:00:23.400 --> 00:00:25.400]  他們真是真心去悔改
[00:00:25.400 --> 00:00:28.000]  很關心 很愛他們的父親
[00:00:28.000 --> 00:00:30.400]  亦都很重視手足之情的時候
[00:00:30.400 --> 00:00:34.200]  他就向當初用20塊的銀紙
[00:00:34.200 --> 00:00:38.800]  將他埋到埃及去做奴隸的那班哥哥們
[00:00:38.800 --> 00:00:40.800]  他去揭示他自己的身份
[00:00:40.800 --> 00:00:45.600]  兄弟相認 大家抱在一起
[00:00:45.600 --> 00:00:48.000]  過去的仇恨一筆勾銷
[00:00:48.000 --> 00:00:50.600]  我們見到的就是一個很感人
[00:00:50.600 --> 00:00:53.600]  一個大團圓 很歡樂的畫面
[00:00:55.400 --> 00:00:58.400]  而在15節的經文裏面 如果大家有留意到
[00:00:58.400 --> 00:01:01.800]  很多時候是約瑟他講的說話
[00:01:01.800 --> 00:01:06.000]  大家計算一下 原來15節裏面有11節
[00:01:06.000 --> 00:01:09.400]  是約瑟和他那班兄弟講的內容
[00:01:09.400 --> 00:01:13.800]  而當中有一句說話 意思是差不多的
[00:01:13.800 --> 00:01:18.400]  連續在第5至第8節 這4節裏面
[00:01:18.400 --> 00:01:20.600]  是出現了3次的
[00:01:20.600 --> 00:01:22.600]  不知道大家是否看到
[00:01:23.400 --> 00:01:26.400]  有2次的字眼是一模一樣的
[00:01:26.400 --> 00:01:27.800]  Copy and paste
[00:01:27.800 --> 00:01:33.200]  第3節只差一點點 不過也99%相似
[00:01:33.200 --> 00:01:36.000]  大家有沒有留意到呢
[00:01:36.000 --> 00:01:39.600]  我看到有些人點頭 那就揭曉一下
[00:01:39.600 --> 00:01:43.800]  就是這3句說話
[00:01:43.800 --> 00:01:47.200]  第5和第7節裏面是一模一樣
[00:01:47.200 --> 00:01:49.800]  就是「神差我再,你無以先來」
[00:01:49.800 --> 00:01:51.800]  而去到第8節的時候
[00:01:51.800 --> 00:01:55.400]  他就說「差我到這裏來的,不是你們,乃是神」
[00:01:55.400 --> 00:01:59.200]  重要的字程要講3次
[00:01:59.200 --> 00:02:02.800]  他看到這3句說話很重要
[00:02:02.800 --> 00:02:06.400]  而這3句說話如果我們要做一個濃縮
