
[00:00:00.000 --> 00:00:04.000]  我們很多人的家庭都有一個掛牌
[00:00:04.000 --> 00:00:06.400]  這個牌很多時候都寫著一句話
[00:00:06.400 --> 00:00:10.800]  叫做「基督是我家之主」
[00:00:10.800 --> 00:00:12.400]  你們不知道有沒有
[00:00:12.400 --> 00:00:14.800]  可能有一些大的一些小的牌
[00:00:14.800 --> 00:00:16.800]  這個牌不斷告訴我們知道
[00:00:16.800 --> 00:00:20.400]  我們的家庭是上帝所看顧的
[00:00:20.400 --> 00:00:22.400]  因為是屬於主的家庭
[00:00:22.400 --> 00:00:26.000]  所以上帝會保守會引導我們家庭
[00:00:26.000 --> 00:00:29.900]  而你也發覺這句話常常提醒很多教徒
[00:00:29.900 --> 00:00:32.200]  就是不單止知道神的保守
[00:00:32.200 --> 00:00:37.000]  也知道凡事按照主的意思來行
[00:00:37.000 --> 00:00:39.000]  在家庭的生活裏面
[00:00:39.000 --> 00:00:41.400]  常常知道聽主耶穌的話
[00:00:41.400 --> 00:00:45.000]  按他的意思來彼此相處相待
[00:00:45.000 --> 00:00:48.000]  也都按他的意思來愛我們的家人
[00:00:48.000 --> 00:00:51.000]  這個正正是今天我們一起思想的方向
[00:00:51.000 --> 00:00:55.000]  我想我就不要再說字了
[00:00:55.000 --> 00:00:57.000]  如果不是小朋友會很失望的
[00:00:57.000 --> 00:00:59.000]  小朋友你知不知道
[00:00:59.000 --> 00:01:02.000]  通常我們家庭主人會做甚麼的?
[00:01:02.000 --> 00:01:04.000]  我們會說故事
[00:01:04.000 --> 00:01:08.000]  那你猜今天說甚麼故事呢?
[00:01:08.000 --> 00:01:15.000]  先坐下吧
[00:01:15.000 --> 00:01:23.000]  接著我就先介紹今天的小說
[00:01:23.000 --> 00:01:24.000]  不是小說
[00:01:24.000 --> 00:01:27.000]  故事的主角給大家聽
[00:01:27.000 --> 00:01:29.000]  這個主角是誰呢?
[00:01:29.000 --> 00:01:33.000]  這個主角原來叫做小熊
[00:01:33.000 --> 00:01:37.000]  每個人都叫小熊做小熊哥
[00:01:37.000 --> 00:01:39.000]  他很有威勢的
[00:01:39.000 --> 00:01:41.000]  一坐下就很穩固
[00:01:41.000 --> 00:01:45.000]  小熊哥原來和爸爸媽媽住在一間大屋裏
[00:01:45.000 --> 00:01:47.000]  有兩層
[00:01:47.000 --> 00:01:48.000]  爸爸媽媽住樓上
[00:01:48.000 --> 00:01:50.000]  他們住樓下
[00:01:50.000 --> 00:01:51.000]  但這間屋很大
[00:01:51.000 --> 00:01:54.000]  樓下有五間房
[00:01:54.000 --> 00:01:57.000]  全部給小熊用
[00:01:57.000 --> 00:01:59.000]  小熊很開心
[00:01:59.000 --> 00:02:02.000]  他住在屋裏很舒服
[00:02:02.000 --> 00:02:05.000]  他們住在森林裏
[00:02:05.000 --> 00:02:08.000]  有一次小熊走出來
[00:02:08.000 --> 00:02:10.000]  到樹林周圍走
[00:02:10.000 --> 00:02:13.000]  突然間他很驚訝
[00:02:13.000 --> 00:02:16.000]  見到一個很少見到的人物
[00:02:16.000 --> 00:02:18.000]  你猜他是誰呢?
[00:02:19.000 --> 00:02:24.000]  嘩!是獅王
[00:02:24.000 --> 00:02:26.000]  小熊見到他
[00:02:26.000 --> 00:02:27.000]  尊敬的獅王
[00:02:27.000 --> 00:02:30.000]  為甚麼會在這裏見到你呢?
[00:02:30.000 --> 00:02:32.000]  你知不知道
[00:02:32.000 --> 00:02:34.000]  我有間大屋
[00:02:34.000 --> 00:02:35.000]  我有五間房
[00:02:35.000 --> 00:02:36.000]  告訴你
[00:02:36.000 --> 00:02:38.000]  一間是寶物房
[00:02:38.000 --> 00:02:41.000]  一間是玩具房
[00:02:41.000 --> 00:02:44.000]  一間是朋友遊戲一起玩的房
[00:02:44.000 --> 00:02:47.000]  還有一間是發癲房
[00:02:47.000 --> 00:02:49.000]  那間房
