
[00:00:00.000 --> 00:00:04.000]  我想大家這段時間常常看新聞報紙
[00:00:04.000 --> 00:00:06.000]  最常看到的是什麼訊息呢?
[00:00:06.000 --> 00:00:10.000]  日本的核輻射的事情
[00:00:10.000 --> 00:00:14.000]  可能大家都留意到近兩天也有新的地震事件
[00:00:14.000 --> 00:00:18.000]  緬甸七級地震是令我們很驚訝的
[00:00:18.000 --> 00:00:22.000]  一個很少聽聞有特別的大地震的地區
[00:00:22.000 --> 00:00:28.000]  也給我們感覺是一個很頻繁地震的時代
[00:00:28.000 --> 00:00:30.000]  當你看到這些事情的時候
[00:00:30.000 --> 00:00:32.000]  可能大家會想起聖經的說話
[00:00:32.000 --> 00:00:35.000]  聖經說天地都會廢去
[00:00:35.000 --> 00:00:40.000]  但是神的話一點一滑都不會廢去
[00:00:40.000 --> 00:00:44.000]  聖經清楚說到神的話是永存的
[00:00:44.000 --> 00:00:47.000]  是不會消失的
[00:00:47.000 --> 00:00:49.000]  這個世界消失
[00:00:49.000 --> 00:00:51.000]  神的話都不會改變
[00:00:51.000 --> 00:00:53.000]  是永恆的道
[00:00:53.000 --> 00:00:55.000]  而聖經說你和我得到重生
[00:00:55.000 --> 00:01:00.000]  比起前書所說是因為神的永存的道
[00:01:00.000 --> 00:01:05.000]  是因為神自己的永活長存的真道
[00:01:05.000 --> 00:01:11.000]  聖經說當我們領受這個不能壞的種子
[00:01:11.000 --> 00:01:13.000]  這粒種子是不會壞
[00:01:13.000 --> 00:01:17.000]  而且會不斷長出榮耀的生命
[00:01:17.000 --> 00:01:20.000]  而你和我就因為這樣而蒙了重生
[00:01:20.000 --> 00:01:23.000]  所以它已經接回我們的生命
[00:01:23.000 --> 00:01:25.000]  是有一種永恆性
[00:01:25.000 --> 00:01:31.000]  是因為神的道帶給我們永生
[00:01:31.000 --> 00:01:33.000]  人生的路上有一個很清楚的方向
[00:01:33.000 --> 00:01:37.000]  如果你記得當保羅離開世界之前
[00:01:37.000 --> 00:01:41.000]  他就說到他已經完成地上的日子
[00:01:41.000 --> 00:01:43.000]  他用三方面描寫
[00:01:43.000 --> 00:01:46.000]  他說我要打的仗已經打過了
[00:01:46.000 --> 00:01:49.000]  當跑的路已經跑盡了
[00:01:49.000 --> 00:01:51.000]  最後是什麼?
[00:01:51.000 --> 00:01:55.000]  所信的道已經守著了
[00:01:55.000 --> 00:01:57.000]  他領受永存的道
[00:01:57.000 --> 00:01:59.000]  生命得到重生
[00:01:59.000 --> 00:02:03.000]  一生他的目標就是要持守著神的道
[00:02:03.000 --> 00:02:05.000]  到他離開世界的時候
[00:02:05.000 --> 00:02:07.000]  他就說我所信的道已經守著了
[00:02:07.000 --> 00:02:10.000]  他就很安心來到見主
[00:02:10.000 --> 00:02:11.000]  各位弟兄姊妹
[00:02:11.000 --> 00:02:14.000]  這應該是我們人生的目標
[00:02:14.000 --> 00:02:18.000]  願你的目標都是一生持守神的道
[00:02:18.000 --> 00:02:20.000]  在你的生命當中
[00:02:20.000 --> 00:02:23.000]  但你發覺英國世代
[00:02:23.000 --> 00:02:26.000]  是不容易讓我們持守神的道
[00:02:26.000 --> 00:02:28.000]  所以大家先看看聖經
[00:02:28.000 --> 00:02:31.000]  我們先看後面的第三章
