
[00:00:00.000 --> 00:00:04.360]  在初期教會面對其中一個很大的問題
[00:00:04.360 --> 00:00:07.120]  就是因為耶穌在人的肉身來說
[00:00:07.120 --> 00:00:08.960]  祂是以色列人的後裔
[00:00:08.960 --> 00:00:10.760]  祂是大衛的後裔
[00:00:10.760 --> 00:00:15.000]  跟從耶穌的一群門徒其實都是一群猶太人
[00:00:15.000 --> 00:00:18.200]  所以可以說領受上帝恩典
[00:00:18.200 --> 00:00:20.120]  領受上帝福音恩典的第一批人
[00:00:20.120 --> 00:00:22.120]  都是猶太人的群體
[00:00:22.120 --> 00:00:24.480]  當時這一群猶太人的群體
[00:00:24.480 --> 00:00:26.280]  就去問一個問題
[00:00:26.280 --> 00:00:30.360]  究竟上帝這個拯救的恩典
[00:00:30.360 --> 00:00:32.680]  單是臨到我們猶太人
[00:00:32.680 --> 00:00:36.680]  還是臨到猶太人以外的群體呢?
[00:00:36.680 --> 00:00:39.000]  在《善行傳》第十章
[00:00:39.000 --> 00:00:41.160]  可以說上帝用了一個很特別的方式
[00:00:41.160 --> 00:00:43.960]  讓當時的教會信徒明白
[00:00:43.960 --> 00:00:46.960]  上帝的恩典不單臨到以色列人
[00:00:46.960 --> 00:00:49.480]  是臨到地上每一個人
[00:00:49.480 --> 00:00:52.360]  在《善行傳》第十章
[00:00:52.360 --> 00:00:54.680]  講到一個外邦人叫哥尼留
[00:00:54.680 --> 00:00:57.960]  去歸順耶穌的事蹟
[00:00:57.960 --> 00:00:59.800]  在事蹟裏面
[00:00:59.800 --> 00:01:02.680]  上帝首先給哥尼留一個異象
[00:01:02.680 --> 00:01:06.000]  讓他知道你要去找彼得
[00:01:06.000 --> 00:01:11.120]  來到你家裏面去述說上帝的道
[00:01:11.120 --> 00:01:13.080]  然後第二個異象就是給彼得
[00:01:13.080 --> 00:01:16.120]  讓彼得在異象當中知道
[00:01:16.120 --> 00:01:19.360]  其實禮儀上的潔淨和不潔淨
[00:01:19.360 --> 00:01:22.040]  應該要去廢除這些看法
[00:01:22.040 --> 00:01:24.600]  上帝看為潔淨的就是潔淨
[00:01:24.600 --> 00:01:26.800]  不是因為他與生俱來
[00:01:26.800 --> 00:01:29.040]  就有潔淨和不潔淨的分別
[00:01:29.040 --> 00:01:32.480]  上帝說潔淨的那些就是潔淨
[00:01:32.480 --> 00:01:33.760]  預備彼得的心
[00:01:33.760 --> 00:01:35.800]  然後就去到哥尼留的家裏面
[00:01:35.800 --> 00:01:37.920]  去傳講福音
[00:01:37.920 --> 00:01:41.040]  然後在傳講福音的過程裏面
[00:01:41.040 --> 00:01:44.880]  這班外邦人用信心去接受福音
[00:01:44.880 --> 00:01:45.920]  聲靈降下
[00:01:45.920 --> 00:01:47.440]  他們可以講方言
[00:01:47.440 --> 00:01:52.280]  證據顯明上帝的拯救恩典
[00:01:52.280 --> 00:01:57.240]  是同樣淋到外邦人的身上
[00:01:57.240 --> 00:02:02.680]  我們仔細地去看今天所讀的經文
[00:02:02.680 --> 00:02:04.720]  在第34、35節開始
[00:02:04.720 --> 00:02:06.040]  彼得就在說
[00:02:06.040 --> 00:02:09.240]  他說看出神並不偏待人
[00:02:09.240 --> 00:02:10.400]  上帝不偏待人
[00:02:10.400 --> 00:02:14.400]  上帝恩待地上每一個人
[00:02:14.400 --> 00:02:18.440]  然後第36至38節就說出了
[00:02:18.440 --> 00:02:19.960]  上帝如何不偏待人
[00:02:19.960 --> 00:02:23.240]  藉著什麼方法不偏待任何一個人
[00:02:23.240 --> 00:02:24.960]  就在36至38節這樣說
[00:02:24.960 --> 00:02:50.600]  (看著福音)
[00:02:50.600 --> 00:02:52.320]  在這裏去說
[00:02:52.320 --> 00:02:55.320]  福音首先淋到以色列人
[00:02:55.320 --> 00:02:56.200]  可以這樣說
[00:02:56.200 --> 00:02:58.280]  不過也不單止淋到以色列人
[00:02:58.280 --> 00:03:00.480]  是淋到地上每一個人
[00:03:00.480 --> 00:03:03.560]  耶穌來到作為一個平安和平之主
[00:03:03.560 --> 00:03:07.360]  使人能夠有機會去認識上帝
[00:03:07.360 --> 00:03:12.320]  其實在耶穌的生開始的時候
[00:03:12.320 --> 00:03:13.960]  這個和平的福音
[00:03:13.960 --> 00:03:16.440]  和平的信息就已經開始了
[00:03:16.440 --> 00:03:18.920]  不是說耶穌受死復活之後
[00:03:18.920 --> 00:03:21.680]  和平的福音才開始
[00:03:21.680 --> 00:03:22.960]  耶穌來到地上已經說
[00:03:22.960 --> 00:03:25.600]  天國近了,你不應當悔改
[00:03:25.600 --> 00:03:29.480]  所以可以說從耶穌降生之後
[00:03:29.480 --> 00:03:32.240]  就已經開始了和平的
[00:03:32.240 --> 00:03:34.760]  一個陰典的信息的開始
[00:03:34.760 --> 00:03:36.640]  接著彼得在說
[00:03:36.640 --> 00:03:39.880]  耶穌在地上作為人的角度去說
[00:03:39.880 --> 00:03:41.320]  祂被聖靈高沒
[00:03:41.320 --> 00:03:43.440]  祂有上帝給祂的能力
[00:03:43.440 --> 00:03:47.680]  能夠勝過撒旦的勢力
[00:03:47.680 --> 00:03:51.080]  所以耶穌在地上直著神蹟騎士
[00:03:51.080 --> 00:03:53.240]  直著醫病,直著趕鬼
[00:03:53.240 --> 00:03:59.720]  去顯明祂有能力去壓制撒旦的力量
[00:03:59.720 --> 00:04:03.040]  能夠被撒旦的力量壓制的人
[00:04:03.040 --> 00:04:04.680]  能夠被拯救過來
[00:04:04.680 --> 00:04:07.320]  能夠再一次地跟從上帝
[00:04:07.320 --> 00:04:12.160]  得著平安和平的福氣
[00:04:12.160 --> 00:04:14.560]  耶穌很簡短地說出了
[00:04:14.560 --> 00:04:17.800]  耶穌在地上所作的一切
