
[00:00:00.000 --> 00:00:03.360]  大家會知道我們在今年特別強調
[00:00:03.360 --> 00:00:06.920]  我們一起學習如何得著基督
[00:00:06.920 --> 00:00:10.320]  得著基督不是一個很抽象的觀念
[00:00:10.320 --> 00:00:15.720]  而是每一天我們可以學習更多去得著主耶穌
[00:00:15.720 --> 00:00:17.640]  當我們講到得著的時候
[00:00:17.640 --> 00:00:20.480]  有時候會用一個比較世俗的觀念
[00:00:20.480 --> 00:00:22.920]  以為就是我們去買一些東西
[00:00:22.920 --> 00:00:24.600]  去得到一些東西
[00:00:24.600 --> 00:00:28.840]  用我們的方法、我們的功勞、我們的資源
[00:00:28.840 --> 00:00:32.120]  就可以換取到一些東西
[00:00:32.120 --> 00:00:34.080]  但是講到得著基督
[00:00:34.080 --> 00:00:38.160]  是一個完全白白領受回來的
[00:00:38.160 --> 00:00:41.240]  我們憑著神給我們的恩典
[00:00:41.240 --> 00:00:43.560]  我們不憑著自己
[00:00:43.560 --> 00:00:46.920]  來讓更多基督在我們生命當中
[00:00:46.920 --> 00:00:48.800]  來充滿我們
[00:00:48.800 --> 00:00:50.720]  因此我們今天去思想的就是
[00:00:50.720 --> 00:00:54.480]  如何能夠讓人生不斷去追求
[00:00:54.480 --> 00:00:56.920]  去得著基督
[00:00:56.920 --> 00:01:01.880]  去領受耶穌基督在我們生命當中
[00:01:01.880 --> 00:01:05.640]  我最近看到一篇文章提及一位香港的女藝人
[00:01:05.640 --> 00:01:08.800]  她信主受洗的過程
[00:01:08.800 --> 00:01:11.520]  她就講述她自己的見證
[00:01:11.520 --> 00:01:13.920]  她就說她自己人生過去
[00:01:13.920 --> 00:01:17.040]  都是很重視有沒有成就的
[00:01:17.040 --> 00:01:18.840]  因為她感覺有成就
[00:01:18.840 --> 00:01:23.280]  就等於她自己個人的價值就可以大一點
[00:01:23.280 --> 00:01:26.440]  但是當她不斷去追求這些成就的時候
[00:01:26.440 --> 00:01:30.200]  她得到很多人所夢寐以求的東西
[00:01:30.200 --> 00:01:34.040]  無論是名聲、財富、榮華
[00:01:34.040 --> 00:01:38.160]  但是她發覺她自己越得到更多這些的時候
[00:01:38.160 --> 00:01:43.120]  她內心就更加覺得一無所有
[00:01:43.120 --> 00:01:44.840]  很奇怪的 擁有很多
[00:01:44.840 --> 00:01:47.680]  但是內心更加空虛
[00:01:47.680 --> 00:01:52.160]  因此她就想辦法爭取更大的成就
[00:01:52.160 --> 00:01:56.000]  希望再能夠填補這個空虛
[00:01:56.000 --> 00:01:58.000]  但是她的感覺就是
[00:01:58.000 --> 00:02:04.160]  越大的成就所得到的那種空洞感是更大
[00:02:04.160 --> 00:02:08.560]  用她的話講更加恐怖
[00:02:08.560 --> 00:02:10.320]  在一種對人生的醒覺當中
[00:02:10.320 --> 00:02:14.200]  她就開始接觸信仰 而後來信主
[00:02:14.200 --> 00:02:17.120]  各位弟兄姊妹 人生都有很多不同的目標
[00:02:17.120 --> 00:02:19.720]  有人說沒有目標是很危險的
[00:02:19.720 --> 00:02:21.880]  沒錯 我們需要目標
[00:02:21.880 --> 00:02:26.360]  但同樣我們的目標需要一個更加正確的目標
