
[00:00:00.000 --> 00:00:03.760]  今天我們繼續從《石圖行傳》裏面
[00:00:03.760 --> 00:00:07.760]  領授神的重要信息
[00:00:07.760 --> 00:00:12.260]  這是《石圖行傳》的信息的第四講
[00:00:12.260 --> 00:00:14.760]  今天我們說要領授的
[00:00:14.760 --> 00:00:18.760]  還是與聖靈的工作有關係的
[00:00:18.760 --> 00:00:21.760]  我們上一次一經看
[00:00:21.760 --> 00:00:25.260]  聖靈在《石圖行傳》所記載的
[00:00:25.260 --> 00:00:30.260]  石圖時代的教會中的作爲是何等的奇妙
[00:00:30.260 --> 00:00:32.260]  充滿了能力
[00:00:32.260 --> 00:00:35.260]  超過人所求所想
[00:00:35.260 --> 00:00:38.260]  超過了人所能做的
[00:00:38.260 --> 00:00:41.760]  而進到了神蹟的境界裏面
[00:00:41.760 --> 00:00:45.760]  今天我們要繼續地在《石圖行傳》裏面
[00:00:45.760 --> 00:00:48.760]  查看聖靈的作爲
[00:00:48.760 --> 00:00:51.760]  我們特別有一個焦點
[00:00:51.760 --> 00:00:54.760]  就是聖靈充滿這四個字
[00:00:54.760 --> 00:00:56.760]  在《石圖行傳》裏面
[00:00:56.760 --> 00:01:00.760]  有十次用「聖靈充滿」這四個字
[00:01:00.760 --> 00:01:03.760]  這是聖靈在當時的教會里面
[00:01:03.760 --> 00:01:05.760]  充滿的工作
[00:01:05.760 --> 00:01:08.760]  我們要把這十處的經文
[00:01:08.760 --> 00:01:12.760]  一處一處地來逐一地查看
[00:01:12.760 --> 00:01:15.760]  領授其中的教訓
[00:01:15.760 --> 00:01:19.260]  聖靈不但在當日能夠工作
[00:01:19.260 --> 00:01:22.760]  今天還是照樣能夠工作
[00:01:22.760 --> 00:01:24.760]  聖靈的工作沒有改變
[00:01:24.760 --> 00:01:27.760]  聖靈的能力也沒有改變
[00:01:27.760 --> 00:01:29.760]  兩千年以後的今天
[00:01:29.760 --> 00:01:32.760]  聖靈的能力和兩千年以前
[00:01:32.760 --> 00:01:36.760]  《石圖時代》聖靈的能力完全一樣
[00:01:36.760 --> 00:01:38.760]  毫無更改
[00:01:38.760 --> 00:01:41.760]  所以我們讀《石圖行傳》的時候
