
[00:00:00.000 --> 00:00:02.800]  今天我們要講到主耶穌的降生
[00:00:02.800 --> 00:00:06.600]  耶穌降生在這個世界就是道成肉身
[00:00:06.600 --> 00:00:09.600]  耶穌降生在這個世界就是道成肉身
[00:00:09.600 --> 00:00:13.200]  祂是神的兒子是永遠的
[00:00:13.200 --> 00:00:15.600]  祂是神的兒子是永遠的
[00:00:15.600 --> 00:00:17.800]  但是在貝利恆
[00:00:17.800 --> 00:00:20.200]  主耶穌生的時候
[00:00:20.200 --> 00:00:23.400]  祂是進入了我們這個世間的關係
[00:00:23.400 --> 00:00:25.800]  祂在貝利恆降生的時候
[00:00:25.800 --> 00:00:31.000]  就進入了我們人的受到時間的限制
[00:00:31.000 --> 00:00:34.800]  各位我們想到主耶穌的事情
[00:00:34.800 --> 00:00:37.000]  各位我們想到主耶穌的事情
[00:00:37.000 --> 00:00:38.200]  我們查考聖經
[00:00:38.200 --> 00:00:39.600]  我們查考聖經
[00:00:39.600 --> 00:00:42.200]  有許許多多奇妙的真理
[00:00:42.200 --> 00:00:44.400]  有許許多多奇妙的真理
[00:00:44.400 --> 00:00:47.000]  所以我今天很膽怯的來講
[00:00:47.000 --> 00:00:49.600]  所以我今天很膽怯的來講
[00:00:49.600 --> 00:00:51.800]  我請各位要存一個道德的心
[00:00:51.800 --> 00:00:54.000]  我請各位要存一個道德的心
[00:00:54.000 --> 00:00:57.400]  因為神的事情是超過人的思想
[00:00:57.400 --> 00:01:00.400]  因為神的事情是超過我們人的思想
[00:01:00.400 --> 00:01:03.000]  昨天晚上陳牧師給我們講得很清楚
[00:01:03.000 --> 00:01:05.200]  昨天晚上陳牧師給我們講得很清楚
[00:01:05.200 --> 00:01:09.000]  這個靈是超過這個肉體和這個自然界
[00:01:09.000 --> 00:01:12.200]  靈是超過這個肉體和這個自然界的
[00:01:12.200 --> 00:01:15.200]  神的事情是超過人的思想
[00:01:15.200 --> 00:01:18.000]  神的事情是超過人的思想的
[00:01:18.000 --> 00:01:21.000]  我們藉著信心可以領受
[00:01:21.000 --> 00:01:23.200]  我們藉著信心可以領受
[00:01:23.200 --> 00:01:24.600]  我們可以相信
[00:01:24.600 --> 00:01:25.800]  我們可以相信
[00:01:25.800 --> 00:01:27.000]  我們可以對救
[00:01:27.000 --> 00:01:28.200]  我們可以得救
[00:01:28.200 --> 00:01:34.000]  但是要我們用我們這個很簡單的腦筋來述說
[00:01:34.000 --> 00:01:35.600]  來描寫的
[00:01:35.600 --> 00:01:38.200]  我們就做得很成缺了
[00:01:38.200 --> 00:01:42.200]  如果用我們很簡單的頭腦來思想來描寫
[00:01:42.200 --> 00:01:44.800]  這個就是很難做得到
[00:01:44.800 --> 00:01:48.800]  神一定要與人接觸
[00:01:48.800 --> 00:01:51.000]  神一定要與人來接觸
[00:01:51.000 --> 00:01:53.200]  祂要與人有關係
[00:01:53.200 --> 00:01:54.600]  祂要與人有關係
[00:01:54.600 --> 00:01:56.000]  人是祂所造
[00:01:56.000 --> 00:01:57.200]  人是祂所做的
[00:01:57.200 --> 00:02:00.000]  祂願意與人來往與人交通
[00:02:00.000 --> 00:02:02.400]  祂願意與人來往與人交通
[00:02:02.400 --> 00:02:04.400]  祂是神我們是人
[00:02:04.400 --> 00:02:06.200]  祂是神我們是人
[00:02:06.200 --> 00:02:09.800]  祂是屬永遠的我們是屬時間屬現在的
[00:02:09.800 --> 00:02:13.200]  祂是屬永遠的我們是屬這個世界的我們是屬現在的
[00:02:13.200 --> 00:02:15.200]  但是神有一個奇妙的辦法
[00:02:15.200 --> 00:02:17.600]  但是神有一個奇妙的辦法
[00:02:17.600 --> 00:02:22.600]  祂願意甘心願意自己成為一個人
[00:02:22.600 --> 00:02:25.400]  祂願意甘心願意自己成為一個人
[00:02:25.400 --> 00:02:27.600]  在哥羅西書的第一章
[00:02:27.600 --> 00:02:29.600]  在哥羅西書的第一章
