
[00:00:00.000 --> 00:00:10.000]  我想回到一件事,就是在香港很多人見到警察的時候都會說警察
[00:00:10.000 --> 00:00:16.000]  我們叫警察局做警察局,但如果你再想一想的時候
[00:00:16.000 --> 00:00:24.000]  其實焦圖都是警察,當然我們不是做警察,不是做這個行業的工作
[00:00:24.000 --> 00:00:30.000]  但小心看回聖經的時候,聖經的確說到我們是警察
[00:00:30.000 --> 00:00:37.000]  當主耶穌在約翰福音第十七章提及,當他很快離開世界,他就向天父祈禱
[00:00:37.000 --> 00:00:47.000]  他就跟父神說,他說:父啊,你怎樣差遣我到世上,我也照樣差他們到世上
[00:00:47.000 --> 00:00:53.000]  主多次提及,他是被神所差遣來到世上成全救恩
[00:00:53.000 --> 00:01:01.000]  但他拯救我們之餘,是差遣我們進入世界去繼續他的見證
[00:01:01.000 --> 00:01:06.000]  我們很多時候容易會覺得,我們很想領受神的恩惠
[00:01:06.000 --> 00:01:15.000]  沒有神是願意賜恩惠的神,但同時他是差遣我們進入世界作他的見證
[00:01:15.000 --> 00:01:20.000]  當然當主耶穌祈禱的時候,約翰福音第十七章繼續提及
[00:01:20.000 --> 00:01:28.000]  他就跟父神說,他說:他們不屬世界,正如我不屬世界一樣
[00:01:28.000 --> 00:01:32.000]  主耶穌被差到世界,但他不屬於這個世界
[00:01:32.000 --> 00:01:37.000]  同樣他跟我們說,我們已經進入神給我們永恆的生命裏面
[00:01:37.000 --> 00:01:41.000]  沒錯我們進入世界,但不屬於這個世界
[00:01:41.000 --> 00:01:48.000]  好像剛才讀過聖經所說,不要跟這個世界上的人同流合污
[00:01:48.000 --> 00:01:53.000]  但我們都體會到,基督徒在世上有一個很大的挑戰
[00:01:53.000 --> 00:01:59.000]  就是沒錯,入世,但又變得屬世
[00:01:59.000 --> 00:02:02.000]  入世是神所差派的
[00:02:02.000 --> 00:02:09.000]  但在裏面竟然是跟這個世界混在一起,變成屬世的一個基督徒
[00:02:09.000 --> 00:02:14.000]  聖經就常常面對我們,第一次我們蒙召進入這個世界
[00:02:14.000 --> 00:02:25.000]  在其中,神對我們的呼召就是在世上活出那種真正神兒女光明生命的本質
[00:02:25.000 --> 00:02:32.000]  而你和我今天在跟隨耶穌的路上,同樣每一天都需要如此來向神尋求
[00:02:32.000 --> 00:02:40.000]  神讓我不會屬世,而是真的能夠活出主給我光明的生活
[00:02:40.000 --> 00:02:45.000]  當你這樣思想的時候,你就會明白為何保羅在《菲律賓書》二弗所書
[00:02:45.000 --> 00:02:48.000]  是重複地講述這方面的真理
[00:02:48.000 --> 00:02:53.000]  提醒我們,我們真的需要在世上活出這種生命
[00:02:53.000 --> 00:02:57.000]  大家再看回剛才讀過的《菲律賓書》第二章
[00:02:57.000 --> 00:03:02.000]  第十四及十五節是大家熟悉的,是這個月的金句
[00:03:02.000 --> 00:03:06.000]  而第十五節,在《聖經》新列本這樣說
[00:03:06.000 --> 00:03:16.000]  「好小你們無可指責,純真無邪,在這彎曲歸某的世代中,作神沒有瑕疵的兒女
[00:03:16.000 --> 00:03:23.000]  你們要在這世代中發光,好像天上的光體一樣」
