
[00:00:00.000 --> 00:00:02.320]  罪是大家比較熟悉的題材
[00:00:02.320 --> 00:00:05.520]  所以我今天講的全部都是大家不熟悉的東西
[00:00:05.520 --> 00:00:06.640]  都是關於罪的東西
[00:00:06.640 --> 00:00:07.720]  可能你會想過
[00:00:07.720 --> 00:00:09.720]  可能你沒有想過
[00:00:09.720 --> 00:00:11.200]  那我和你提出來
[00:00:11.200 --> 00:00:13.960]  這些都是很基本也都是很重要的
[00:00:13.960 --> 00:00:16.200]  首先罪是什麼
[00:00:16.200 --> 00:00:18.960]  那我不和大家慢慢查聖經
[00:00:18.960 --> 00:00:20.200]  罪有不眾的 諸如此類
[00:00:20.200 --> 00:00:22.080]  我想哲學地問罪是什麼
[00:00:22.080 --> 00:00:26.080]  究竟罪是一個實體還是一種關係
[00:00:26.080 --> 00:00:27.840]  罪是一種substance
[00:00:28.400 --> 00:00:30.200]  還是一種relation
[00:00:30.200 --> 00:00:33.480]  實體和關係有什麼分別呢
[00:00:33.480 --> 00:00:34.160]  罪的本質
[00:00:34.160 --> 00:00:37.680]  如果罪是一些實體的substantial will的話
[00:00:37.680 --> 00:00:39.560]  就是說人為什麼會犯罪
[00:00:39.560 --> 00:00:40.720]  因為人裡面有罪性
[00:00:40.720 --> 00:00:41.680]  聽過這個解釋
[00:00:41.680 --> 00:00:42.440]  OK
[00:00:42.440 --> 00:00:44.880]  人裡面有罪性就是我們裡面有些東西
[00:00:44.880 --> 00:00:50.320]  比如說我們裡面有
[00:00:50.320 --> 00:00:52.960]  有發炎
[00:00:52.960 --> 00:00:56.560]  於是我們就會有些臭味出來
[00:00:56.560 --> 00:00:59.240]  比如我們餵骨羊或者戲館骨羊
[00:00:59.240 --> 00:01:00.800]  我們口裡有臭味
[00:01:00.800 --> 00:01:03.640]  就是說我們口裡的臭味
[00:01:03.640 --> 00:01:06.800]  是在我們身體裡面某一些
[00:01:06.800 --> 00:01:09.240]  獨特的源頭湧出來的
[00:01:09.240 --> 00:01:11.320]  所以我們今天會犯一件罪行
[00:01:11.320 --> 00:01:14.280]  因為我裡面有一些犯罪的源頭
[00:01:14.280 --> 00:01:15.880]  湧出那件罪行出來
[00:01:15.880 --> 00:01:17.440]  這個是所謂的substantial will
[00:01:17.440 --> 00:01:21.040]  所以罪是人的本質的一部分
[00:01:21.720 --> 00:01:26.560]  這個就是一個substantial part of human nature
[00:01:26.560 --> 00:01:27.280]  大家聽明白了嗎
[00:01:27.280 --> 00:01:28.160]  OK
[00:01:28.160 --> 00:01:29.120]  那麼大家合作
[00:01:29.120 --> 00:01:30.760]  如果這樣看法的時候
[00:01:30.760 --> 00:01:32.280]  好處就很容易了
[00:01:32.280 --> 00:01:33.800]  因為很容易解釋完
[00:01:33.800 --> 00:01:35.400]  每個人都會犯罪
[00:01:35.400 --> 00:01:37.880]  每個人犯罪的原因
[00:01:37.880 --> 00:01:38.720]  很簡單
[00:01:38.720 --> 00:01:39.680]  因為你犯罪
[00:01:39.680 --> 00:01:40.920]  因為你有罪性
[00:01:40.920 --> 00:01:42.400]  是你人性的一部分
[00:01:42.400 --> 00:01:43.880]  所以你不犯罪不行
[00:01:43.880 --> 00:01:45.720]  所以你需要救恩
[00:01:45.720 --> 00:01:46.000]  好了
[00:01:46.000 --> 00:01:48.480]  但是這樣說下去的時候有幾個困難
[00:01:48.480 --> 00:01:48.880]  第一
[00:01:48.880 --> 00:01:51.360]  如果我犯罪
