
[00:00:00.000 --> 00:00:02.960]  今次我和大家所講的題目
[00:00:02.960 --> 00:00:06.520]  剛才多謝容牧師也讀了一些經文出來
[00:00:06.520 --> 00:00:10.320]  我們打開你手上的大綱
[00:00:10.320 --> 00:00:12.320]  我們一起來看
[00:00:12.320 --> 00:00:15.800]  今天我想和大家講的第三講
[00:00:15.800 --> 00:00:18.960]  勇往直前的基督徒這個信息
[00:00:18.960 --> 00:00:22.520]  不單是給全福堂的
[00:00:22.520 --> 00:00:23.800]  我們勇往直前
[00:00:23.800 --> 00:00:27.720]  這個信息也給每一個全福堂的弟兄姊妹你和我
[00:00:27.720 --> 00:00:31.360]  我們如何勇往直前的基督徒
[00:00:31.360 --> 00:00:36.560]  更加今早這一堂有特別的意思
[00:00:36.560 --> 00:00:38.040]  因為這一篇道
[00:00:38.040 --> 00:00:39.240]  我預備的時候
[00:00:39.240 --> 00:00:41.240]  一開始是為了我自己
[00:00:41.240 --> 00:00:42.640]  為什麼呢
[00:00:42.640 --> 00:00:45.680]  大概在一兩個月前
[00:00:45.680 --> 00:00:48.520]  我自己去準備的時候
[00:00:48.520 --> 00:00:51.480]  我不是只為了今天這個聚會
[00:00:51.480 --> 00:00:52.960]  當時我在想一個問題
[00:00:52.960 --> 00:00:55.160]  我想很多人都像我這樣想這個問題
[00:00:55.160 --> 00:00:56.560]  我今年62歲
[00:00:56.560 --> 00:00:57.960]  我突然間有一段時間
[00:00:57.960 --> 00:00:58.760]  我真的問自己
[00:00:58.760 --> 00:01:00.760]  這樣就快過了一輩子了
[00:01:00.760 --> 00:01:02.760]  有什麼意思呢
[00:01:02.760 --> 00:01:04.960]  我病過
[00:01:04.960 --> 00:01:06.640]  我的家人也病過
[00:01:06.640 --> 00:01:09.160]  我也算成功過
[00:01:09.160 --> 00:01:11.400]  讀了學位
[00:01:11.400 --> 00:01:16.080]  但是每天忙這個忙那個
[00:01:16.080 --> 00:01:17.840]  我不知道你有沒有像我這樣想
[00:01:17.840 --> 00:01:18.840]  可能你覺得我
[00:01:18.840 --> 00:01:20.040]  怎麼會這樣想
[00:01:20.040 --> 00:01:22.040]  遲早你也會想的
[00:01:22.040 --> 00:01:24.040]  你現在年輕了你不明白
[00:01:24.040 --> 00:01:25.800]  但是我想你有時候也會想
[00:01:25.800 --> 00:01:27.200]  為了什麼
[00:01:27.200 --> 00:01:29.000]  這樣就一輩子了
[00:01:29.000 --> 00:01:32.000]  究竟一個生命為了什麼
[00:01:32.000 --> 00:01:34.200]  於是我就為了要回答這個問題
[00:01:34.200 --> 00:01:35.400]  我不想用一個哲學
[00:01:35.400 --> 00:01:36.560]  雖然我讀了很多哲學
[00:01:36.560 --> 00:01:38.360]  有中國哲學有西方哲學
[00:01:38.360 --> 00:01:39.800]  如果你要找答案
[00:01:39.800 --> 00:01:41.480]  不知道有多少書可以回答
[00:01:41.480 --> 00:01:43.720]  但我在聖經裡面重新再找
[00:01:43.720 --> 00:01:45.120]  於是我就集中兩個人
[00:01:45.120 --> 00:01:47.360]  一個是耶穌一個是保羅
[00:01:47.360 --> 00:01:49.560]  今天我們讀聖經就看
[00:01:49.560 --> 00:01:51.280]  我看看他臨死的時候
[00:01:51.280 --> 00:01:54.000]  他想些什麼說些什麼
[00:01:54.000 --> 00:01:55.400]  看回我自己
[00:01:55.400 --> 00:01:57.280]  究竟我有些什麼在學習
[00:01:57.280 --> 00:01:59.680]  所以今天你剛才沒有留意
[00:01:59.680 --> 00:02:00.960]  讀那兩段經文
[00:02:00.960 --> 00:02:03.880]  差不多就是這兩個人臨死的時候說的
[00:02:03.880 --> 00:02:07.160]  他回顧當然臨死的時候還有很多其他說話
[00:02:07.160 --> 00:02:09.800]  但這幾段就是他們
[00:02:09.800 --> 00:02:13.400]  保羅和耶穌差不多生命結束的時候
[00:02:13.400 --> 00:02:16.760]  要回顧他生命的時候
[00:02:16.760 --> 00:02:19.400]  他究竟想了些什麼說了些什麼
[00:02:19.400 --> 00:02:23.000]  今天我們試著帶著這個心情去看這幾段聖經
[00:02:23.000 --> 00:02:25.480]  我試著告訴大家我看到些什麼
[00:02:25.480 --> 00:02:27.000]  我們一起互相訓練
[00:02:27.000 --> 00:02:29.280]  互相提醒我們自己
[00:02:29.280 --> 00:02:31.200]  好,我們先看耶穌
[00:02:31.200 --> 00:02:33.680]  剛才我們讀了關於耶穌那一段
[00:02:33.680 --> 00:02:35.360]  是約翰福音第十八章
[00:02:35.360 --> 00:02:39.920]  我們請AV的同工再打出來剛才那一段
[00:02:39.920 --> 00:02:41.320]  剛才我們讀過了
[00:02:41.320 --> 00:02:43.080]  不過可能你沒有留意這一段
[00:02:43.080 --> 00:02:45.600]  這段對話其實挺有趣的
[00:02:45.600 --> 00:02:48.360]  這段對話大家應該都很容易知道
[00:02:48.360 --> 00:02:49.920]  就是比拉多
[00:02:49.920 --> 00:02:53.400]  這個在偉大的羅馬帝國裡面
[00:02:53.400 --> 00:02:56.480]  一個巴勒斯坦的九品芝麻官
[00:02:56.480 --> 00:03:02.520]  他和耶穌的對話
