
[00:00:00.000 --> 00:00:08.720]  今天要講的是見證生活的第二講
[00:00:08.720 --> 00:00:15.920]  上一個主日我們看了生活的見證
[00:00:15.920 --> 00:00:22.320]  用我們的言語行為來做見證
[00:00:22.320 --> 00:00:25.680]  那是非常重要
[00:00:25.920 --> 00:00:31.680]  今天我們要講的是福音的見證
[00:00:31.680 --> 00:00:37.160]  今天正是拆傳主日
[00:00:37.160 --> 00:00:44.960]  我們所要講的題目可以配合在一起
[00:00:44.960 --> 00:00:49.120]  今天我們要領受的經文
[00:00:49.120 --> 00:00:53.360]  是在菲律賓書第一章
[00:00:53.680 --> 00:01:00.560]  在這一章裏面有六次提到福音兩個字
[00:01:00.560 --> 00:01:06.400]  每一次都給我們很重要的提示
[00:01:06.400 --> 00:01:14.000]  我們用這一章來想到拆傳的事工
[00:01:14.000 --> 00:01:22.160]  我們感謝神賜給本堂有拆傳的權利
[00:01:22.320 --> 00:01:29.680]  我們可以依靠主的恩典獻上我們的禱告
[00:01:29.680 --> 00:01:35.600]  獻上我們的金錢獻上我們的生命
[00:01:35.600 --> 00:01:38.960]  來做拆傳的工作
[00:01:38.960 --> 00:01:47.280]  我們感謝神在全世界各地的華人教會當中
[00:01:47.280 --> 00:01:52.880]  他親自推動拆傳的事工
[00:01:52.880 --> 00:01:59.360]  主也使我們本堂有這個特權和機會來做這件事工
[00:01:59.360 --> 00:02:09.920]  求主幫助我們在以後的日子裏面
[00:02:09.920 --> 00:02:15.120]  能夠把拆傳工作做得更好
[00:02:15.120 --> 00:02:19.040]  我們過去是有虧欠
[00:02:19.040 --> 00:02:25.120]  我們希望將來主更幫助我們
[00:02:25.120 --> 00:02:29.120]  能夠更加滿足他的心意
[00:02:29.120 --> 00:02:36.080]  把我們的缺點弱點能夠一一地減少
[00:02:36.080 --> 00:02:40.960]  能夠透過拆傳的工作帶領許多的人得救歸向主
[00:02:40.960 --> 00:02:49.600]  第一處的經文是在菲律賓書第一章的第五節
[00:02:49.600 --> 00:02:53.440]  因為從頭一天直到如今
[00:02:53.440 --> 00:02:57.600]  你們是同心合意的興旺福音
[00:02:57.600 --> 00:03:04.960]  同心合意是知道全世界的各地的各種各樣的問題
[00:03:04.960 --> 00:03:19.040]  同心合意是指全教會的弟兄姊妹同一個目標
[00:03:19.040 --> 00:03:21.360]  意思就是說
[00:03:21.360 --> 00:03:28.960]  傳福音的工作不是一部分基督徒的工作
[00:03:28.960 --> 00:03:33.520]  那是所有的基督徒的工作
[00:03:33.520 --> 00:03:37.360]  那是全體會友的工作
[00:03:37.360 --> 00:03:41.280]  那是整個教會的工作
[00:03:41.280 --> 00:03:43.280]  有很多時候
[00:03:43.280 --> 00:03:47.280]  我們在好多教會裏看見
[00:03:47.280 --> 00:03:52.720]  傳福音的基督徒只是一小部分
[00:03:52.720 --> 00:03:56.480]  在做拆傳的教會裏面
[00:03:56.480 --> 00:04:02.560]  實際上參與拆傳的會友們
[00:04:02.560 --> 00:04:05.120]  也只是一部分
[00:04:05.120 --> 00:04:11.520]  這種情況是不符合聖經的
[00:04:11.520 --> 00:04:16.800]  菲律賓的教會有一個很好的見證
[00:04:16.800 --> 00:04:21.760]  保羅為他們做這個見證
[00:04:21.760 --> 00:04:30.240]  保羅說你們是同心合意的興旺福音
[00:04:30.240 --> 00:04:34.080]  這是一個很美好的見證
[00:04:34.080 --> 00:04:36.880]  值得我們效法
[00:04:36.880 --> 00:04:41.760]  保羅在這裏也提到
[00:04:41.760 --> 00:04:49.760]  從菲律賓教會歷史的第一頁開始
[00:04:49.760 --> 00:04:54.320]  他們就有傳福音的信誌
[00:04:54.320 --> 00:04:59.680]  這一節裏面有「頭一天」三個字
[00:04:59.680 --> 00:05:03.760]  「頭一天」是哪一天呢?
[00:05:03.760 --> 00:05:12.480]  就是記載在《十讀行傳》第十六章的那一天
[00:05:12.480 --> 00:05:21.120]  在二十五節提到保羅到了菲律賓的地方
[00:05:21.120 --> 00:05:27.280]  因為傳福音而被下在監牢裏面
[00:05:27.280 --> 00:05:32.960]  他被禁足用棍打
[00:05:32.960 --> 00:05:37.680]  他在內監裏面受痛苦
[00:05:37.680 --> 00:05:42.720]  他戴了手銬腳鐐
[00:05:42.720 --> 00:05:46.960]  但在那樣的情況當中
[00:05:46.960 --> 00:05:49.520]  在半夜的時候
[00:05:49.520 --> 00:05:54.480]  他和他的同宮西拉兩個人
[00:05:54.480 --> 00:05:59.600]  在那裏唱詩祈禱讚美神
[00:05:59.600 --> 00:06:04.320]  結果有一個神蹟發生
[00:06:04.320 --> 00:06:06.960]  地大震動
[00:06:06.960 --> 00:06:09.840]  監門就打開
[00:06:09.840 --> 00:06:14.960]  那些囚犯並沒有逃跑
[00:06:14.960 --> 00:06:20.320]  保羅和西拉兩個人也沒有逃跑
[00:06:20.320 --> 00:06:24.400]  他們留下有不同的目的
[00:06:24.400 --> 00:06:26.400]  保羅和西拉沒有逃跑
[00:06:26.400 --> 00:06:29.200]  是因為他們要向囚犯作見證
[00:06:29.200 --> 00:06:31.440]  保羅和西拉沒有逃跑
