
[00:00:00.000 --> 00:00:09.000]  我和大家來看一看關於聖靈的工作的分辨的原則
[00:00:09.000 --> 00:00:16.000]  聖靈的工作很寶貴,但是需要分辨
[00:00:16.000 --> 00:00:22.000]  因為在這件事上,在歷史中給我們看見
[00:00:22.000 --> 00:00:30.000]  曾經有偏差,曾經有錯誤的追求的路線
[00:00:30.000 --> 00:00:34.000]  所以我們需要分辨
[00:00:34.000 --> 00:00:40.000]  我們分辨不是按照自己的想法分辨
[00:00:40.000 --> 00:00:45.000]  而是按照神的話語的標準來分辨
[00:00:45.000 --> 00:00:50.000]  那樣我們才能夠找到一條正路
[00:00:50.000 --> 00:00:54.000]  我們才能夠把錯誤的道路設註
[00:00:54.000 --> 00:00:58.000]  把正確的道路開啟
[00:00:58.000 --> 00:01:02.000]  這件事是如此的重要
[00:01:02.000 --> 00:01:14.000]  所以我們很嚴肅地、很鄭重地、也很真誠地來根據著的話做分辨
[00:01:14.000 --> 00:01:22.000]  聖經實在是已經給了我們關於聖靈工作的分辨的原則
[00:01:22.000 --> 00:01:27.000]  我們就來用點時間看一看
[00:01:27.000 --> 00:01:32.000]  我要提出來十個分辨的原則
[00:01:32.000 --> 00:01:40.000]  對我自己很有幫助,我也希望對大家有幫助
[00:01:40.000 --> 00:01:50.000]  第一個原則:是否高舉嫉妒
[00:01:50.000 --> 00:01:55.000]  約翰福音十六章十四節
[00:01:55.000 --> 00:01:58.000]  主耶穌自己的話
[00:01:58.000 --> 00:02:02.000]  約翰福音十六章十四節
[00:02:02.000 --> 00:02:08.000]  他要就是聖靈要,榮要我
[00:02:08.000 --> 00:02:15.000]  聖靈到世上來,祂的工作不是榮耀自己
[00:02:15.000 --> 00:02:21.000]  乃是榮耀嫉妒,高舉嫉妒
[00:02:21.000 --> 00:02:28.000]  所以如果一種的運動不是高舉嫉妒
[00:02:28.000 --> 00:02:32.000]  而是高舉聖靈
[00:02:32.000 --> 00:02:39.000]  那就違反了主這裡所說的一個很基本的路線
[00:02:39.000 --> 00:02:46.000]  因為主清楚地說,祂來是要榮耀我
[00:02:46.000 --> 00:02:52.000]  為主耶穌做見證,祂不是為自己做見證
[00:02:52.000 --> 00:02:58.000]  這是我們要注意的一個原則
[00:02:58.000 --> 00:03:04.000]  因為有不少的人讓聖靈取代了嫉妒
[00:03:04.000 --> 00:03:10.000]  嫉妒成了第二位,聖靈成了第一位
[00:03:10.000 --> 00:03:14.000]  這是我們要注意的
[00:03:14.000 --> 00:03:24.000]  我們要在聖靈中高舉嫉妒,見證嫉妒,榮耀嫉妒,敬拜嫉妒
[00:03:24.000 --> 00:03:27.000]  抓住這個原則
[00:03:27.000 --> 00:03:33.000]  不讓任何其他的高過嫉妒
[00:03:33.000 --> 00:03:39.000]  因為聖經告訴我們說,神將嫉妒升為至高
[00:03:39.000 --> 00:03:46.000]  地上、天上、所有的都要屈膝
[00:03:46.000 --> 00:03:50.000]  五不口稱耶穌為主
[00:03:50.000 --> 00:03:53.000]  敬拜祂、賞美祂
[00:03:53.000 --> 00:03:56.000]  第二個分別的原則
[00:03:56.000 --> 00:04:06.000]  就是是否以喘呼音為重點
[00:04:06.000 --> 00:04:13.000]  《十二行傳》一章八節
[00:04:13.000 --> 00:04:18.000]  主耶穌關於聖靈講的話,我們都很熟悉
[00:04:18.000 --> 00:04:22.000]  但聖靈降臨在你們身上
[00:04:22.000 --> 00:04:25.000]  你們就必得到能力
[00:04:25.000 --> 00:04:35.000]  並要在耶路撒冷、猶太前地和撒瑪利亞直到地極做我的見證
[00:04:35.000 --> 00:04:42.000]  聖靈來的主要的任務是把呼音傳遍天下
[00:04:42.000 --> 00:04:53.000]  所以聖靈的喘呼音的重點,永遠是我們要注意的
[00:04:53.000 --> 00:04:58.000]  在南美洲的領恩派很注重這一點
[00:04:58.000 --> 00:05:03.000]  這是很值得我們感謝神的
[00:05:03.000 --> 00:05:07.000]  他們到監獄去佈道,大有果小
[00:05:07.000 --> 00:05:14.000]  兩千囚犯的監獄,其中一千人信得住
[00:05:14.000 --> 00:05:21.000]  這是非常寶貴的一個效果
[00:05:21.000 --> 00:05:25.000]  因為他們注重喘呼音
[00:05:25.000 --> 00:05:31.000]  松桑姐被聖靈充滿,大有能力
[00:05:31.000 --> 00:05:38.000]  到處喘呼音,有福心,更有許多的人信住
[00:05:38.000 --> 00:05:48.000]  那個最顯著的要點特色就是喘呼音的能力和果小
[00:05:48.000 --> 00:05:54.000]  而且信徒得到福心以後,第一件事就是組織佈道隊
[00:05:54.000 --> 00:06:01.000]  所以松桑姐無論到哪裡,帶領培靈福心大會
[00:06:01.000 --> 00:06:09.000]  人興起來,即刻組成佈道隊,一隊一隊
[00:06:09.000 --> 00:06:16.000]  常常在一個城市裡頭,有一百多隊的福音隊
[00:06:16.000 --> 00:06:19.000]  經常出去喘呼音
[00:06:19.000 --> 00:06:27.000]  那是一個福心的出口,也是聖靈的能力帶來的一個效果
[00:06:27.000 --> 00:06:34.000]  我們看見聖靈每次帶來大福心
[00:06:34.000 --> 00:06:44.000]  就會進一步地,更積極地,更努力地來推動拆船的工作
[00:06:44.000 --> 00:06:52.000]  拆船的歷史和福心的歷史是二而一,一而二的
[00:06:52.000 --> 00:06:57.000]  分不開的,密切地連在一起
[00:06:57.000 --> 00:07:11.000]  第三個原則,是否造成教會的合一
[00:07:11.000 --> 00:07:15.000]  依附所述四章三節
[00:07:15.000 --> 00:07:19.000]  在那裡,師徒保羅告訴我們
[00:07:19.000 --> 00:07:29.000]  竭力保守聖靈所賜合而為一的心
[00:07:29.000 --> 00:07:36.000]  如果有一個運動,到了一個教會就產生分裂
[00:07:36.000 --> 00:07:40.000]  到了一個地方就產生分裂
[00:07:40.000 --> 00:07:48.000]  那就要注意,教會的合一是神的心意
[00:07:48.000 --> 00:07:56.000]  神的靈絕對不會來攔阻或者破壞教會的合一
[00:07:56.000 --> 00:08:00.000]  合而為一的心是聖靈所賜
[00:08:00.000 --> 00:08:03.000]  我們也要竭力保守
