
[00:00:00.000 --> 00:00:06.000]  大家翻到经元一父所书第二章
[00:00:06.000 --> 00:00:08.000]  我们先读第一节
[00:00:08.000 --> 00:00:11.000]  然后读第十节
[00:00:11.000 --> 00:00:14.000]  我们单单读这两节
[00:00:14.000 --> 00:00:18.000]  你们死在过半罪恶之中
[00:00:18.000 --> 00:00:21.000]  他叫你们活过来
[00:00:21.000 --> 00:00:23.000]  这是生命
[00:00:23.000 --> 00:00:27.000]  他叫你们活过来
[00:00:27.000 --> 00:00:30.000]  原来是死的
[00:00:30.000 --> 00:00:33.000]  但是主叫我们活过来
[00:00:33.000 --> 00:00:35.000]  这是生命
[00:00:35.000 --> 00:00:37.000]  第十节
[00:00:37.000 --> 00:00:40.000]  我们原是他的工作
[00:00:40.000 --> 00:00:43.000]  在基督耶稣领域造成的
[00:00:43.000 --> 00:00:46.000]  为了叫我们行善
[00:00:46.000 --> 00:00:50.000]  就是神所预备叫我们行的
[00:00:50.000 --> 00:00:54.000]  这是生活
[00:00:54.000 --> 00:00:57.000]  我们得了生命以后
[00:00:57.000 --> 00:01:01.000]  就按照神的旨意而生活
[00:01:01.000 --> 00:01:03.000]  行善
[00:01:03.000 --> 00:01:08.000]  就是神预备叫我们行的
[00:01:08.000 --> 00:01:13.000]  生命加上生活
[00:01:13.000 --> 00:01:15.000]  不单单是生命
[00:01:15.000 --> 00:01:17.000]  乃是有了生命以后
[00:01:17.000 --> 00:01:20.000]  加上生活
[00:01:20.000 --> 00:01:26.000]  这是保罗向我们讲得非常清楚的
[00:01:26.000 --> 00:01:31.000]  如果单讲生命而不讲生活
[00:01:31.000 --> 00:01:35.000]  这个生命恐怕有问题了
[00:01:35.000 --> 00:01:38.000]  没有生活的生命
[00:01:38.000 --> 00:01:42.000]  是一个有问题的生命
[00:01:42.000 --> 00:01:46.000]  如果单单讲生活而不讲生命
[00:01:46.000 --> 00:01:49.000]  那就是这就不清楚了
[00:01:49.000 --> 00:01:51.000]  还没有得救
[00:01:51.000 --> 00:01:53.000]  还没有与神和好
[00:01:53.000 --> 00:01:58.000]  怎么能够谈得到基督主的生活呢
[00:01:58.000 --> 00:02:02.000]  有了生命再谈生活
[00:02:02.000 --> 00:02:05.000]  生命加上生活
[00:02:05.000 --> 00:02:08.000]  那就是神经的道理了
[00:02:08.000 --> 00:02:11.000]  那就是全被的救恩
[00:02:11.000 --> 00:02:13.000]  所以今天晚上
[00:02:13.000 --> 00:02:18.000]  我们来思想生命和生活
[00:02:18.000 --> 00:02:22.000]  如果有一个人请你吃吃饭
[00:02:22.000 --> 00:02:27.000]  在你面前摆满了一桌子的好菜
[00:02:27.000 --> 00:02:29.000]  你看的时候很高兴
[00:02:29.000 --> 00:02:31.000]  也很想吃
[00:02:31.000 --> 00:02:33.000]  但是后来你发现
[00:02:33.000 --> 00:02:37.000]  放在你面前的只有一根筷子
[00:02:37.000 --> 00:02:40.000]  你恐怕要摇摇头了
[00:02:40.000 --> 00:02:41.000]  你心里想
[00:02:41.000 --> 00:02:43.000]  一根筷子怎么吃呢
[00:02:43.000 --> 00:02:45.000]  这么好吃的菜
[00:02:45.000 --> 00:02:48.000]  一根筷子吃不成
[00:02:48.000 --> 00:02:51.000]  如果单单有生命
[00:02:51.000 --> 00:02:53.000]  或者单单有生活
[00:02:53.000 --> 00:02:56.000]  而不是生命加上生活
[00:02:56.000 --> 00:03:00.000]  我们基督徒的那个生命的延续
[00:03:00.000 --> 00:03:03.000]  也很难享受
[00:03:03.000 --> 00:03:05.000]  那个丰盛的生命
[00:03:05.000 --> 00:03:08.000]  很难得到
[00:03:08.000 --> 00:03:11.000]  神的完全的计划
[00:03:11.000 --> 00:03:14.000]  在我们身上不能成全
[00:03:14.000 --> 00:03:16.000]  如果有一天
[00:03:16.000 --> 00:03:19.000]  你和你的朋友到新界去
[00:03:19.000 --> 00:03:21.000]  坐火车
[00:03:21.000 --> 00:03:25.000]  你发现这个火车只有一边的轨道
[00:03:25.000 --> 00:03:27.000]  我相信你不肯坐吧
[00:03:27.000 --> 00:03:29.000]  我相信你赶快下来
[00:03:29.000 --> 00:03:30.000]  不得了啊
[00:03:30.000 --> 00:03:32.000]  只有一边的轨道
[00:03:32.000 --> 00:03:34.000]  这个火车走不成啊
[00:03:34.000 --> 00:03:35.000]  就算开出去
