
[00:00:00.000 --> 00:00:04.000]  各位聽眾我們今天會接續思想大義理書的經文
[00:00:04.000 --> 00:00:07.000]  大家會留意到我們今天讀到第七章
[00:00:07.000 --> 00:00:10.000]  我們之前讀的第一到第六章
[00:00:10.000 --> 00:00:14.000]  是講到歷史當中六個事件
[00:00:14.000 --> 00:00:19.000]  第七到第十二章是講到四個異象
[00:00:19.000 --> 00:00:24.000]  六個事件和四個異象之間有很多互相呼應的地方
[00:00:24.000 --> 00:00:26.000]  但是當你讀的時候
[00:00:26.000 --> 00:00:29.000]  你會發覺大義理書是一個很清楚的核心訊息
[00:00:29.000 --> 00:00:31.000]  常常出現的
[00:00:31.000 --> 00:00:36.000]  就是至高者在人間掌權
[00:00:36.000 --> 00:00:38.000]  雖然我們看不見主
[00:00:38.000 --> 00:00:42.000]  但是我們很清楚知道聖經的應許
[00:00:42.000 --> 00:00:45.000]  聖經對我們一直的教導
[00:00:45.000 --> 00:00:49.000]  就是神在一切事上掌管著
[00:00:49.000 --> 00:00:52.000]  包括在人以為最高權勢的地方
[00:00:52.000 --> 00:00:54.000]  在各道裡面
[00:00:54.000 --> 00:00:56.000]  祂仍然掌權
[00:00:56.000 --> 00:00:58.000]  到了第七章的時候
[00:00:58.000 --> 00:01:01.000]  你會發覺聖經同時講出一件事情
[00:01:01.000 --> 00:01:07.000]  就是一切敵對神的人的國度要滅絕
[00:01:07.000 --> 00:01:10.000]  宗教是要面對神的審判
[00:01:10.000 --> 00:01:14.000]  但是唯有神的國是永遠得勝
[00:01:14.000 --> 00:01:16.000]  永恆地存在
[00:01:16.000 --> 00:01:17.000]  也是我們讀到
[00:01:17.000 --> 00:01:21.000]  當然他自己所有的異象的時候
[00:01:21.000 --> 00:01:24.000]  更加深刻地將這個訊息帶出來
[00:01:24.000 --> 00:01:25.000]  我們也回到聖經
[00:01:25.000 --> 00:01:29.000]  我們看回剛才讀的第七章
[00:01:29.000 --> 00:01:31.000]  在聖經的第七章前面的一段
[00:01:31.000 --> 00:01:33.000]  我們剛才沒有機會讀
[00:01:33.000 --> 00:01:35.000]  你會留意到當時聖經提及到的
[00:01:35.000 --> 00:01:39.000]  是但亦理說出他的異象
[00:01:39.000 --> 00:01:45.000]  相信當時很多猶太人都聽到這個異象
[00:01:45.000 --> 00:01:48.000]  而他們在一種被擄掠的情況下
[00:01:48.000 --> 00:01:51.000]  他們心出現了盼望
[00:01:51.000 --> 00:01:52.000]  為什麼帶來盼望?
[00:01:52.000 --> 00:01:54.000]  聖經就提及這個異象
[00:01:54.000 --> 00:01:57.000]  是但亦理在夢中見到的
