
[00:00:00.000 --> 00:00:02.800]  上帝給予他的心意
[00:00:02.800 --> 00:00:05.240]  而他願意付出任何代價
[00:00:05.240 --> 00:00:08.920]  去完成上帝要他所作的工作
[00:00:08.920 --> 00:00:11.240]  在這個時間裏他很清楚知道
[00:00:11.240 --> 00:00:13.680]  他要為人類的罪
[00:00:13.680 --> 00:00:17.560]  在十字架上這件事將要去成就
[00:00:17.560 --> 00:00:21.560]  他就將這件事告訴一班門徒
[00:00:21.560 --> 00:00:23.960]  接著耶穌在說
[00:00:23.960 --> 00:00:26.320]  說完之後路加再說出一件事
[00:00:26.320 --> 00:00:28.120]  當時的門徒
[00:00:28.120 --> 00:00:31.600]  第34章說:這些門徒一樣都不曉得
[00:00:31.600 --> 00:00:33.120]  以色列是隱藏
[00:00:33.120 --> 00:00:35.800]  他們不曉得所說的是甚麼
[00:00:35.800 --> 00:00:37.800]  在這裏說到當時的一班門徒
[00:00:37.800 --> 00:00:41.480]  他們不明白耶穌在十字架上
[00:00:41.480 --> 00:00:45.800]  在耶路撒冷要做些甚麼
[00:00:45.800 --> 00:00:47.920]  在一班門徒的生命當中
[00:00:47.920 --> 00:00:51.120]  他們跟從的耶穌是一個君王
[00:00:51.120 --> 00:00:55.200]  耶穌來到地上要重建以色列的王國
[00:00:55.200 --> 00:00:58.040]  我們跟隨的是一個這樣的耶穌
[00:00:58.040 --> 00:01:01.800]  在上文說到一個少年的官
[00:01:01.800 --> 00:01:04.040]  他來到耶穌面前
[00:01:04.040 --> 00:01:06.880]  想問耶穌一些問題
[00:01:06.880 --> 00:01:08.120]  從對答裏面
[00:01:08.120 --> 00:01:10.120]  這個少年有錢的官
[00:01:10.120 --> 00:01:12.120]  他都不認識耶穌
[00:01:12.120 --> 00:01:14.760]  他稱呼耶穌為夫子
[00:01:14.760 --> 00:01:19.160]  稱呼耶穌是一個很好的教師
[00:01:19.160 --> 00:01:20.120]  在這裏說
[00:01:20.120 --> 00:01:23.640]  一班門徒跟隨了耶穌已經有幾年的時間
[00:01:23.640 --> 00:01:24.640]  在這裏路加說
[00:01:24.640 --> 00:01:26.920]  不單止是一個少年的官
[00:01:26.920 --> 00:01:29.240]  他不知道耶穌的身份
[00:01:29.240 --> 00:01:33.000]  連跟隨耶穌三年多三年的時間
