
[00:00:00.000 --> 00:00:04.700]  我們希望可以在新的一年我們重新檢討一下
[00:00:04.700 --> 00:00:08.560]  究竟我和神的關係是一個什麼樣的狀態
[00:00:08.560 --> 00:00:10.640]  我們看回聖經裡面
[00:00:10.640 --> 00:00:14.360]  究竟神對我們這種關係有什麼樣的要求
[00:00:14.360 --> 00:00:16.560]  在上一次我們第一次裡面
[00:00:16.560 --> 00:00:19.360]  我們透過詩篇139篇
[00:00:19.360 --> 00:00:23.360]  我們看到原來神是一位和我們一起同行的神
[00:00:23.360 --> 00:00:25.880]  如果我們真的知道神是多麼的愛我們
[00:00:25.880 --> 00:00:27.520]  我們是多麼的幸福
[00:00:28.600 --> 00:00:32.600]  今天我想和大家開始另一個角度
[00:00:32.600 --> 00:00:38.600]  我一直在想究竟我們怎樣和神建立一種很親切
[00:00:38.600 --> 00:00:40.600]  很真實的關係呢
[00:00:40.600 --> 00:00:44.000]  始終當我們想起我們和神的關係的時候
[00:00:44.000 --> 00:00:45.600]  我們肉眼看不到它
[00:00:45.600 --> 00:00:47.200]  好像有些抽象
[00:00:47.200 --> 00:00:49.200]  好像有些理論化那樣
[00:00:49.200 --> 00:00:51.200]  於是我們就再看回聖經
[00:00:51.200 --> 00:00:54.600]  看神用些什麼的提議
[00:00:54.600 --> 00:00:58.400]  我們可以和他建立一種很具體的關係
[00:00:58.400 --> 00:01:01.400]  原來當我看到彼得前書的時候
[00:01:01.400 --> 00:01:06.400]  我們發覺老年的彼得同樣面對著會友有這樣的困難
[00:01:06.400 --> 00:01:08.400]  在第一章第八節那裡
[00:01:08.400 --> 00:01:12.400]  他和他們說你們這些第二代的基督徒
[00:01:12.400 --> 00:01:15.400]  當時很多已經是第二代的基督徒
[00:01:15.400 --> 00:01:17.400]  意思就是他們沒有親眼見過耶穌
[00:01:17.400 --> 00:01:19.400]  沒有見過耶穌復活
[00:01:19.400 --> 00:01:20.800]  彼得自己見過
[00:01:20.800 --> 00:01:22.800]  那是不是有個不同的差距呢
[00:01:22.800 --> 00:01:24.800]  彼得說不是的
[00:01:24.800 --> 00:01:28.800]  在第一章第八節那裡彼得說你們雖然沒有見過他
[00:01:28.800 --> 00:01:30.800]  卻可以愛他
