
[00:00:00.000 --> 00:00:05.120]  馬夫有七個大點,我希望大家可以嘗試去掌握
[00:00:05.120 --> 00:00:10.580]  作者是馬賀的約翰,在《史唐人傳》第十二章出現過
[00:00:10.580 --> 00:00:12.580]  他是巴拿巴的表弟
[00:00:12.580 --> 00:00:18.440]  他本身也是因為他的緣故,令到在《史唐人傳》第十五章
[00:00:18.440 --> 00:00:23.960]  保羅和巴拿巴有一個意見不合的爭吵
[00:00:23.960 --> 00:00:27.920]  以致到保羅帶著西佳去他的宣教會程
[00:00:27.920 --> 00:00:32.600]  而巴拿巴則帶著馬賀去其他地方傳揚福音
[00:00:32.600 --> 00:00:37.440]  不過我們知道從《哥羅西書》第四章和《提摩太后書》第四章
[00:00:37.440 --> 00:00:41.600]  後來馬賀和保羅的關係修復了
[00:00:41.600 --> 00:00:46.800]  而保羅視馬賀為他親愛的一個好童工,這是第一點
[00:00:46.800 --> 00:00:53.840]  第二點,馬賀福音在四卷福音書當中應該是第一卷所寫成的
[00:00:53.840 --> 00:01:01.200]  其他三卷福音書,特別是馬太和盧迦是按著馬賀福音這個藍本
[00:01:01.200 --> 00:01:04.920]  去做一個更加詳盡的記錄
[00:01:04.920 --> 00:01:10.680]  第三點,馬賀福音應該是大家知道是最短的書卷,只有十六章經文
[00:01:10.680 --> 00:01:16.920]  有一個澳洲的信徒,也是一個演員
[00:01:16.920 --> 00:01:23.080]  他做了一個舞台劇,把馬賀福音逐個字表演出來
[00:01:23.080 --> 00:01:27.440]  包括扮演不同的角色、聲調
[00:01:27.440 --> 00:01:30.240]  這個舞台劇是用了三個小時完成的
[00:01:30.240 --> 00:01:33.840]  如果你今天下午在家裡沒什麼事情做
[00:01:33.840 --> 00:01:40.440]  你自己就嘗試一下用三個小時閱讀馬賀福音,一至十六章
[00:01:40.440 --> 00:01:48.040]  第四點,我們又知道馬賀福音一尊一哲,神的兒子耶穌基督福音的起頭
[00:01:48.040 --> 00:01:53.880]  馬賀福音當然是講耶穌基督
[00:01:53.880 --> 00:02:00.000]  他是預言來到的尼塞亞,舊約的君王
[00:02:00.000 --> 00:02:05.040]  耶穌基督是神的兒子,有神的屬性
[00:02:05.040 --> 00:02:09.440]  同樣的,他是耶穌,有人的樣式
[00:02:09.440 --> 00:02:17.640]  神人異性,我們將會在馬賀福音多次的見到
[00:02:17.640 --> 00:02:23.800]  馬賀福音經常用的字眼是立刻,或立即,用了四十一次
[00:02:23.800 --> 00:02:27.360]  遠遠超過了新約其他書卷
[00:02:27.360 --> 00:02:32.360]  這個表達方式是作者馬賀福音希望
[00:02:32.360 --> 00:02:36.800]  當作一個新聞報導,打開電視機看的時候
[00:02:36.800 --> 00:02:39.440]  每三十秒就報導完一個訊息
[00:02:39.440 --> 00:02:44.440]  很快的,希望讀者能夠很快捕捉到不同的事件
[00:02:44.440 --> 00:02:46.560]  特別是有關耶穌基督的
[00:02:46.560 --> 00:02:52.040]  這些故事的捕捉和展述
[00:02:52.040 --> 00:02:54.760]  就到了馬賀福音第十四章
[00:02:54.760 --> 00:02:56.360]  就慢下來
[00:02:56.360 --> 00:03:01.520]  因為第十四章開始是講如月節的晚上
[00:03:01.520 --> 00:03:03.520]  也是耶穌最後一個星期
[00:03:03.520 --> 00:03:09.800]  在地上被捕、受死、埋葬、復活
[00:03:09.800 --> 00:03:14.080]  所以馬賀福音特別用了三章經文來講述
