
[00:00:00.000 --> 00:00:06.360]  鐵達尼號的故事已經是皆知巷聞
[00:00:06.360 --> 00:00:11.240]  1912年,這艘船被譽為不可尋船
[00:00:11.240 --> 00:00:15.880]  由英國出發到美國
[00:00:15.880 --> 00:00:21.320]  當中大家都知道,遇上一座冰山,撞上後三個小時尋船
[00:00:21.320 --> 00:00:25.160]  但不是很多人知道事後發生了什麼事
[00:00:25.160 --> 00:00:29.080]  在2208名乘客當中
[00:00:29.080 --> 00:00:34.000]  有712人獲救
[00:00:34.000 --> 00:00:42.200]  後來有些人發現,這艘船有18艘救生艇
[00:00:42.200 --> 00:00:44.880]  其實應該可以救400人
[00:00:44.880 --> 00:00:48.360]  為什麼只救712人呢?
[00:00:48.360 --> 00:00:51.600]  再訪問被救的人
[00:00:51.600 --> 00:00:57.880]  大家知道從鐵達尼號電影中,有頭等艙、二等艙、三等艙
[00:00:57.880 --> 00:01:02.920]  首先是頭等艙的人
[00:01:02.920 --> 00:01:06.680]  頭等艙的人當然富貴
[00:01:06.680 --> 00:01:11.600]  而且他們不想跟三等艙的人結交
[00:01:11.600 --> 00:01:15.200]  所以為了預留更多舒適的空間
[00:01:15.200 --> 00:01:19.800]  寧願叫救生艇快點落海
[00:01:19.800 --> 00:01:26.480]  也不願意跟三等艙的人在一起
[00:01:26.480 --> 00:01:33.400]  好像只顧著自己的生命安全和舒適度
[00:01:33.400 --> 00:01:36.880]  而忘記了身邊的人的安危
[00:01:36.880 --> 00:01:42.000]  今天這個皆知汗民的平靜風和浪故事
[00:01:42.000 --> 00:01:46.520]  有時候想起耶穌好像不太理會門徒
[00:01:46.520 --> 00:01:48.520]  究竟發生什麼事呢?
[00:01:48.520 --> 00:01:52.000]  如果大家有聖經,大家一起打開
[00:01:52.000 --> 00:01:55.720]  無論是手機版或實體版
[00:01:55.720 --> 00:02:00.200]  在唐用聖經第42頁
[00:02:00.200 --> 00:02:01.840]  新約聖經第42頁
[00:02:01.840 --> 00:02:07.360]  我會跟大家解釋這個聖經
[00:02:07.360 --> 00:02:09.360]  有四個場景
[00:02:09.360 --> 00:02:16.240]  四個場景當中,我會用英文P字來作為主題
[00:02:16.240 --> 00:02:21.720]  讓大家知道,究竟這段經文不單止是如何幫助我們認識耶穌基督
[00:02:21.720 --> 00:02:23.720]  並且幫助我們認識自己
[00:02:23.720 --> 00:02:27.200]  作為門徒,我們個人的生命
[00:02:27.200 --> 00:02:31.080]  首先,這段經文一開始
[00:02:31.080 --> 00:02:33.800]  第35節,第一個場景
[00:02:33.800 --> 00:02:37.240]  提及神的計劃、目的和他的同在
[00:02:37.240 --> 00:02:40.600]  在當天晚上,耶穌對門徒說
[00:02:40.600 --> 00:02:42.920]  我們到那邊去吧
[00:02:42.920 --> 00:02:47.720]  整個過海,在加利海,從一邊到另一邊
[00:02:47.720 --> 00:02:49.960]  是耶穌的心意
[00:02:49.960 --> 00:02:51.960]  是耶穌的計劃
[00:02:51.960 --> 00:02:56.280]  人生每一件事發生,並非偶然
[00:02:56.280 --> 00:02:59.320]  亦非巧合
[00:02:59.320 --> 00:03:02.520]  剛巧發生在我身上
[00:03:02.520 --> 00:03:05.960]  人生每一件事,都有神自己的計劃
[00:03:05.960 --> 00:03:07.960]  就像今天的經文所說
[00:03:07.960 --> 00:03:09.960]  在這份所書的第一章十一節
[00:03:09.960 --> 00:03:14.680]  萬事都是按照神的旨意所預定行
[00:03:14.680 --> 00:03:18.280]  每一件事,總有神的計劃
