
[00:00:00.000 --> 00:00:07.000]  我們感謝主聖靈是最好的翻譯員
[00:00:07.000 --> 00:00:14.000]  一個人只有講一種的信息
[00:00:14.000 --> 00:00:23.000]  但是翻譯員卻能夠把一個信息翻譯給每一個人的需要
[00:00:23.000 --> 00:00:27.000]  我們這裡有幾百個需要
[00:00:27.000 --> 00:00:30.000]  幾百種不同的背景
[00:00:30.000 --> 00:00:36.000]  幾百種不同的性格和特點
[00:00:36.000 --> 00:00:41.000]  但是同一篇的信息經過聖靈的翻譯
[00:00:41.000 --> 00:00:49.000]  就成為聯合國大會的許多的翻譯人員的一起的果效
[00:00:49.000 --> 00:01:00.000]  我們需要聖靈今天晚上來把主的話翻譯成為我們每一個人需要的供應
[00:01:00.000 --> 00:01:05.000]  求聖靈這樣的恩待我們每一個人
[00:01:05.000 --> 00:01:15.000]  請大家翻到依附所書第三章
[00:01:15.000 --> 00:01:22.000]  十六節這又是師徒保羅的禱告
[00:01:22.000 --> 00:01:26.000]  求他按著他豐盛的榮耀
[00:01:26.000 --> 00:01:28.000]  藉著他的靈
[00:01:28.000 --> 00:01:34.000]  叫你們心裡的力量剛強起來
[00:01:34.000 --> 00:01:37.000]  這是保羅為眾信徒
[00:01:37.000 --> 00:01:42.000]  為你為我的禱告
[00:01:42.000 --> 00:01:46.000]  我需要這個代表
[00:01:46.000 --> 00:01:52.000]  我需要父神按照他豐盛的榮耀
[00:01:52.000 --> 00:01:55.000]  藉著他的聖靈
[00:01:55.000 --> 00:02:00.000]  叫我心裡的力量剛強起來
[00:02:00.000 --> 00:02:05.000]  我在講台上很容易剛強
[00:02:05.000 --> 00:02:11.000]  但是我的生活中、時空中有沒有剛強呢?
[00:02:11.000 --> 00:02:13.000]  另外一件事
[00:02:13.000 --> 00:02:17.000]  我需要祖給我講台上的剛強
[00:02:17.000 --> 00:02:24.000]  更需要祖給我在時空上、生活上、見證上的剛強
[00:02:24.000 --> 00:02:28.000]  我們每一個人都可以做這個禱告
[00:02:28.000 --> 00:02:31.000]  和保羅一起來求
[00:02:31.000 --> 00:02:35.000]  把這個禱告變成我們自己的禱告
[00:02:35.000 --> 00:02:37.000]  那麼我們要問了
[00:02:37.000 --> 00:02:43.000]  聖靈叫我們心裡的力量剛強有什麼表現?
[00:02:43.000 --> 00:02:47.000]  下面第17節告訴我們
[00:02:47.000 --> 00:02:50.000]  使基督因你們的信
[00:02:50.000 --> 00:02:52.000]  做在你們心裡
[00:02:52.000 --> 00:02:57.000]  叫你們的愛心有根有機
[00:02:57.000 --> 00:03:00.000]  我們靈驗剛強的時候
[00:03:00.000 --> 00:03:04.000]  我們的愛心、愛主的心、愛人的心
[00:03:04.000 --> 00:03:08.000]  有根有機
[00:03:08.000 --> 00:03:11.000]  什麼叫有根有機?
[00:03:11.000 --> 00:03:14.000]  那就是受得起考驗
[00:03:14.000 --> 00:03:19.000]  我們每一個人的愛心都要受考驗
[00:03:19.000 --> 00:03:21.000]  不受考驗就不知道
[00:03:21.000 --> 00:03:26.000]  我們的愛心到底是真的還是假的
[00:03:26.000 --> 00:03:30.000]  不知道我們的愛心到底是理論、口號
[00:03:30.000 --> 00:03:34.000]  還是實際的表現
[00:03:34.000 --> 00:03:36.000]  不經過考驗
[00:03:36.000 --> 00:03:40.000]  我們都不知道自己到底如何
[00:03:40.000 --> 00:03:44.000]  所以我們在主的面前
[00:03:44.000 --> 00:03:46.000]  做這個禱告的時候
[00:03:46.000 --> 00:03:48.000]  我們同時想到
[00:03:48.000 --> 00:03:54.000]  我的愛心是否有根有機
[00:03:54.000 --> 00:03:58.000]  我過去受過愛心考驗嗎?
[00:03:58.000 --> 00:04:02.000]  在那個考驗中我的表現如何?
[00:04:02.000 --> 00:04:07.000]  主給我打的分數如何?
[00:04:07.000 --> 00:04:13.000]  每一個基督徒常常要屬靈的考試
[00:04:13.000 --> 00:04:18.000]  我們的一生經過了無數次的考試
