
[00:00:00.000 --> 00:00:01.360]  我們記得在上一季
[00:00:01.360 --> 00:00:05.320]  我們大家一起思想主耶穌的登山補份
[00:00:05.320 --> 00:00:08.720]  登山補份主耶穌很清楚地告訴我們
[00:00:08.720 --> 00:00:10.640]  我們是世上的炎
[00:00:10.640 --> 00:00:13.520]  亦都是世上的光
[00:00:13.520 --> 00:00:14.720]  主很清楚地說
[00:00:14.720 --> 00:00:17.200]  我們本身的生命本質
[00:00:17.200 --> 00:00:19.960]  因為領受耶穌給我們的救恩之餘
[00:00:19.960 --> 00:00:22.720]  我們成為了世上的光
[00:00:22.720 --> 00:00:23.840]  當我們這樣說的時候
[00:00:23.840 --> 00:00:25.320]  不是說我們很自誇
[00:00:25.320 --> 00:00:27.640]  說我們比別人強一些
[00:00:27.640 --> 00:00:29.320]  而是很清楚地承認
[00:00:29.320 --> 00:00:32.040]  這是神在我們生命中所成就
[00:00:32.040 --> 00:00:34.320]  一件奇妙的事情
[00:00:34.320 --> 00:00:37.680]  不單止我們從黑暗當中進入光明
[00:00:37.680 --> 00:00:39.400]  而且上帝定義
[00:00:39.400 --> 00:00:41.760]  讓我們成為世上的光
[00:00:41.760 --> 00:00:47.000]  可以將光照耀在黑暗的世界裏面
[00:00:47.000 --> 00:00:48.200]  只是在過程裏面
[00:00:48.200 --> 00:00:49.520]  我們常常都問
[00:00:49.520 --> 00:00:51.320]  我們怎樣能夠很真實地
[00:00:51.320 --> 00:00:54.640]  將這種光明活出來
[00:00:54.640 --> 00:00:57.600]  怎樣能夠可以按照主的心意
[00:00:57.600 --> 00:01:00.440]  真正成為光呢
[00:01:00.440 --> 00:01:01.880]  用一個比喻來說
[00:01:01.880 --> 00:01:04.320]  如果我們說我們是世上的光
[00:01:04.320 --> 00:01:06.720]  我們就拿著一盞大光燈
[00:01:06.720 --> 00:01:09.600]  我們大家互相照耀
[00:01:09.600 --> 00:01:12.360]  你看我多光
[00:01:12.360 --> 00:01:14.840]  可能你發覺在照的過程裏面
[00:01:14.840 --> 00:01:16.840]  大家被你瞪著眼睛
[00:01:16.840 --> 00:01:20.480]  多於是得到你所給的祝福
[00:01:20.480 --> 00:01:23.760]  在作為世上的光的過程裏面
[00:01:23.760 --> 00:01:26.000]  怎樣能夠明白主的心意
[00:01:26.000 --> 00:01:29.120]  又能夠真正成為世上的光
[00:01:29.120 --> 00:01:32.160]  亦是今天我們從這個角度
[00:01:32.160 --> 00:01:36.080]  來思想菲律賓書第二章的經文
[00:01:36.080 --> 00:01:39.240]  大家先看第二章之前第一章裏面
[00:01:39.240 --> 00:01:41.240]  保羅稱讚菲律賓教會
[00:01:41.240 --> 00:01:43.520]  你先看第一章第五節
[00:01:43.520 --> 00:01:49.680]  保羅稱讚菲律賓
[00:01:49.680 --> 00:01:52.600]  他說因為從頭一天直到如今
[00:01:52.600 --> 00:01:56.360]  你們是同心合意地興旺福音
[00:01:56.360 --> 00:01:57.880]  和合伴這樣說
[00:01:57.880 --> 00:02:00.400]  你再看下一章第27節
[00:02:00.400 --> 00:02:05.080]  保羅提醒他們
[00:02:05.080 --> 00:02:07.360]  只要你們行事為人
[00:02:07.360 --> 00:02:10.560]  與基督的福音要相稱
[00:02:10.560 --> 00:02:12.800]  叫我來或來見你們
[00:02:12.800 --> 00:02:14.680]  或不在你們那裏
[00:02:14.680 --> 00:02:17.120]  可以聽見你們的警方
[00:02:17.120 --> 00:02:20.160]  知道你們同有一個心智
[00:02:20.160 --> 00:02:21.760]  站立得穩
[00:02:21.760 --> 00:02:26.160]  為所信的福音齊心努力
[00:02:26.160 --> 00:02:27.840]  保羅勸告他們
[00:02:27.840 --> 00:02:32.320]  要保持住你們那種生命的儀仗
[00:02:32.320 --> 00:02:35.280]  就是為福音齊心努力
[00:02:35.280 --> 00:02:36.720]  菲律賓教會很熱誠
[00:02:36.720 --> 00:02:40.520]  他們很願意一齊為福音付上代價
[00:02:40.520 --> 00:02:42.800]  但從經文裏面我們察覺
[00:02:42.800 --> 00:02:45.120]  他們在傳福音的過程裏面
[00:02:45.120 --> 00:02:49.080]  產生一些頂尖的不和事情
[00:02:49.080 --> 00:02:51.360]  他們有甚至紛爭的事情
[00:02:51.360 --> 00:02:55.480]  你會留意到第四章第二節
[00:02:55.480 --> 00:02:58.440]  提及一對姊妹
[00:02:58.440 --> 00:03:02.400]  和合伴提及有爹和秦都基
[00:03:02.400 --> 00:03:05.840]  保羅勸他們在主裏面要同心
[00:03:05.840 --> 00:03:08.440]  言下之意他們之間有一些不和
[00:03:08.440 --> 00:03:11.360]  甚至可能是紛爭的事情
[00:03:11.360 --> 00:03:13.600]  沒錯 當教徒很想同心合意
