
[00:00:00.000 --> 00:00:03.320]  剛才帶領唱詩的弟兄說
[00:00:03.320 --> 00:00:05.440]  四十歲以下的人唱
[00:00:05.440 --> 00:00:08.000]  我唱的第一個字他發覺錯了
[00:00:08.000 --> 00:00:13.120]  我已經操練三十二年了
[00:00:13.120 --> 00:00:16.720]  但是我還是很喜樂
[00:00:16.720 --> 00:00:20.280]  我也常常操練喜樂
[00:00:20.280 --> 00:00:23.600]  勝利果知是喜樂
[00:00:23.600 --> 00:00:25.600]  怎麼操練喜樂呢
[00:00:25.600 --> 00:00:27.680]  意志
[00:00:29.040 --> 00:00:30.080]  理智
[00:00:30.080 --> 00:00:31.320]  感情
[00:00:31.320 --> 00:00:33.080]  都要操練
[00:00:33.080 --> 00:00:35.600]  我們的意志
[00:00:35.600 --> 00:00:40.200]  就是保羅說的菲律賓書第四章第一節
[00:00:40.200 --> 00:00:42.600]  你們要喜樂命令
[00:00:42.600 --> 00:00:45.280]  喜樂能夠命令嗎
[00:00:45.280 --> 00:00:48.720]  你不高興的時候我說命令你高興
[00:00:48.720 --> 00:00:49.800]  你會高興嗎
[00:00:49.800 --> 00:00:52.080]  好像不通
[00:00:52.080 --> 00:00:54.320]  但是保羅就是說
[00:00:54.320 --> 00:00:56.480]  你們要喜樂
[00:00:56.960 --> 00:01:03.520]  這是一個根據理性而運用的意志的作用
[00:01:03.520 --> 00:01:06.400]  我們的意志根據理性
[00:01:06.400 --> 00:01:10.320]  理性說我知道主的愛不改變
[00:01:10.320 --> 00:01:14.520]  所以我的意志根據我的理性做一個決定
[00:01:14.520 --> 00:01:16.240]  既然主的愛不改變
[00:01:16.240 --> 00:01:17.440]  我要喜樂
[00:01:17.440 --> 00:01:19.800]  喜樂怎麼樣的環境裡頭
[00:01:19.800 --> 00:01:20.600]  喜樂
[00:01:20.600 --> 00:01:22.760]  我的理性
[00:01:22.760 --> 00:01:26.560]  面對不如意的時候
[00:01:26.560 --> 00:01:28.360]  怎麼樣運作呢
[00:01:28.360 --> 00:01:30.840]  我可以舉一個例子
[00:01:30.840 --> 00:01:34.240]  太陽在黑雲後面的時候
[00:01:34.240 --> 00:01:37.600]  我們理性知道太陽還在
[00:01:37.600 --> 00:01:39.560]  我看不見太陽
[00:01:39.560 --> 00:01:41.160]  我見的是黑雲
[00:01:41.160 --> 00:01:42.720]  烏雲滿天
[00:01:42.720 --> 00:01:44.920]  但是我的理性告訴我說
[00:01:44.920 --> 00:01:47.200]  太陽仍然存在
[00:01:47.200 --> 00:01:50.160]  不過是暫時在黑雲的後面
[00:01:50.160 --> 00:01:54.000]  有一天它會再光芒四射
[00:01:54.000 --> 00:01:56.960]  所以我的理性起了作用
