
[00:00:00.000 --> 00:00:04.040]  我承認我不是一個懷舊的人
[00:00:04.040 --> 00:00:06.880]  不過在過去這三、四年
[00:00:06.880 --> 00:00:10.640]  我實在是有一些擔憂
[00:00:10.640 --> 00:00:13.560]  一些現象我覺得
[00:00:13.560 --> 00:00:15.200]  說出來可能很坦白
[00:00:15.200 --> 00:00:19.360]  但是我也要跟大家分享一下我內心的一些掙扎
[00:00:19.360 --> 00:00:24.560]  我開始看到香港的教會和信徒
[00:00:24.560 --> 00:00:28.960]  普遍是有一些現象
[00:00:28.960 --> 00:00:32.480]  這些現象令我有些擔心
[00:00:32.480 --> 00:00:38.600]  肯定是你說這幾年因為社會上發生很多的事情
[00:00:38.600 --> 00:00:43.960]  所以基督徒普遍對社會很敏銳
[00:00:43.960 --> 00:00:48.880]  這個可以是很正常的、很正確的態度
[00:00:48.880 --> 00:00:52.160]  不過你說如果是這樣
[00:00:52.160 --> 00:00:59.800]  令到基督徒我們發覺和周圍的人好像沒什麼分別
[00:00:59.800 --> 00:01:02.360]  他要謾罵的時候同樣的謾罵
[00:01:02.360 --> 00:01:05.400]  那些態度是刻薄的時候
[00:01:05.400 --> 00:01:07.280]  和周圍的人一樣這麼刻薄
[00:01:07.280 --> 00:01:09.960]  我覺得這個有些不對勁
[00:01:09.960 --> 00:01:15.520]  我們發覺開始在我們周圍的人的心目中
[00:01:15.520 --> 00:01:17.720]  我們基督徒開始失去了那種
[00:01:17.720 --> 00:01:21.240]  應該有令人羨慕、嚮往的氣質
[00:01:21.240 --> 00:01:25.800]  你記得在《士郎傳》第二章說的初期教會
[00:01:25.800 --> 00:01:29.880]  他們就是有這種吸引人的屬靈魅力
[00:01:29.880 --> 00:01:30.880]  周圍的人
[00:01:30.880 --> 00:01:37.880]  他們只不過在家中查聖經和吃聖餐
[00:01:37.880 --> 00:01:43.640]  要相信神的人天天加給他們
[00:01:43.640 --> 00:01:48.720]  這種氣質好像在現在的現代信徒身上
[00:01:48.720 --> 00:01:53.000]  看不見、消失了
[00:01:53.000 --> 00:01:57.560]  你說我們現在的現代信徒
[00:01:57.560 --> 00:01:59.640]  是有不同的氣質的
[00:01:59.640 --> 00:02:02.040]  我們不可以堅離地的
[00:02:02.040 --> 00:02:04.120]  我沒有反對這件事
[00:02:04.120 --> 00:02:06.680]  不過到了一個地步
[00:02:06.680 --> 00:02:11.840]  我們發覺那個表現
[00:02:11.840 --> 00:02:15.800]  令我們有些困惑
[00:02:15.800 --> 00:02:19.000]  現在的信徒好像我發覺普遍
[00:02:19.000 --> 00:02:24.800]  甚至連去教會的敬拜都覺得不是很興奮
[00:02:24.800 --> 00:02:26.720]  可有可無
[00:02:26.720 --> 00:02:29.200]  沒有興趣
[00:02:29.200 --> 00:02:33.720]  我經常想起《詩篇》第122篇說到
[00:02:33.720 --> 00:02:38.720]  詩人說人對我說我們去耶路撒冷神的聖殿
[00:02:38.720 --> 00:02:40.560]  他說我就很歡喜
[00:02:40.560 --> 00:02:43.080]  有沒有想起敬拜就很歡喜
[00:02:43.080 --> 00:02:44.960]  有時候我們有祈禱的
