
[00:00:00.000 --> 00:00:03.800]  今天是崇拜教育的主日
[00:00:03.800 --> 00:00:07.400]  藉著崇拜讓我們再次思考
[00:00:07.400 --> 00:00:13.200]  究竟崇拜的意義對我們跟從上帝的人來說
[00:00:13.200 --> 00:00:16.800]  究竟有什麼內容呢?
[00:00:16.800 --> 00:00:21.800]  剛才所讀經文是記載在《出拉及記》的24章第1至11節
[00:00:21.800 --> 00:00:25.600]  這段經文的背景是講到上帝將一班以色列人
[00:00:25.600 --> 00:00:30.400]  從埃及地維勞之家拯救了出來
[00:00:30.400 --> 00:00:33.600]  帶他們進入上帝應許的地方
[00:00:33.600 --> 00:00:35.400]  迦南地的地方
[00:00:35.400 --> 00:00:36.800]  就在途中
[00:00:36.800 --> 00:00:39.000]  在途中去到西乃山那裡
[00:00:39.000 --> 00:00:42.600]  上帝將他的律法
[00:00:42.600 --> 00:00:45.800]  將他的誡命頒佈給一班以色列人
[00:00:45.800 --> 00:00:48.000]  去知道 去明白
[00:00:48.000 --> 00:00:50.200]  要一班以色列人做一個決定
[00:00:50.200 --> 00:00:53.600]  究竟你們是否願意跟從我呢?
[00:00:53.600 --> 00:01:00.000]  一班以色列人在這個時候說
[00:01:00.000 --> 00:01:04.200]  上帝 我們很清楚知道祢的吩咐
[00:01:04.200 --> 00:01:08.600]  我們很清楚知道 去認識祢是一個什麼樣的上帝
[00:01:08.600 --> 00:01:12.800]  現在我們願意永遠地去跟從祢
[00:01:12.800 --> 00:01:17.000]  摩西在這個時候在24章
[00:01:17.000 --> 00:01:22.600]  可以說是上帝和人之間納約的一個高峰
[00:01:22.600 --> 00:01:24.600]  這個整個過程
[00:01:24.600 --> 00:01:30.800]  可以說是成為了日後崇拜的安排的時候
[00:01:30.800 --> 00:01:32.400]  一個初認
[00:01:32.400 --> 00:01:36.200]  在這裡說到上帝招聚一班以色列人來到
[00:01:36.200 --> 00:01:39.200]  然後宣讀他們的說話
[00:01:39.200 --> 00:01:42.600]  然後有一個獻情 一個獻祭
[00:01:42.600 --> 00:01:45.400]  然後人有一個回應
[00:01:45.400 --> 00:01:48.000]  回應上帝所納的約
