
[00:00:00.000 --> 00:00:03.640]  我們翻譯成《馬太福音》第五章
[00:00:03.640 --> 00:00:06.320]  我們一起思想主教導我們
[00:00:06.320 --> 00:00:09.360]  來超越一些外表的異
[00:00:09.360 --> 00:00:12.160]  進入一種真實生命的異
[00:00:12.160 --> 00:00:17.080]  我記得在好幾年之前留意到一段新聞
[00:00:17.080 --> 00:00:19.720]  就是講到在韓國的情況
[00:00:19.720 --> 00:00:24.000]  在韓國他們調查到當時的很多高中學生
[00:00:24.000 --> 00:00:27.520]  他們很多人都似乎很關心社會
[00:00:28.000 --> 00:00:31.560]  他們參與捐血的比率是非常之高
[00:00:31.560 --> 00:00:35.520]  但後來慢慢發現了一個原因
[00:00:35.520 --> 00:00:41.440]  原來當時很多大學要求入學的學生申請
[00:00:41.440 --> 00:00:45.520]  必須參與很多社會的服務
[00:00:45.520 --> 00:00:49.560]  而其中捐血是一個最容易做到的服務
[00:00:49.560 --> 00:00:52.760]  所以當發現這個原因之後
[00:00:52.760 --> 00:00:55.440]  就明白為什麼那麼多高中學生去捐血
[00:00:56.600 --> 00:01:00.040]  原來是為了能夠容易入到大學
[00:01:00.040 --> 00:01:03.000]  當我看到這段新聞的時候
[00:01:03.000 --> 00:01:05.480]  我還記得一種感受就是
[00:01:05.480 --> 00:01:07.640]  有些時候在社會上有很多人
[00:01:07.640 --> 00:01:10.400]  他會做很多不同良善的行為
[00:01:10.400 --> 00:01:15.600]  但都發現背後有些其他自我的動機
[00:01:15.600 --> 00:01:18.920]  如果沒有了那種處境
[00:01:18.920 --> 00:01:22.160]  到沒有人來看到或者見到
[00:01:22.160 --> 00:01:24.960]  或者沒有什麼特別的利益效果的時候
[00:01:24.960 --> 00:01:27.400]  可能就不會再做這些事情
[00:01:27.400 --> 00:01:30.080]  這就是我們常常看到社會上
[00:01:30.080 --> 00:01:33.240]  一些出現的表面的良善
[00:01:33.240 --> 00:01:36.200]  但沒有真實生命的良善
[00:01:36.200 --> 00:01:38.360]  在聖經裏面
[00:01:38.360 --> 00:01:41.480]  當主耶穌面對他的門徒要跟隨他的時候
[00:01:41.480 --> 00:01:43.800]  他常常來吩咐我們
[00:01:43.800 --> 00:01:47.760]  要從心裏誠實的聽從主
[00:01:47.760 --> 00:01:50.600]  那個聽從不是表面的聽從
[00:01:50.600 --> 00:01:54.320]  是從心裏面誠實的去聽從
[00:01:54.920 --> 00:01:57.880]  因此明白了主的心意之後
[00:01:57.880 --> 00:02:03.040]  留心避開那些所謂表面主義
[00:02:03.040 --> 00:02:07.240]  表面的一種虛偽的表達
[00:02:07.240 --> 00:02:10.240]  而是真實地去跟隨主
[00:02:10.240 --> 00:02:14.320]  這正是主耶穌當時對很多他的門徒
[00:02:14.320 --> 00:02:17.000]  發出的勉勵和提醒
[00:02:17.000 --> 00:02:20.080]  因此在第五章第十七節
[00:02:20.080 --> 00:02:21.680]  主耶穌就這樣說
[00:02:22.960 --> 00:02:27.080]  「你們不要以為我來是要廢除律法和先知
[00:02:27.080 --> 00:02:31.440]  我來不是要廢除而是要完成」
[00:02:31.440 --> 00:02:35.560]  當時主耶穌很多時候都會回應
[00:02:35.560 --> 00:02:38.920]  在當時的文士或者叫做經學家
[00:02:38.920 --> 00:02:42.000]  他們一些提出的律法的規條
[00:02:42.000 --> 00:02:46.480]  好像耶穌不願意去接受這些的律法規條
[00:02:46.480 --> 00:02:50.600]  有人就誤會他肯定是想廢除律法
[00:02:51.440 --> 00:02:53.320]  當時已經提到律法和先知的時候
[00:02:53.320 --> 00:02:55.200]  是在說舊約聖經
[00:02:55.200 --> 00:02:57.800]  耶穌說我不是來廢除
[00:02:57.800 --> 00:03:01.600]  我是要來完成或者說成全
[00:03:01.600 --> 00:03:04.840]  他來到是要成全這一切
[00:03:04.840 --> 00:03:09.560]  舊約聖經一切的預言或者是預表
[00:03:09.560 --> 00:03:11.800]  關於耶穌基督的事情
[00:03:11.800 --> 00:03:15.640]  在他的身上都完全可以成全出來
[00:03:15.640 --> 00:03:18.920]  很多舊約聖經裡面道德的教訓
[00:03:19.280 --> 00:03:21.760]  在耶穌基督身上都實現
[00:03:21.760 --> 00:03:25.080]  他都是很清楚的實行出來
[00:03:25.080 --> 00:03:27.800]  滿足了神律法的要求
[00:03:27.800 --> 00:03:31.280]  當他完成了律法的時候
[00:03:31.280 --> 00:03:32.640]  到了新約的時候
[00:03:32.640 --> 00:03:36.720]  聖經就清楚說律法的總結就是基督
[00:03:36.720 --> 00:03:39.840]  我們自己憑自己不能夠去完成
[00:03:39.840 --> 00:03:42.000]  但是因為耶穌基督的緣故
[00:03:42.000 --> 00:03:45.640]  我們可以完成神的律法的要求
[00:03:45.640 --> 00:03:48.200]  所以當你讀到聖經
[00:03:48.200 --> 00:03:50.800]  希伯來書說到耶穌基督的神聖的時候
[00:03:50.800 --> 00:03:52.160]  聖經就提到
[00:03:52.160 --> 00:03:54.160]  他既得以完全
[00:03:54.160 --> 00:03:55.600]  在第五章第九節
[00:03:55.600 --> 00:03:58.760]  就說在希伯來書第五章第九節
[00:03:58.760 --> 00:04:01.640]  他說他既得以完全
