
[00:00:00.000 --> 00:00:03.320]  我們來到2022年的最後一天了
[00:00:03.320 --> 00:00:07.800]  明天就是2023年的開始
[00:00:07.800 --> 00:00:12.400]  今年的主題是「敬畏上帝,享受生命」
[00:00:12.400 --> 00:00:14.840]  我們會去查這個傳道書
[00:00:14.840 --> 00:00:16.880]  所以今天大家一開始去看一下
[00:00:16.880 --> 00:00:18.200]  這個主題
[00:00:18.200 --> 00:00:19.880]  一開始大家看一下
[00:00:19.880 --> 00:00:25.960]  傳道書裡面的內容究竟是什麼
[00:00:25.960 --> 00:00:31.000]  在傳道書裡面我們叫做「詩歌自慰書」
[00:00:31.000 --> 00:00:32.800]  在聖經來說
[00:00:32.800 --> 00:00:36.720]  聖經有五卷書我們叫做「詩歌自慰書」
[00:00:36.720 --> 00:00:40.280]  大家數不數得出哪五卷?
[00:00:40.280 --> 00:00:45.560]  詩篇、真言、拿歌、傳道書和約伯記
[00:00:45.560 --> 00:00:51.480]  這五卷書在聖經裡面有一個獨特的位置
[00:00:51.480 --> 00:00:54.120]  在猶太人的傳統裡面
[00:00:54.120 --> 00:00:56.800]  他們一直的教導
[00:00:56.800 --> 00:01:00.640]  或者在律法書、摩西教導
[00:01:00.640 --> 00:01:05.360]  就是說一個遵守上帝的話語的人
[00:01:05.360 --> 00:01:06.760]  是會有福的
[00:01:06.760 --> 00:01:08.880]  這個福是地上的福
[00:01:08.880 --> 00:01:12.200]  就是說如果你遵守上帝的吩咐
[00:01:12.200 --> 00:01:13.880]  上帝就會賜福給你
[00:01:13.880 --> 00:01:15.280]  當然在他們來說
[00:01:15.280 --> 00:01:19.720]  這個福氣就是有多餘的福氣
[00:01:19.720 --> 00:01:22.720]  你的物質的生活豐富是一個福氣
[00:01:22.720 --> 00:01:24.200]  一個敬畏上帝的人
[00:01:24.200 --> 00:01:26.200]  你的生活就會順利
[00:01:26.200 --> 00:01:29.960]  這個是一個傳統的教導
[00:01:29.960 --> 00:01:31.360]  在猶太人來說
[00:01:31.360 --> 00:01:35.520]  但是有些人就去左覺的思想
[00:01:35.520 --> 00:01:37.080]  是不是敬畏上帝的人
[00:01:37.080 --> 00:01:39.040]  是不是遵守上帝的話語的人
[00:01:39.040 --> 00:01:40.560]  在再生的年日
[00:01:40.560 --> 00:01:45.160]  他就會有一個順利的生活呢?
[00:01:45.160 --> 00:01:46.960]  接著有些人就去問
[00:01:46.960 --> 00:01:48.200]  不是啊
[00:01:48.200 --> 00:01:50.960]  現實上我看到好像不是這樣
[00:01:50.960 --> 00:01:53.840]  有些情況不是這樣發生的
[00:01:53.840 --> 00:01:58.520]  所以《詩歌自慰書》是從另一個角度去看人生
[00:01:58.520 --> 00:02:00.600]  去看我們的人生
[00:02:00.600 --> 00:02:02.520]  怎樣去過一個
[00:02:02.520 --> 00:02:05.000]  可以說是跟隨上帝的生活
[00:02:05.000 --> 00:02:07.880]  《傳道書》這個作者
[00:02:07.880 --> 00:02:09.680]  就是對這個問題
[00:02:09.680 --> 00:02:12.160]  去作一個更深的思考
[00:02:12.160 --> 00:02:14.160]  和一個反省
[00:02:14.160 --> 00:02:15.600]  在《傳道書》的作者
[00:02:15.600 --> 00:02:18.760]  有很多不同的說法
[00:02:18.760 --> 00:02:19.880]  不過根據《傳道書》來說
[00:02:19.880 --> 00:02:21.440]  我們一般的橫教會
[00:02:21.440 --> 00:02:25.320]  我們都相信《傳道書》是所羅門所寫
[00:02:25.320 --> 00:02:27.160]  在經文的第一章第一節
[00:02:27.160 --> 00:02:28.040]  那裡也說
[00:02:28.040 --> 00:02:30.240]  在耶路撒冷作王大衛的兒子
[00:02:30.240 --> 00:02:32.120]  傳道者的言語
[00:02:32.120 --> 00:02:33.520]  在這裡說到
[00:02:33.520 --> 00:02:38.360]  一個傳道者就是在耶路撒冷作過王的
[00:02:38.360 --> 00:02:40.760]  作以色列王的只有兩個人
[00:02:40.760 --> 00:02:41.440]  一個是大衛
[00:02:41.440 --> 00:02:42.960]  一個是所羅門
[00:02:42.960 --> 00:02:44.880]  在這裡他說
[00:02:44.880 --> 00:02:46.160]  他雖然沒有說自己是所羅門
[00:02:46.160 --> 00:02:47.160]  大衛的兒子
[00:02:47.160 --> 00:02:49.040]  除了所羅門在耶路撒冷作王
[00:02:49.040 --> 00:02:50.920]  這個就是所羅門
[00:02:50.920 --> 00:02:53.960]  所以我們一般的橫教會
[00:02:53.960 --> 00:02:56.000]  我們相信《傳道書》的作者
[00:02:56.000 --> 00:02:58.200]  是所羅門
[00:02:58.200 --> 00:03:00.080]  所羅門在這裡
[00:03:00.080 --> 00:03:03.280]  可以說他沒有直接去稱自己是一個君王
[00:03:03.280 --> 00:03:05.480]  或者沒有自稱自己的名字
[00:03:05.480 --> 00:03:07.560]  也許他真的要強調
[00:03:07.560 --> 00:03:10.280]  你看看書中的智慧
[00:03:10.280 --> 00:03:14.080]  希望人們集中在書中的智慧的一個信息
[00:03:14.080 --> 00:03:17.240]  而不是他作為一個君王的身份
[00:03:17.240 --> 00:03:19.320]  在第二節一開始
[00:03:19.320 --> 00:03:21.600]  傳道者就去說
[00:03:21.600 --> 00:03:22.640]  開門見山
[00:03:22.640 --> 00:03:26.680]  他說他在日光之下所有的事
[00:03:26.680 --> 00:03:28.080]  是一件什麼事呢
[00:03:28.080 --> 00:03:29.720]  就是虛空的虛空
[00:03:29.720 --> 00:03:31.080]  虛空的虛空
[00:03:31.080 --> 00:03:33.120]  全部都是虛空
[00:03:33.120 --> 00:03:36.520]  所以傳道師給人的感覺就是很負面的
[00:03:36.520 --> 00:03:38.320]  好像很負面的人生
[00:03:38.320 --> 00:03:40.160]  什麼都沒有用的
[00:03:40.160 --> 00:03:41.040]  什麼都沒有作用的
[00:03:41.040 --> 00:03:42.080]  沒有意義的
[00:03:42.080 --> 00:03:44.800]  虛空虛空虛空虛空
[00:03:44.800 --> 00:03:46.560]  這個就是傳道者一開始
[00:03:46.560 --> 00:03:47.680]  他真的這麼說
[00:03:47.680 --> 00:03:50.080]  他真的說在日光之下
[00:03:50.080 --> 00:03:52.000]  在太陽之下
[00:03:52.000 --> 00:03:53.000]  這個世界
[00:03:53.000 --> 00:03:54.520]  我們經歷的人生
[00:03:54.520 --> 00:03:55.880]  其實所有的事
[00:03:55.880 --> 00:03:58.720]  好像看起來都是很空虛
[00:03:58.720 --> 00:03:59.960]  很空虛
[00:03:59.960 --> 00:04:01.800]  在這裡
[00:04:01.800 --> 00:04:05.760]  可以說作者在這裡再去帶出
[00:04:05.760 --> 00:04:10.160]  所羅門基本上給人一個肯定
[00:04:10.160 --> 00:04:12.840]  就是他是一個很有智慧的人
[00:04:12.840 --> 00:04:14.120]  一個這麼有智慧的人
[00:04:14.120 --> 00:04:15.400]  一個這麼有財富
[00:04:15.400 --> 00:04:16.960]  這麼有地位的人
[00:04:16.960 --> 00:04:19.960]  他在這裡作一個宣告
[00:04:19.960 --> 00:04:22.960]  世間的事都是空虛的
[00:04:22.960 --> 00:04:25.920]  他講的分量跟我們講的有些不同
[00:04:25.920 --> 00:04:27.920]  我們一開始說人生很空虛
[00:04:27.920 --> 00:04:29.400]  分量不是很高
[00:04:29.400 --> 00:04:31.600]  但是他一個這麼有分量的人
[00:04:31.600 --> 00:04:34.120]  他講出這個話的時候
[00:04:34.120 --> 00:04:35.880]  大家就留心去聽
[00:04:35.880 --> 00:04:36.560]  他說
[00:04:36.560 --> 00:04:40.160]  究竟他為什麼會說這個世界都是虛空的呢
[00:04:40.160 --> 00:04:42.040]  虛空虛空的呢
[00:04:42.040 --> 00:04:46.320]  他的這個宣告是要帶出一個訊息
[00:04:46.320 --> 00:04:47.280]  其實
[00:04:47.280 --> 00:04:49.600]  他是要叫我們怎樣在一個
[00:04:49.600 --> 00:04:52.000]  好像在一個現實的世界裡面
[00:04:52.000 --> 00:04:55.880]  都是一個虛空的一個人生的狀態裡面
[00:04:55.880 --> 00:04:58.400]  怎樣過一個更有意義的生活
[00:04:58.400 --> 00:04:59.880]  這個是他的主題
[00:04:59.880 --> 00:05:00.480]  所以
[00:05:00.480 --> 00:05:03.560]  其實傳道者是教導我們一樣東西
[00:05:03.560 --> 00:05:05.440]  怎樣去透過
[00:05:05.440 --> 00:05:08.200]  好像這個世界是很消極的
[00:05:08.200 --> 00:05:09.840]  你同一個角度是很消極
[00:05:09.840 --> 00:05:10.600]  但是
