
[00:00:00.000 --> 00:00:08.000]  請聽耶穌講的比喻,馬太福音13:44-46,
[00:00:08.000 --> 00:00:15.000]  天國好比寶貝藏在地裡,人發現了就把它藏起來,
[00:00:15.000 --> 00:00:20.000]  歡歡喜喜地去奔賣一切所有的,買這塊地。
[00:00:20.000 --> 00:00:25.000]  天國又好比商人尋找好的珍珠,
[00:00:25.000 --> 00:00:33.000]  發現一顆貴重的珍珠,就去奔賣它一切所有的,買下這顆珍珠。
[00:00:33.000 --> 00:00:39.000]  各位弟兄姐妹,各位朋友,主內平安,
[00:00:39.000 --> 00:00:46.000]  我是飛飛全道,因為比較久沒有用普通話講道,
[00:00:46.000 --> 00:00:50.000]  所以如果一會兒有什麼地方聽得不太明白,
[00:00:50.000 --> 00:00:54.000]  歡迎大家在崇拜結束以後可以跟我直接交流,
[00:00:54.000 --> 00:00:57.000]  謝謝大家,大家包容啊。
[00:00:57.000 --> 00:01:03.000]  在講道之前,我們先一起禱告。
[00:01:03.000 --> 00:01:07.000]  親愛的主耶穌,感謝禰的恩典和保守,
[00:01:07.000 --> 00:01:11.000]  讓我們可以奉禰的名聚在一起,求禰幫助,
[00:01:11.000 --> 00:01:16.000]  開我們這裡每一個人的心竅,把禰的話語聽進我們的耳朵里,
[00:01:16.000 --> 00:01:22.000]  存在我們的心裡,可以反復地去思想,成為生命中最大的祝福。
[00:01:22.000 --> 00:01:29.000]  我們禱告是奉主耶穌的名而禱告,Amen。
[00:01:29.000 --> 00:01:33.000]  第一次在這裡用普通話講道,所以比較緊張。
[00:01:33.000 --> 00:01:41.000]  今天一開始的時候,我想跟大家一起去認識一塊很出名的寶玉。
[00:01:41.000 --> 00:01:49.000]  如果一說起我們中國的寶玉,不知道大家會不會有聽說過這塊寶玉呢?
[00:01:49.000 --> 00:01:53.000]  大家有聽說過和氏幣嗎?有,對吧?
[00:01:53.000 --> 00:01:57.000]  可能以前讀中文或者是中國歷史有聽說過一些。
[00:01:57.000 --> 00:02:02.000]  沒錯,這個和氏幣就是在一些中國的歷史上面,
[00:02:02.000 --> 00:02:10.000]  比如說元幣歸趙裡面所講的,就是用15座的城池來交換的那塊玉幣,和氏幣。
[00:02:10.000 --> 00:02:16.000]  現在我想跟大家一起去瞭解一下這塊幣的歷史,
[00:02:16.000 --> 00:02:21.000]  因為它跟我們今天的講道其實也有很密切的關係。
[00:02:21.000 --> 00:02:27.000]  這塊和氏幣的歷史是這樣的,相傳在春秋的時期,
[00:02:27.000 --> 00:02:33.000]  楚國有一個人叫汴河,有一天他就在山裡面,不知道為什麼,
[00:02:33.000 --> 00:02:40.000]  他就發現了一塊外面被一層岩石包著的一塊玉,
[00:02:40.000 --> 00:02:46.000]  那你在從外面看就覺得只是一塊石頭,但是汴河他是很有眼光的,
[00:02:46.000 --> 00:02:51.000]  他看穿了,穿過這個岩石裡面就是一塊美玉,
[00:02:51.000 --> 00:02:55.000]  那他得到了這塊寶玉以後呢,他就做了一個行動,
[00:02:55.000 --> 00:03:01.000]  他就捧著這塊美玉去獻給當時的君主,
[00:03:01.000 --> 00:03:06.000]  當時的君王叫做楚立王,
[00:03:06.000 --> 00:03:10.000]  那楚立王得到這塊獻上來的寶玉他怎麼處理呢?
[00:03:10.000 --> 00:03:14.000]  他當然也看不明白啊,他就交給他的玉匠,
[00:03:14.000 --> 00:03:18.000]  就讓你幫我去看一看是不是真的是一塊寶玉,
[00:03:18.000 --> 00:03:23.000]  然後呢這個楚立王的玉匠呢,就研究了一番以後就說,
[00:03:23.000 --> 00:03:28.000]  大王,這根本就是一塊石頭,他撒謊,
[00:03:28.000 --> 00:03:33.000]  哇,你對著君王撒謊的話呢,後果就很嚴重,
[00:03:33.000 --> 00:03:39.000]  因為這個是欺君之罪,所以辯和很可憐,
[00:03:39.000 --> 00:03:45.000]  他就因為這樣,結果呢,他的左腳就被砍掉了,
[00:03:45.000 --> 00:03:50.000]  那當時候因為整個的環境很亂,
[00:03:50.000 --> 00:03:54.000]  所以很快呢就是楚立王就死了,
[00:03:54.000 --> 00:03:59.000]  然後呢就楚武王,另外一個王呢就來接著他來做這個君王,
[00:03:59.000 --> 00:04:05.000]  那辯和呢他不放棄了,他就繼續捧著這塊的寶玉,
[00:04:05.000 --> 00:04:09.000]  然後又去獻給這個楚武王,
[00:04:09.000 --> 00:04:13.000]  但楚武王又是交給他的皇宮裡面的玉匠去研究,
[00:04:13.000 --> 00:04:20.000]  結果玉匠呢又說他撒謊,這真的只是一塊石頭,
[00:04:20.000 --> 00:04:28.000]  結果辯和就因為這樣子,連他的右腳都被砍掉了,
[00:04:28.000 --> 00:04:33.000]  那很快呢這個武王就死掉,
[00:04:33.000 --> 00:04:38.000]  結果呢就另外一個王就來做這個皇帝,就文王,
[00:04:38.000 --> 00:04:42.000]  但那個時候你知道了,辯和他的左腳沒了,
[00:04:42.000 --> 00:04:45.000]  他的右腳也沒了,那他怎麼樣呢?
