
[00:00:00.000 --> 00:00:07.000]  我們今天看神對老弟家教會所說的訊息和說話
[00:00:07.000 --> 00:00:11.240]  今天是2015年的第一個主日
[00:00:11.240 --> 00:00:16.400]  我預備這篇講道的時候也有點為難
[00:00:16.400 --> 00:00:18.680]  因為這篇由頭罵到尾
[00:00:18.680 --> 00:00:22.520]  不要怪我,不關我的事
[00:00:22.520 --> 00:00:26.160]  我是根據神的話語這樣說就這樣說
[00:00:26.160 --> 00:00:27.720]  我不可以改變的
[00:00:27.720 --> 00:00:30.720]  好,我們一起看看老弟家教會
[00:00:30.720 --> 00:00:33.400]  對很多基督徒來說,老弟家教會都很熟悉
[00:00:33.400 --> 00:00:35.800]  在七間教會當中
[00:00:35.800 --> 00:00:39.000]  神所寫的訊息裡面,這一間是大家最熟悉的
[00:00:39.000 --> 00:00:40.880]  一想起老弟家教會
[00:00:40.880 --> 00:00:44.000]  大家就知道是一個不冷不熱的教會
[00:00:44.000 --> 00:00:47.720]  我們一起看看教會的問題在哪裡
[00:00:47.720 --> 00:00:49.920]  首先我們當然看不冷不熱
[00:00:49.920 --> 00:00:52.720]  神給他一個總括的評價就是不冷不熱
[00:00:52.720 --> 00:00:54.360]  這裡用了三次
[00:00:54.360 --> 00:00:57.080]  神說了三次,兩句話裡面說了三次
[00:00:57.080 --> 00:00:58.640]  你不冷不熱
[00:00:58.640 --> 00:01:02.080]  然後我巴不得你或冷或熱
[00:01:02.080 --> 00:01:03.640]  然後不熱不冷
[00:01:03.640 --> 00:01:05.640]  所以我把你推出來
[00:01:05.640 --> 00:01:06.720]  大家都很熟悉
[00:01:06.720 --> 00:01:10.040]  你想起老弟家教會的時候就想起那些不冷不熱的人
[00:01:10.040 --> 00:01:11.440]  那些不冷不熱的教會
[00:01:11.440 --> 00:01:13.720]  說起來今天不只是想著
[00:01:13.720 --> 00:01:16.400]  你想想哪間教會是這樣的呢?
[00:01:16.400 --> 00:01:18.360]  你不是幫人家聽道
[00:01:18.360 --> 00:01:22.160]  聖經每一次七間教會最後都是這麼說
[00:01:22.160 --> 00:01:25.640]  凡有義的就應當聽
[00:01:25.640 --> 00:01:26.640]  你有沒有義?
[00:01:26.640 --> 00:01:27.640]  有
[00:01:27.640 --> 00:01:29.160]  那就給你聽
