
[00:00:00.000 --> 00:00:06.840]  剛才主席說了一句話 非常的好
[00:00:06.840 --> 00:00:14.840]  希望北宣能成為一個讀經的教會
[00:00:14.840 --> 00:00:19.960]  這是一個非常寶貴的目標
[00:00:19.960 --> 00:00:29.200]  人人讀經 不是一部分的弟兄姊妹讀經
[00:00:29.200 --> 00:00:36.560]  那是所有做神兒女的都讀經
[00:00:36.560 --> 00:00:43.040]  他又說了兩個字 覺得很有意思 就是驕傲
[00:00:43.040 --> 00:00:46.360]  驕傲非常不好
[00:00:46.360 --> 00:00:53.800]  但是剛才他提的驕傲 非常好
[00:00:53.800 --> 00:00:58.760]  我們以神的話為驕傲
[00:00:58.760 --> 00:01:01.800]  引以為榮
[00:01:01.800 --> 00:01:08.760]  神和祂的道是我們的光榮
[00:01:08.760 --> 00:01:16.680]  今天我們彼此的勉勵 常常讀經
[00:01:16.680 --> 00:01:20.480]  我也相信在我們中間 有好多弟兄姊妹
[00:01:20.480 --> 00:01:24.480]  不但常常讀經 而且每天讀經
[00:01:24.480 --> 00:01:33.080]  弟兄姊妹讀經的心 我得到一個實驗
[00:01:33.080 --> 00:01:41.680]  上個禮拜三 我們開始《啟示錄》的查經課程
[00:01:41.680 --> 00:01:47.280]  上個星期三 我們開始查《啟示錄》的課程
[00:01:47.280 --> 00:01:55.080]  我想不到有三百多個弟兄姊妹來參加
[00:01:55.080 --> 00:02:06.480]  這也表示許多弟兄姊妹 對祖的話語非常有心追求
[00:02:06.480 --> 00:02:16.280]  我們讀經是為了什麼?
[00:02:16.280 --> 00:02:23.880]  我們讀經是為了道化人生
[00:02:23.880 --> 00:02:34.480]  我們願意我們整個人生 和祖的道合而為一
[00:02:34.480 --> 00:02:37.680]  打成一片
[00:02:37.680 --> 00:02:42.680]  我們不是為了讀經而讀經
[00:02:42.680 --> 00:02:49.880]  我們是為了道化人生而讀經
[00:02:49.880 --> 00:02:54.280]  這是一個非常好的目標
[00:02:54.280 --> 00:02:56.680]  很有價值
[00:02:56.680 --> 00:02:59.480]  很有挑戰
[00:02:59.480 --> 00:03:01.880]  很有興趣
[00:03:01.880 --> 00:03:08.480]  是值得我們引以為榮的一件事
[00:03:08.480 --> 00:03:17.680]  我們今天要從一篇詩篇來領受這個訊息
[00:03:17.680 --> 00:03:22.880]  詩篇119篇
[00:03:22.880 --> 00:03:28.480]  如果你不懂得怎麼找 有一個好方法
[00:03:28.480 --> 00:03:32.880]  你把你的聖經合起來 在當中的地方一分開
[00:03:32.880 --> 00:03:40.880]  就是詩篇119篇
[00:03:40.880 --> 00:03:49.480]  全部聖經的中心就是這一篇
[00:03:49.480 --> 00:03:58.880]  詩篇119篇是全部聖經最長的一章
[00:03:58.880 --> 00:04:03.880]  一共有176節
[00:04:03.880 --> 00:04:12.880]  這個長度也表示 神的話是何等重要
[00:04:12.880 --> 00:04:19.680]  聖經的中心就是神的話
[00:04:19.680 --> 00:04:25.680]  我們從這篇詩篇來領受訊息
[00:04:25.680 --> 00:04:29.080]  我們先低頭祈禱
[00:04:29.080 --> 00:04:34.680]  我們每一個人默禱半分鐘
[00:04:34.680 --> 00:04:48.480]  你自己求主藉著聖靈幫助你提醒你關於讀經的事
[00:04:48.480 --> 00:04:54.080]  預備你的心來領受主的話語
[00:04:54.080 --> 00:04:56.480]  我們默禱
[00:04:56.480 --> 00:05:04.880]  天父我們懇求你藉著聖靈提醒我們每一個人讀經的生活
[00:05:04.880 --> 00:05:12.880]  讓我們在這件事上認真的追求學習長進得長
[00:05:12.880 --> 00:05:17.080]  奉主耶穌基督的名禱告
[00:05:17.080 --> 00:05:21.080]  請大家來注意這篇詩
[00:05:21.080 --> 00:05:23.680]  請大家注意這篇詩
[00:05:23.680 --> 00:05:30.880]  這篇詩把我剛才所說的道化人生告訴我們
[00:05:30.880 --> 00:05:36.880]  這篇詩篇將我剛才所說的道化人生解釋出來
[00:05:36.880 --> 00:05:41.680]  神的話在我們的心中
[00:05:41.680 --> 00:05:45.680]  神的話在我們的眼中
[00:05:45.680 --> 00:05:49.280]  神的話在我們的口中
[00:05:49.280 --> 00:05:53.280]  神的話在我們的家中
[00:05:53.280 --> 00:05:58.480]  神的話在我們的悟性中
[00:05:58.480 --> 00:06:03.080]  也就是在我們的理性中
[00:06:03.080 --> 00:06:08.280]  神的話在我們的娛樂中
[00:06:08.280 --> 00:06:16.680]  神的話和我們整個的生活打成一片
[00:06:16.680 --> 00:06:21.280]  這就是這篇詩要講的
[00:06:21.280 --> 00:06:24.880]  我們一同來領受
[00:06:24.880 --> 00:06:32.480]  首先我們看神話在我們的心中
[00:06:32.480 --> 00:06:35.280]  第十一節
[00:06:35.280 --> 00:06:38.280]  我將你的話藏在心裡
[00:06:38.280 --> 00:06:40.280]  免得我得罪你
[00:06:40.280 --> 00:06:45.880]  神話藏在心中
[00:06:45.880 --> 00:06:51.080]  這個藏有寶貴的意思在裡面
[00:06:51.080 --> 00:06:53.880]  我們說寶藏
[00:06:53.880 --> 00:06:57.080]  我們說寶藏
[00:06:57.080 --> 00:07:03.080]  神的話真是生命之寶
[00:07:03.080 --> 00:07:06.680]  那麼這個寶藏在哪裡
[00:07:06.680 --> 00:07:09.080]  在心中
[00:07:09.080 --> 00:07:12.080]  不是在地球上的某一處
[00:07:12.080 --> 00:07:18.280]  你要去探險才得到
[00:07:18.280 --> 00:07:20.280]  就在這裡
[00:07:20.280 --> 00:07:22.080]  每一個人可以摸一摸
[00:07:22.080 --> 00:07:24.480]  都在這裡
[00:07:24.480 --> 00:07:27.880]  我們把主的生命之寶
[00:07:27.880 --> 00:07:34.880]  就是祂的道藏在這裡
[00:07:34.880 --> 00:07:40.680]  我們很自然想到保羅講的話
[00:07:40.680 --> 00:07:45.680]  哥羅西書三章十六節
[00:07:45.680 --> 00:07:47.680]  當用各樣的智慧
[00:07:47.680 --> 00:07:57.680]  把基督的道理豐豐富富藏在心中
[00:07:57.680 --> 00:08:00.080]  不是一點點
[00:08:00.080 --> 00:08:03.680]  那是豐豐富富的
[00:08:03.680 --> 00:08:07.480]  怎麼能夠豐豐富富呢?
[00:08:07.480 --> 00:08:10.680]  不是一次就可以得到
[00:08:10.680 --> 00:08:12.680]  沒有一個人一次讀經
[00:08:12.680 --> 00:08:20.680]  就豐豐富富得到主的道在心中
[00:08:20.680 --> 00:08:23.680]  繼續領受
[00:08:23.680 --> 00:08:28.080]  不斷領受
[00:08:28.080 --> 00:08:35.280]  有人說真是要每天讀經嗎?
[00:08:35.280 --> 00:08:37.280]  為什麼呢?
[00:08:37.280 --> 00:08:40.080]  我相信沒有一個人發一個問題說
[00:08:40.080 --> 00:08:45.880]  為什麼每天要吃飯?
[00:08:45.880 --> 00:08:49.280]  因為這個理由太明顯了
[00:08:49.280 --> 00:08:52.280]  我們需要營養
[00:08:52.280 --> 00:08:56.680]  然後才能維持健康
[00:08:56.680 --> 00:09:03.280]  我們屬靈生命的健康更重要
[00:09:03.280 --> 00:09:08.680]  我們要為了那個健康來領取營養
[00:09:08.680 --> 00:09:10.280]  就是神的道
[00:09:10.280 --> 00:09:13.880]  我們要為了那個健康來領取營養
[00:09:13.880 --> 00:09:15.480]  就是神的道
[00:09:15.480 --> 00:09:17.680]  我們不斷的領受的時候
[00:09:17.680 --> 00:09:20.280]  就豐富起來
[00:09:20.280 --> 00:09:22.080]  我們不斷的領受的時候
[00:09:22.080 --> 00:09:24.280]  就會豐富起來
[00:09:24.280 --> 00:09:31.680]  在豐富中才能道化
[00:09:31.680 --> 00:09:33.480]  當我們有了主的話
[00:09:33.480 --> 00:09:39.680]  在心中的時候有什麼作用呢?
[00:09:39.680 --> 00:09:42.080]  第二句
[00:09:42.080 --> 00:09:47.680]  免得我得罪你
[00:09:47.680 --> 00:09:49.480]  有了主的道在心中
[00:09:49.480 --> 00:09:54.880]  我們就不犯罪
[00:09:54.880 --> 00:09:59.880]  我們就不會違反神的真善美的旨意
[00:09:59.880 --> 00:10:03.880]  我們就不會違反神的真善美的旨意
[00:10:03.880 --> 00:10:09.280]  我們就從罪惡的那個捆綁之中得到自由
[00:10:09.280 --> 00:10:12.880]  我們就從罪惡的捆綁當中得以自由
[00:10:12.880 --> 00:10:15.280]  我們立刻想到主自己的話
[00:10:15.280 --> 00:10:17.480]  我們立刻就想到主的說話
[00:10:17.480 --> 00:10:22.280]  約翰福音八章三十二節
[00:10:22.280 --> 00:10:24.280]  主耶穌這樣說
[00:10:24.280 --> 00:10:28.880]  你們必曉得真理
