
[00:00:00.000 --> 00:00:04.800]  今天是我們這個季題的最後一次提到家庭有關的訊息
[00:00:04.800 --> 00:00:08.000]  特別提到很多家庭所經歷的困難
[00:00:08.000 --> 00:00:11.300]  神可以將這一切困難轉化
[00:00:11.300 --> 00:00:14.800]  成為了我們生命的祝福
[00:00:14.800 --> 00:00:17.100]  很多人都會講述
[00:00:17.100 --> 00:00:19.000]  神怎樣透過他們的父母
[00:00:19.000 --> 00:00:23.300]  帶給他們生命很大的祝福、很大的幫助
[00:00:23.300 --> 00:00:25.900]  但同時也有一大部分的人
[00:00:25.900 --> 00:00:28.000]  當想起自己的父母的時候
[00:00:28.000 --> 00:00:31.000]  都會感覺到一些無奈
[00:00:31.000 --> 00:00:34.500]  可能父母在某些地方不懂得怎樣去教養孩子
[00:00:34.500 --> 00:00:36.500]  帶給他們一些傷害
[00:00:36.500 --> 00:00:39.400]  甚至到成年階段都會感受到
[00:00:39.400 --> 00:00:44.400]  那種傷害仍然是影響著他們
[00:00:44.400 --> 00:00:47.500]  但很多時候當人從一個新的角度
[00:00:47.500 --> 00:00:49.800]  去看回自己的經歷的時候
[00:00:49.800 --> 00:00:52.300]  往往有不同的體會
[00:00:52.300 --> 00:00:54.400]  一位姓陳的姊妹
[00:00:54.400 --> 00:00:58.300]  講述到她自己本來出身一個很富裕的家庭
[00:00:58.300 --> 00:01:01.700]  家庭裡面很多物質的供應
[00:01:01.700 --> 00:01:05.000]  但也有很多家庭的困難
[00:01:05.000 --> 00:01:07.400]  媽媽在一段時間裡面
[00:01:07.400 --> 00:01:09.500]  染上了抑鬱症
[00:01:09.500 --> 00:01:13.200]  慢慢一個女兒也有抑鬱症
[00:01:13.200 --> 00:01:15.700]  兩母子在抑鬱症當中
[00:01:15.700 --> 00:01:18.200]  面對很多很多的困難
[00:01:18.200 --> 00:01:20.600]  直至到他們都相信了耶穌之後
[00:01:20.600 --> 00:01:24.100]  神給他們生命有一個很明顯的轉機
[00:01:24.100 --> 00:01:27.000]  今天當他們回想以前的日子的時候
[00:01:27.000 --> 00:01:28.500]  神讓他們知道
[00:01:28.500 --> 00:01:30.900]  原來神透過一些的艱難
[00:01:30.900 --> 00:01:35.300]  讓他們看見神在其中來因待
[00:01:35.300 --> 00:01:36.400]  透過困難
[00:01:36.400 --> 00:01:40.100]  但反而似乎保守了他們
[00:01:40.100 --> 00:01:42.800]  有些時候當我們長大了之後
[00:01:42.800 --> 00:01:45.700]  用另一種眼光看自己的歷史
[00:01:45.700 --> 00:01:48.900]  突然間發覺神原來在其中
[00:01:48.900 --> 00:01:50.400]  掌管一切
[00:01:50.400 --> 00:01:52.700]  讓好像艱難的日子
[00:01:52.700 --> 00:01:54.900]  轉變成自己的祝福
[00:01:54.900 --> 00:01:57.500]  和別人的祝福
[00:01:57.500 --> 00:01:58.900]  用一個熟天眼光
[00:01:58.900 --> 00:02:00.900]  看回自己的歷史的時候
[00:02:00.900 --> 00:02:04.900]  有很不同的一種結論
[00:02:04.900 --> 00:02:08.500]  約瑟來到《聖經》創世紀的四十五章
[00:02:08.500 --> 00:02:10.800]  看回他自己的過往人生
[00:02:10.800 --> 00:02:13.200]  突然間有一種很不同的眼光
[00:02:13.200 --> 00:02:15.400]  來了解他自己
[00:02:15.400 --> 00:02:19.400]  大家一起再看回《聖經》創世紀四十五章
[00:02:19.400 --> 00:02:20.800]  我們見到聖經提及
[00:02:20.800 --> 00:02:24.200]  約瑟終於可以原諒他的兄弟
[00:02:24.200 --> 00:02:25.900]  整個過程是怎樣的呢?
[00:02:25.900 --> 00:02:32.200]  大家再看看第四十五章第一第二節
[00:02:32.200 --> 00:02:37.100]  當時他們在自己一個居所的地方
[00:02:37.100 --> 00:02:41.100]  當時約瑟很想表達他的感情
[00:02:41.100 --> 00:02:43.000]  不能自制想哭了
[00:02:43.000 --> 00:02:46.900]  就馬上吩咐侍役離開他
[00:02:46.900 --> 00:02:48.400]  第二節就說
[00:02:48.400 --> 00:02:51.000]  於是他放聲大哭
[00:02:51.000 --> 00:02:52.800]  埃及人聽到了
[00:02:52.800 --> 00:02:56.000]  法老一家也聽聞這事
[00:02:56.000 --> 00:02:58.700]  死英說他當時忍不住了
[00:02:58.700 --> 00:03:01.500]  就大聲地哭出來
[00:03:01.500 --> 00:03:04.900]  二十年的鬱結著的情緒
[00:03:04.900 --> 00:03:06.500]  突然間在那個時候
