
[00:00:00.000 --> 00:00:09.000]  各位弟兄姊妹,今天我要和大家一同領受一個很重要的信息是關於禱告的。
[00:00:09.000 --> 00:00:14.000]  當我們查考《十二行傳》的時候,我們發現一個很明顯的特點,
[00:00:14.000 --> 00:00:20.000]  那就是初期的教會,就是十二時代的教會裡面充滿了禱告。
[00:00:20.000 --> 00:00:26.000]  我們讀《十二行傳》的時候,幾乎在每一章裡面都發現弟兄姊妹禱告,
[00:00:26.000 --> 00:00:33.000]  他們的禱告有信心,他們的禱告有力量,他們有禱告的心智,有禱告的負擔,
[00:00:33.000 --> 00:00:36.000]  所以他們的禱告大有功效。
[00:00:36.000 --> 00:00:41.000]  今天基督的教會在世界各地方也有一個極大的需要,
[00:00:41.000 --> 00:00:46.000]  就是在禱告上復興,在禱告上重新得力。
[00:00:46.000 --> 00:00:50.000]  我們求神將禱告的靈從上頭澆灌下來,
[00:00:50.000 --> 00:00:56.000]  讓我們每一個人在禱告上有一個新的復興,新的託福。
[00:00:56.000 --> 00:01:00.000]  如果我們在禱告上復興,一切都會復興起來。
[00:01:00.000 --> 00:01:05.000]  有人說,神只有一個方法,就是禱告。
[00:01:05.000 --> 00:01:09.000]  這是不是說我們除了禱告就不需要做別的事呢?
[00:01:09.000 --> 00:01:12.000]  是的,為什麼說是的呢?
[00:01:12.000 --> 00:01:15.000]  因為當我們禱告的時候,神就給我們聰明智慧,
[00:01:15.000 --> 00:01:18.000]  讓我們想起來我們應該做的事,
[00:01:18.000 --> 00:01:21.000]  而且我們想起來我們應該做的事一定是正確,
[00:01:21.000 --> 00:01:24.000]  因為是出於主的感動和帶領。
[00:01:24.000 --> 00:01:28.000]  祂給我們眼光,祂給我們智慧,
[00:01:28.000 --> 00:01:32.000]  讓我們曉得怎麼樣去做,而且做什麼,
[00:01:32.000 --> 00:01:35.000]  這樣我們就事半功倍。
[00:01:35.000 --> 00:01:37.000]  當我們禱告的時候,神就工作,
[00:01:37.000 --> 00:01:40.000]  神工作的時候,祂就發動我們去工作,
[00:01:40.000 --> 00:01:43.000]  那個時候我們工作就事半功倍。
[00:01:43.000 --> 00:01:46.000]  所以禱告是神唯一的方法。
[00:01:46.000 --> 00:01:48.000]  當我們禱告的時候,聖靈就工作,
[00:01:48.000 --> 00:01:51.000]  聖靈的能力就彰顯。
[00:01:51.000 --> 00:01:56.000]  因此說,神只有一個方法,就是禱告,不是過分。
[00:01:56.000 --> 00:02:00.000]  很多的禱告的人,他們有這樣的經驗,
[00:02:00.000 --> 00:02:03.000]  他們發現他們所能夠做的每一件事,
[00:02:03.000 --> 00:02:08.000]  是神透過了他們的禱告來用他們。
[00:02:08.000 --> 00:02:14.000]  在歷史歷代以來,我們看見在教會歷史裡面所發生的大事,
[00:02:14.000 --> 00:02:16.000]  都是這樣發生的。
[00:02:16.000 --> 00:02:22.000]  聖靈藉助那些奉獻自己給主的人的禱告而大大的工作,
[00:02:22.000 --> 00:02:28.000]  神自己開始了工作,推動了工作,完成了工作。
[00:02:28.000 --> 00:02:31.000]  當我們朝靠十度形狀的時候,我們發現,
[00:02:31.000 --> 00:02:37.000]  至少十度時代的教會有七個關頭,很重要的關頭。
[00:02:37.000 --> 00:02:43.000]  在這七個關頭裡面,他們都在同心合一地禱告。
[00:02:43.000 --> 00:02:47.000]  因此主大大的使恩,聖靈大大的工作,
[00:02:47.000 --> 00:02:53.000]  有的時候是危機,但是這個危機就變成了轉機和機會。
[00:02:53.000 --> 00:02:56.000]  教會因此發展,弟兄姊妹們因此蒙福,
[00:02:56.000 --> 00:03:03.000]  我們要把這七個關頭,和在這七個關頭之中弟兄姊妹們如何同心禱告,
[00:03:03.000 --> 00:03:08.000]  而改變了局勢,我們要看看在十度形狀如何記載這件事。
[00:03:08.000 --> 00:03:13.000]  第一個關頭就是在第一章第十四節,
[00:03:13.000 --> 00:03:17.000]  這裡說,這些人同著幾個婦人和耶穌的母親瑪利亞,
[00:03:17.000 --> 00:03:23.000]  並耶穌的弟兄,都同心合一地橫切禱告,同心合一地橫切禱告。
[00:03:23.000 --> 00:03:27.000]  這是當初一百二十個門徒所做的。
[00:03:27.000 --> 00:03:31.000]  主耶穌對他們說,你們要在耶路撒冷等候,
[00:03:31.000 --> 00:03:36.000]  等候得到從上頭來的能力,你們現在不要工作,
[00:03:36.000 --> 00:03:40.000]  你們要等候,一直到你們得到從上頭來的能力,
[00:03:40.000 --> 00:03:43.000]  那就是勝利的能力的時候,那個時候,
[00:03:43.000 --> 00:03:47.000]  你們就必得到能力從耶路撒冷直到地極做我的見證。
[00:03:47.000 --> 00:03:51.000]  在沒有得到勝利的能力以前,你們不要工作。
[00:03:51.000 --> 00:03:55.000]  主耶穌把向全世界傳福音的責任交給他們,
[00:03:55.000 --> 00:03:58.000]  但是他很清楚地,很著重地告訴他們,
[00:03:58.000 --> 00:04:02.000]  他們必須得到勝利的能力,才能夠這樣做。
[00:04:02.000 --> 00:04:06.000]  而得到勝利能力的方法就是同心合一地橫切禱告。
[00:04:06.000 --> 00:04:10.000]  他們就聽話,他們說主你這樣講,我們就這樣做。
[00:04:10.000 --> 00:04:12.000]  所以他們在一起禱告了十天,
[00:04:12.000 --> 00:04:16.000]  果然到了五星節的時候,聖靈就降臨。
[00:04:16.000 --> 00:04:20.000]  一陣大風吹過,代表聖靈的那個震動的能力,
[00:04:20.000 --> 00:04:24.000]  又有火焰好像舌頭一樣,分開落在他們的頭上,
[00:04:24.000 --> 00:04:29.000]  他們被聖靈充滿,他們有活熱的心,有活熱的舌,
[00:04:29.000 --> 00:04:34.000]  他們能夠為主做活熱的見證,大有功效。
[00:04:34.000 --> 00:04:38.000]  我們看見他們的禱告是五星節降臨,
[00:04:38.000 --> 00:04:41.000]  他們的禱告是教會開始,
[00:04:41.000 --> 00:04:46.000]  他們的教會是他們的禱告是弟兄姊妹們改變,
[00:04:46.000 --> 00:04:49.000]  從軟弱懼怕變到剛強壯膽,
[00:04:49.000 --> 00:04:52.000]  整個的情形都扭轉了,
[00:04:52.000 --> 00:04:56.000]  就開始了大有能力的擴展。
[00:04:56.000 --> 00:05:01.000]  所以他們的禱告和聖靈的充滿密切的連在一起,
[00:05:01.000 --> 00:05:04.000]  這是第一個關頭,
[00:05:04.000 --> 00:05:06.000]  聖靈的降臨真是一個大關頭,
[00:05:06.000 --> 00:05:10.000]  而這個關頭和禱告密切的連在一起。
[00:05:10.000 --> 00:05:14.000]  第二個關頭在第四章三十一節,
[00:05:14.000 --> 00:05:18.000]  在這裡說禱告完了,聚會的地方震動,
[00:05:18.000 --> 00:05:23.000]  他們就都被聖靈充滿,放膽講論,神的道。
[00:05:23.000 --> 00:05:26.000]  這是什麼時候?
[00:05:26.000 --> 00:05:28.000]  我們從第四章看見,
[00:05:28.000 --> 00:05:30.000]  在這個時候,
[00:05:30.000 --> 00:05:32.000]  十多世代的教會開始受逼迫,
[00:05:32.000 --> 00:05:34.000]  這是逼迫的開始,
[00:05:34.000 --> 00:05:36.000]  這是很重要的一個關頭,
[00:05:36.000 --> 00:05:40.000]  教會面對這個逼迫有什麼反應呢?
[00:05:40.000 --> 00:05:42.000]  有什麼結果呢?
[00:05:42.000 --> 00:05:44.000]  這是很重要的一件事,
[00:05:44.000 --> 00:05:50.000]  感謝主,當時的弟兄姊妹開始受逼迫壓制的時候,
[00:05:50.000 --> 00:05:52.000]  他們有一個正確的反應,
[00:05:52.000 --> 00:05:54.000]  他們就禱告,同心合一的禱告,
[00:05:54.000 --> 00:05:56.000]  他們禱告什麼?
[00:05:56.000 --> 00:05:59.000]  從第二十三節開始告訴我們說,
[00:05:59.000 --> 00:06:02.000]  二人既被釋放,
[00:06:02.000 --> 00:06:03.000]  就到會友那裡去,
[00:06:03.000 --> 00:06:06.000]  把祭祀長和長老所說的話都告訴他們,
[00:06:06.000 --> 00:06:09.000]  他們聽見了就同心合一,
[00:06:09.000 --> 00:06:10.000]  高聲向神說,
[00:06:10.000 --> 00:06:14.000]  主啊,您是造天地海和其中萬物的,
[00:06:14.000 --> 00:06:16.000]  您曾藉著聖靈陀,
[00:06:16.000 --> 00:06:19.000]  您僕人我們祖宗大物的口說,
[00:06:19.000 --> 00:06:22.000]  外邦為什麼爭鬧,外民為什麼謀算虛妄的事,
[00:06:22.000 --> 00:06:24.000]  至上君王一齊齊來,
[00:06:24.000 --> 00:06:26.000]  臣宰也聚集,
[00:06:26.000 --> 00:06:28.000]  要抵擋主病毒的受告者,
[00:06:28.000 --> 00:06:30.000]  希律和本丟貝拉多,
[00:06:30.000 --> 00:06:32.000]  外邦人和以色列民,
[00:06:32.000 --> 00:06:34.000]  果然在這城裡聚集,
[00:06:34.000 --> 00:06:36.000]  要攻打您所告的聖徒耶穌,
[00:06:36.000 --> 00:06:40.000]  成就您手和您旨意所預定必有的事,
[00:06:40.000 --> 00:06:41.000]  他們恐嚇我們,
