
[00:00:00.000 --> 00:00:01.200]  我們很感謝神
[00:00:01.200 --> 00:00:02.120]  今次是第一次
[00:00:02.120 --> 00:00:03.520]  下次是第二次
[00:00:03.520 --> 00:00:07.600]  會有連續兩次的青年人清潔的手藥講座
[00:00:07.600 --> 00:00:10.440]  但是我先跟大家提醒
[00:00:10.440 --> 00:00:15.960]  我會跟大家講關於愛、婚姻與聖的題目
[00:00:15.960 --> 00:00:19.000]  會提及很多不同的聖經教導
[00:00:19.000 --> 00:00:22.560]  以及如何面對著實際環境的挑戰
[00:00:22.560 --> 00:00:27.840]  但是最終我感覺是你要面對這個挑戰
[00:00:27.840 --> 00:00:31.280]  好像我告訴你 你將要去到一個戰場
[00:00:31.280 --> 00:00:33.560]  這個戰場有什麼可能的陷阱
[00:00:33.560 --> 00:00:35.320]  有什麼問題
[00:00:35.320 --> 00:00:39.200]  有什麼途徑可以去戰勝對方
[00:00:39.200 --> 00:00:40.840]  但無論我怎樣說也好
[00:00:40.840 --> 00:00:44.680]  到最後是誰上戰場?
[00:00:44.680 --> 00:00:45.960]  是你們
[00:00:45.960 --> 00:00:48.520]  當然我也要上我的戰場
[00:00:48.520 --> 00:00:49.680]  所以請請之明
[00:00:49.680 --> 00:00:50.880]  當你聽的時候
[00:00:50.880 --> 00:00:52.760]  請你投入去聽
[00:00:52.760 --> 00:00:55.080]  不要好像想著聽一個普通的講座
[00:00:55.080 --> 00:00:57.760]  就是我聽他講給別人聽
[00:00:57.760 --> 00:00:59.920]  而是為自己聽的
[00:00:59.920 --> 00:01:03.760]  而在當中他真的求神讓你去吸收
[00:01:03.760 --> 00:01:07.160]  然後在最適當的時間可以運用出來
[00:01:07.160 --> 00:01:11.200]  我盼望你們每一個人都能夠戰勝這一場的仗
[00:01:11.200 --> 00:01:13.800]  能夠蒙受神給你們的祝福
[00:01:13.800 --> 00:01:15.760]  所以開始的時候我請大家再祈禱
[00:01:15.760 --> 00:01:19.480]  這次的祈禱是你自己為自己
[00:01:19.480 --> 00:01:22.520]  求神可以在這段時間致福給你
[00:01:22.520 --> 00:01:25.000]  讓你的身心靈可以領受訊息
[00:01:25.000 --> 00:01:26.440]  也能蒙受神的報仇
[00:01:26.440 --> 00:01:29.480]  大家自己先為自己祈禱
[00:01:29.480 --> 00:01:33.080]  親愛的主我們同心到祢的根前
[00:01:33.080 --> 00:01:35.920]  主我們仰望祢自己的幫助
[00:01:35.920 --> 00:01:40.120]  主我們知道幫助不在於我們自己
[00:01:40.120 --> 00:01:41.640]  主我們向山舉目
[00:01:41.640 --> 00:01:45.360]  我們知道祢的幫助從造天地的神而來
[00:01:45.360 --> 00:01:46.600]  因此求主施恩
[00:01:46.600 --> 00:01:48.880]  幫助你明白你自己的心意
