
[00:00:00.000 --> 00:00:10.000]  父神,禰有永遠的救恩的計劃,在聖經裡面向我們啓示出來,
[00:00:10.000 --> 00:00:14.000]  讓我們知道禰是創始成中的神,
[00:00:14.000 --> 00:00:19.000]  我們的主耶穌基督為我們的罪辭了,
[00:00:19.000 --> 00:00:24.000]  又從此里復活,以大能賢明是神的兒子,
[00:00:24.000 --> 00:00:32.000]  而且將來也再次回來完成救恩的計劃,
[00:00:32.000 --> 00:00:39.000]  主啊,我們有榮耀的盼望在我們的前頭,
[00:00:39.000 --> 00:00:45.000]  禰給我們今天晚上這個安靜的時間和地方,
[00:00:45.000 --> 00:00:51.000]  讓我們能夠聚精會神地在靈受禰的話語,
[00:00:51.000 --> 00:00:56.000]  求主除去我們一切的攔阻,
[00:00:56.000 --> 00:01:00.000]  幫助我們有疏靈的悟性,
[00:01:00.000 --> 00:01:04.000]  從禰的話語裡面得到幫助造就,
[00:01:04.000 --> 00:01:10.000]  求保護師聖靈帶領我們進入真理,
[00:01:10.000 --> 00:01:15.000]  知道我們將來的歸宿是什麼,
[00:01:15.000 --> 00:01:18.000]  讓我們的信仰堅定,
[00:01:18.000 --> 00:01:22.000]  讓我們跟從主的腳步也堅定,
[00:01:22.000 --> 00:01:29.000]  使我們的靈性、信仰、疏靈的知識都能夠
[00:01:29.000 --> 00:01:33.000]  用禰的話語得到長進,
[00:01:33.000 --> 00:01:40.000]  我們將今天晚上的時間恭敬的交托仰望在禰的恩手中,
[00:01:40.000 --> 00:01:43.000]  求禰與我們同在,
[00:01:43.000 --> 00:01:48.000]  幫助禰的僕人把禰的話語傳達的清楚,
[00:01:48.000 --> 00:01:50.000]  我們一同靈受。
[00:01:50.000 --> 00:01:55.000]  我們這樣的仰望祈求奉主耶穌基督的名,
[00:01:55.000 --> 00:01:57.000]  阿們。
[00:01:57.000 --> 00:02:07.000]  今天晚上我們來到了第二大段,
[00:02:07.000 --> 00:02:18.000]  那就是耶穌基督寫給當時小雅西亞的七個教會的書信。
[00:02:18.000 --> 00:02:23.000]  這七封書信是非常地重要,
[00:02:23.000 --> 00:02:26.000]  也非常地寶貴,
[00:02:26.000 --> 00:02:32.000]  記載在七十路第二章和第三章裡面,
[00:02:32.000 --> 00:02:40.000]  用兩張的篇幅來記載主耶穌的七封的書信。
[00:02:40.000 --> 00:02:51.000]  我們要用這兩堂的時間來靈受這七封書信的信息。
[00:02:51.000 --> 00:02:54.000]  我們從這七封書信裡面,
[00:02:54.000 --> 00:02:59.000]  得到主耶穌對於教會的心意,
[00:02:59.000 --> 00:03:02.000]  對教會的計劃,
[00:03:02.000 --> 00:03:06.000]  對教會的期望。
[00:03:06.000 --> 00:03:09.000]  我們今天在教會裡面,
[00:03:09.000 --> 00:03:14.000]  我們應該如何看教會呢?
[00:03:14.000 --> 00:03:21.000]  我們對於教會的旨意有什麼瞭解呢?
[00:03:21.000 --> 00:03:28.000]  這是我們可以一起從這兩張的經文來學習的。
[00:03:28.000 --> 00:03:36.000]  我們現在開始根據講義來看。
[00:03:36.000 --> 00:03:38.000]  首先我們注意到,
[00:03:38.000 --> 00:03:49.000]  這七封的書信雖然是寫給當時小雅西亞地區的七個教會的書信,
[00:03:49.000 --> 00:03:53.000]  但是有一節聖經給我們看見,
[00:03:53.000 --> 00:03:55.000]  告訴我們知道,
[00:03:55.000 --> 00:04:01.000]  這七封書信同時也是寫給各地區,
[00:04:01.000 --> 00:04:05.000]  各時代的眾教會的。
[00:04:05.000 --> 00:04:11.000]  這七個教會是在神的安排之下,
[00:04:11.000 --> 00:04:19.000]  可以代表歷史歷代各地各方的眾教會的。
[00:04:19.000 --> 00:04:22.000]  這七個教會的需要,
[00:04:22.000 --> 00:04:28.000]  在基本上講也是眾教會的需要。
[00:04:28.000 --> 00:04:31.000]  所以主耶穌寫給他們的信,
[00:04:31.000 --> 00:04:35.000]  並不是受時間的限制,
[00:04:35.000 --> 00:04:38.000]  或者受地區的限制,
[00:04:38.000 --> 00:04:42.000]  乃是有廣泛的意義,
[00:04:42.000 --> 00:04:47.000]  可以應用在所有的教會身上,
[00:04:47.000 --> 00:04:52.000]  包括我們今天所在的教會。
[00:04:52.000 --> 00:04:57.000]  哪一節聖經給我們有這個瞭解呢?
[00:04:57.000 --> 00:05:04.000]  請看二章第七節。
[00:05:04.000 --> 00:05:09.000]  聖靈向眾教會說說的話,
[00:05:09.000 --> 00:05:13.000]  凡有耳的就應當聽。
[00:05:13.000 --> 00:05:17.000]  這封書信是第一封書信,
[00:05:17.000 --> 00:05:20.000]  是寫給醫護所的教會,
[00:05:20.000 --> 00:05:25.000]  但是在信的末了結束的時候,
[00:05:25.000 --> 00:05:27.000]  卻有這樣的話說,
[00:05:27.000 --> 00:05:34.000]  聖靈借著這封書信向眾教會說話,
[00:05:34.000 --> 00:05:39.000]  不是單單向醫護所一間的教會說話,
[00:05:39.000 --> 00:05:43.000]  乃是向眾教會說話。
[00:05:43.000 --> 00:05:48.000]  所以這節聖經就給我們清楚的瞭解到,
[00:05:48.000 --> 00:05:51.000]  這七封書信的對象,
[00:05:51.000 --> 00:05:55.000]  不限於當時的七個教會。
[00:05:55.000 --> 00:05:57.000]  剛才讀的這句話,
[00:05:57.000 --> 00:06:00.000]  在每一封書信結束的時候,
[00:06:00.000 --> 00:06:03.000]  都重復講一次,
[00:06:03.000 --> 00:06:08.000]  不是單單在第一封書信里這樣講,
[00:06:08.000 --> 00:06:12.000]  以後每一封書信結束的時候,
[00:06:12.000 --> 00:06:14.000]  都是這樣講。
[00:06:14.000 --> 00:06:17.000]  所以很清楚的給我們看見,
[00:06:17.000 --> 00:06:20.000]  主用當時的七個教會,
[00:06:20.000 --> 00:06:27.000]  好像作為一個示範,
[00:06:27.000 --> 00:06:32.000]  叫我們能夠在各世代裡面,
[00:06:32.000 --> 00:06:34.000]  各地區裡面,
[00:06:34.000 --> 00:06:40.000]  都體會到基督對他的教會的心意,
[00:06:40.000 --> 00:06:48.000]  作為我們追求的指示路線目標。
[00:06:48.000 --> 00:06:51.000]  這是我們在開始的時候,
[00:06:51.000 --> 00:06:57.000]  要瞭解的第一件事情。
[00:06:57.000 --> 00:07:02.000]  跟著我們要看我們的講義裡面的A,
[00:07:02.000 --> 00:07:08.000]  就是每一封書信的內容都有七點,
[00:07:08.000 --> 00:07:13.000]  這是書信的結構,
[00:07:13.000 --> 00:07:18.000]  這個結構是相似的。
[00:07:18.000 --> 00:07:22.000]  當然這個結構裡面的內容,
[00:07:22.000 --> 00:07:25.000]  因教會而不同,
[00:07:25.000 --> 00:07:32.000]  但是它基本的內容的要點是一樣。
[00:07:32.000 --> 00:07:34.000]  有七個要點,
[00:07:34.000 --> 00:07:36.000]  我們現在看,
[00:07:36.000 --> 00:07:41.000]  第一個要點就是教會的名稱。
[00:07:41.000 --> 00:07:48.000]  名稱是以地點來做教會的名稱的。
[00:07:48.000 --> 00:07:51.000]  那麼以後我們還要提到,
[00:07:51.000 --> 00:07:53.000]  這個地方的名字,
[00:07:53.000 --> 00:07:56.000]  有沒有什麼俗靈的意義在裡頭,
[00:07:56.000 --> 00:07:58.000]  是有的。
[00:07:58.000 --> 00:08:04.000]  我們可以從其中得到俗靈的信息。
[00:08:04.000 --> 00:08:05.000]  第二點,
[00:08:05.000 --> 00:08:08.000]  基督的自稱,
[00:08:08.000 --> 00:08:12.000]  就是基督自我介紹。
[00:08:12.000 --> 00:08:14.000]  第三點,
[00:08:14.000 --> 00:08:16.000]  就是教會的優點,
[00:08:16.000 --> 00:08:17.000]  這裡有一個錯字,
[00:08:17.000 --> 00:08:20.000]  請大家改正。
[00:08:20.000 --> 00:08:25.000]  教會位置的優點,
[00:08:25.000 --> 00:08:27.000]  主稱贊。
[00:08:27.000 --> 00:08:28.000]  給我們看見,
[00:08:28.000 --> 00:08:33.000]  我們的主是一個滿有慈愛憐憫的主,
[00:08:33.000 --> 00:08:37.000]  他欣賞教會的優點,
[00:08:37.000 --> 00:08:40.000]  而且稱贊他們,
[00:08:40.000 --> 00:08:43.000]  鼓勵他們。
[00:08:43.000 --> 00:08:48.000]  稱贊是主的愛的表現。
[00:08:48.000 --> 00:08:51.000]  主稱贊我們,
[00:08:51.000 --> 00:08:54.000]  我們也學習了彼此的欣賞,
[00:08:54.000 --> 00:08:57.000]  我們也可以為了榮耀神,
[00:08:57.000 --> 00:09:01.000]  而彼此的表達欣賞和稱贊。
[00:09:01.000 --> 00:09:06.000]  有的人認為稱贊人是不俗靈的,
[00:09:06.000 --> 00:09:09.000]  但是我們看見保羅,
[00:09:09.000 --> 00:09:11.000]  他每一封書信,
[00:09:11.000 --> 00:09:13.000]  開始的時候,
[00:09:13.000 --> 00:09:16.000]  都是先提出來,
[00:09:16.000 --> 00:09:18.000]  那個受信的,
[00:09:18.000 --> 00:09:25.000]  接受那封信的教會裡面的弟兄姊妹的優點,
[00:09:25.000 --> 00:09:27.000]  一一地指出來,
[00:09:27.000 --> 00:09:29.000]  表示欣賞,
[00:09:29.000 --> 00:09:31.000]  為他們感謝神。
[00:09:31.000 --> 00:09:35.000]  這是一個好的態度。
[00:09:35.000 --> 00:09:38.000]  只要我們的最後的目的,
[00:09:38.000 --> 00:09:39.000]  是榮耀神,
[00:09:39.000 --> 00:09:41.000]  不是榮耀人,
[00:09:41.000 --> 00:09:43.000]  我們可以稱贊人,
[00:09:43.000 --> 00:09:45.000]  那是鼓勵。
[00:09:45.000 --> 00:09:47.000]  沒有一個人說,
[00:09:47.000 --> 00:09:52.000]  對小孩子的稱贊是不對的,
[00:09:52.000 --> 00:09:54.000]  來是對他們的鼓勵,
[00:09:54.000 --> 00:09:56.000]  他們需要鼓勵,
[00:09:56.000 --> 00:09:58.000]  那是對他們的愛心,
[00:09:58.000 --> 00:10:00.000]  關心的一種表示。
[00:10:00.000 --> 00:10:02.000]  主對我們是如此,
[00:10:02.000 --> 00:10:06.000]  我們彼此相對待也是一樣。
[00:10:06.000 --> 00:10:12.000]  所以我們要學習對我們周圍的人,
[00:10:12.000 --> 00:10:14.000]  在生活中,
[00:10:14.000 --> 00:10:16.000]  我們的圈子裡面的人,
[00:10:16.000 --> 00:10:18.000]  向他們表示我們的欣賞,
[00:10:18.000 --> 00:10:20.000]  我們的稱贊,
[00:10:20.000 --> 00:10:22.000]  作為鼓勵。
