
[00:00:00.000 --> 00:00:03.340]  在《哥羅西書》第三章一至第四節
[00:00:03.340 --> 00:00:06.140]  在這裡呼籲我們要做一個什麼人呢?
[00:00:06.140 --> 00:00:10.500]  在這裡保羅做一個天上和地上的對比
[00:00:10.500 --> 00:00:14.600]  當我們是一個說跟從耶穌信耶穌的人的時候
[00:00:14.600 --> 00:00:17.400]  我們要有一個屬天的生活
[00:00:17.400 --> 00:00:19.340]  什麼叫屬天的生活呢?
[00:00:19.340 --> 00:00:23.940]  就是當我們仰望抬頭望天的時候就會見到耶穌
[00:00:23.940 --> 00:00:26.440]  在這裡保羅就繼續引述
[00:00:26.440 --> 00:00:32.600]  既然如此我們應該跟耶穌有一個同死同埋葬同復活的生命
[00:00:32.600 --> 00:00:34.360]  在第五節到十一節
[00:00:34.360 --> 00:00:38.540]  保羅用了一個角度去說
[00:00:38.540 --> 00:00:42.660]  如果一個人跟耶穌同死同埋葬同復活
[00:00:42.660 --> 00:00:45.640]  他應該有什麼生活行為的表現呢?
[00:00:45.640 --> 00:00:49.360]  第一方面就是自死你過去的那個老鵝
[00:00:49.360 --> 00:00:51.360]  那個生命
[00:00:51.360 --> 00:00:54.000]  那個生命是一個遠離上帝
[00:00:54.000 --> 00:00:57.160]  不願意跟從上帝一個人
[00:00:57.160 --> 00:00:58.760]  一個生命的狀態
[00:00:58.760 --> 00:01:00.460]  保羅在這裡說你要自死他
[00:01:00.460 --> 00:01:02.360]  你要脫去那個舊人
[00:01:02.360 --> 00:01:06.760]  那個是一個邪惡的生命和生活
[00:01:06.760 --> 00:01:10.260]  接著保羅在十二節就開始積極的去說
[00:01:10.260 --> 00:01:12.260]  一個穿上新人
[00:01:12.260 --> 00:01:14.760]  一個穿上耶穌基督的人
[00:01:14.760 --> 00:01:17.760]  應該有的生命應該是怎麼樣呢?
[00:01:17.760 --> 00:01:20.260]  在這裡保羅說我們在知識上面
[00:01:20.260 --> 00:01:24.000]  在認識上帝的內容上面
[00:01:24.000 --> 00:01:26.000]  我們會不斷的去更新
[00:01:26.000 --> 00:01:30.500]  好像做他的主的形象一樣
[00:01:30.500 --> 00:01:33.000]  這個新人穿上了耶穌基督
[00:01:33.000 --> 00:01:35.500]  應該有的態度是什麼呢?
[00:01:35.500 --> 00:01:38.260]  應該有的行為表現應該是怎麼樣呢?
[00:01:38.260 --> 00:01:41.000]  保羅在這裡去說
[00:01:41.000 --> 00:01:43.260]  當我們穿上了耶穌基督的時候
[00:01:43.260 --> 00:01:45.260]  你又穿上了耶穌基督
[00:01:45.260 --> 00:01:47.000]  我又穿上了耶穌基督
[00:01:47.000 --> 00:01:51.000]  所以在一個新人裡面的時候
[00:01:51.000 --> 00:01:54.740]  我們怎麼懷著信心和耶穌聯合在一起
[00:01:54.740 --> 00:01:56.500]  我們都是一個身體
[00:01:56.500 --> 00:01:58.000]  都是一個人
[00:01:58.000 --> 00:01:59.500]  歸為一體
[00:01:59.500 --> 00:02:01.500]  保羅在這裡是一個這樣的意思
[00:02:01.500 --> 00:02:03.500]  所以既然是一個身體
[00:02:03.500 --> 00:02:06.740]  我們就是要彼此去關顧
[00:02:06.740 --> 00:02:08.740]  我關顧你,你關顧我
[00:02:08.740 --> 00:02:11.500]  我體諒你,你體諒我
[00:02:11.500 --> 00:02:15.240]  所以在三章十二十七節
[00:02:15.240 --> 00:02:20.500]  保羅很詳細的說穿上了一個新人
[00:02:20.500 --> 00:02:23.000]  究竟有的行為應該是怎麼樣呢?
[00:02:23.000 --> 00:02:25.240]  十二至十四節保羅這樣說
[00:02:25.240 --> 00:02:27.500]  所以你們既是神的選民
[00:02:27.500 --> 00:02:29.500]  聖潔蒙愛的人
[00:02:29.500 --> 00:02:31.240]  就要傳憐憫恩慈
[00:02:31.240 --> 00:02:33.500]  謙虛溫柔忍耐的心
[00:02:33.500 --> 00:02:35.740]  倘若這人與那人有嫌隙
[00:02:35.740 --> 00:02:38.500]  總要彼此包容彼此饒恕
[00:02:38.500 --> 00:02:40.240]  主怎樣饒恕了你們
[00:02:40.240 --> 00:02:42.740]  你們也要怎樣饒恕人
[00:02:42.740 --> 00:02:45.000]  在這一切之外要傳掌愛心
[00:02:45.000 --> 00:02:48.240]  愛心就是聯絡傳得的
[00:02:48.240 --> 00:02:52.240]  在這裡保羅說出幾個字眼
[00:02:52.240 --> 00:02:54.000]  我們是神的選民
[00:02:54.000 --> 00:02:56.000]  我們是聖潔的,我們是蒙愛的
[00:02:56.000 --> 00:02:58.000]  形容這個身份
[00:02:58.000 --> 00:03:00.000]  這幾個詞語其實是
