
[00:00:00.000 --> 00:00:07.000]  今天我們要從大衛的經歷中來學功課
[00:00:07.000 --> 00:00:13.000]  大衛是一個那麼愛神的人
[00:00:13.000 --> 00:00:16.000]  竟然跌倒了
[00:00:16.000 --> 00:00:22.000]  有的人就拿大衛做跌倒的榜樣
[00:00:22.000 --> 00:00:27.000]  有的時候口裡不說
[00:00:27.000 --> 00:00:29.000]  但是心裡說
[00:00:29.000 --> 00:00:31.000]  大衛那麼好都跌倒
[00:00:31.000 --> 00:00:33.000]  何況我呢
[00:00:33.000 --> 00:00:37.000]  所以我跌倒算不得什麼大事
[00:00:37.000 --> 00:00:41.000]  我和大衛差不多
[00:00:41.000 --> 00:00:46.000]  但是很少人講下去
[00:00:46.000 --> 00:00:49.000]  說大衛跌倒了
[00:00:49.000 --> 00:00:53.000]  但是他那麼憂傷痛悔的悔改
[00:00:53.000 --> 00:00:55.000]  他寫的詩篇五十一篇
[00:00:55.000 --> 00:01:00.000]  真是一字一律的向神的傾訴
[00:01:00.000 --> 00:01:04.000]  這件事很多人不學了
[00:01:04.000 --> 00:01:07.000]  只學他的跌倒
[00:01:07.000 --> 00:01:13.000]  沒有學他的憂傷痛悔悔改復興
[00:01:13.000 --> 00:01:19.000]  我們要從大衛的身上學完全的功課
[00:01:19.000 --> 00:01:22.000]  我們看他原來怎麼樣愛神
[00:01:22.000 --> 00:01:25.000]  後來怎麼會跌倒
[00:01:25.000 --> 00:01:28.000]  跌倒以後他又如何的復興
[00:01:28.000 --> 00:01:34.000]  恢復他愛神的心和與神的關係交通
[00:01:34.000 --> 00:01:40.000]  我們一同來看大衛的
[00:01:40.000 --> 00:01:44.000]  生平中最重要的一些事情
[00:01:44.000 --> 00:01:47.000]  讓我們來學功課
[00:01:48.000 --> 00:01:52.000]  首先我們看大衛如何的愛神
[00:01:52.000 --> 00:01:57.000]  在《撒末爾紀》上十三章十四節
[00:01:57.000 --> 00:02:00.000]  撒上十三章十四節說
[00:02:00.000 --> 00:02:04.000]  大衛是和神心意的人
[00:02:04.000 --> 00:02:08.000]  這就表示神愛大衛
[00:02:08.000 --> 00:02:11.000]  神對大衛的愛沒有落空
[00:02:11.000 --> 00:02:13.000]  感謝神
[00:02:13.000 --> 00:02:16.000]  大衛也愛神
[00:02:16.000 --> 00:02:19.000]  所以他的愛神的表現
[00:02:19.000 --> 00:02:23.000]  實在常常感動我們的心
[00:02:23.000 --> 00:02:27.000]  神對大衛的愛不是單純的
[00:02:27.000 --> 00:02:30.000]  有很多的人得到神的愛
[00:02:30.000 --> 00:02:32.000]  神的愛對他是單純的
[00:02:32.000 --> 00:02:33.000]  只有神愛他
[00:02:33.000 --> 00:02:36.000]  他沒有回應神的愛
[00:02:36.000 --> 00:02:38.000]  大衛不是那樣
[00:02:38.000 --> 00:02:39.000]  神愛他
[00:02:39.000 --> 00:02:42.000]  他也愛神
[00:02:42.000 --> 00:02:45.000]  我記得我的第二個孩子
[00:02:45.000 --> 00:02:47.000]  很小的時候
[00:02:47.000 --> 00:02:49.000]  一兩歲
[00:02:49.000 --> 00:02:51.000]  有一天
[00:02:51.000 --> 00:02:54.000]  老師母就問他
[00:02:54.000 --> 00:02:59.000]  她常常叫他的名字叫松松
[00:02:59.000 --> 00:03:01.000]  就問他說
[00:03:01.000 --> 00:03:04.000]  媽媽愛誰
[00:03:04.000 --> 00:03:06.000]  他說媽媽愛松松
[00:03:06.000 --> 00:03:08.000]  跟著媽媽問他說
[00:03:08.000 --> 00:03:09.000]  松松愛誰
[00:03:09.000 --> 00:03:12.000]  他說松松愛松松
[00:03:12.000 --> 00:03:17.000]  這件事我永遠忘記不了
[00:03:17.000 --> 00:03:19.000]  媽媽愛我
[00:03:19.000 --> 00:03:21.000]  我愛我
[00:03:21.000 --> 00:03:23.000]  很多基督徒也是這樣
[00:03:23.000 --> 00:03:24.000]  神愛我
[00:03:24.000 --> 00:03:26.000]  我愛我
[00:03:26.000 --> 00:03:28.000]  沒有回應神的愛
[00:03:28.000 --> 00:03:30.000]  我記得我自己小的時候
[00:03:30.000 --> 00:03:33.000]  我常常有預備兩個碗的
[00:03:33.000 --> 00:03:34.000]  吃飯的時候
[00:03:34.000 --> 00:03:38.000]  我先看一看飯桌上擺著什麼菜
[00:03:39.000 --> 00:03:41.000]  如果說我喜歡吃的
[00:03:41.000 --> 00:03:44.000]  我就去拿個大碗來
[00:03:44.000 --> 00:03:45.000]  請媽媽裝滿
[00:03:45.000 --> 00:03:47.000]  如果是不歡喜吃的
[00:03:47.000 --> 00:03:48.000]  拿個小碗來
[00:03:48.000 --> 00:03:49.000]  媽媽開始裝
[00:03:49.000 --> 00:03:52.000]  我說夠了夠了夠了
[00:03:52.000 --> 00:03:54.000]  兩個不同的容量
[00:03:54.000 --> 00:03:56.000]  一個是節受的
[00:03:56.000 --> 00:03:59.000]  一個是回報的
[00:03:59.000 --> 00:04:03.000]  我們常常有兩個不同的容量
[00:04:03.000 --> 00:04:05.000]  節受的多
[00:04:05.000 --> 00:04:07.000]  回報的少
[00:04:07.000 --> 00:04:09.000]  我們靈受的時候越多越好
[00:04:09.000 --> 00:04:14.000]  回報的時候越少越好
[00:04:14.000 --> 00:04:21.000]  我們從大衛的身上來學一個愛神的功課
[00:04:21.000 --> 00:04:23.000]  那為什麼要愛神呢
[00:04:23.000 --> 00:04:27.000]  我們看基督的經文
[00:04:27.000 --> 00:04:36.000]  十篇十六篇第五節
[00:04:36.000 --> 00:04:39.000]  耶和華是我的產業
[00:04:39.000 --> 00:04:41.000]  是我杯中的糞
[00:04:41.000 --> 00:04:45.000]  我所得的你為我持守
[00:04:45.000 --> 00:04:49.000]  杯中的糞是什麼意思呢
[00:04:49.000 --> 00:04:53.000]  坦白說就是酒
[00:04:53.000 --> 00:04:56.000]  這個杯是酒杯
[00:04:56.000 --> 00:05:01.000]  大衛解釋的意思是這樣
[00:05:01.000 --> 00:05:03.000]  對一般的人來說
[00:05:03.000 --> 00:05:06.000]  酒杯是他們滿足
[00:05:06.000 --> 00:05:10.000]  在酒杯裡有喜樂
[00:05:10.000 --> 00:05:12.000]  但是大衛說
[00:05:12.000 --> 00:05:16.000]  耶和華是我的杯
[00:05:16.000 --> 00:05:19.000]  耶和華是我的滿足
[00:05:19.000 --> 00:05:22.000]  耶和華是我的喜樂
[00:05:22.000 --> 00:05:26.000]  他是這樣的一個心情
[00:05:26.000 --> 00:05:29.000]  我們再看第十七篇
[00:05:29.000 --> 00:05:35.000]  十七篇十五節
[00:05:35.000 --> 00:05:36.000]  至於我
[00:05:36.000 --> 00:05:39.000]  我必在意中見你的面
[00:05:39.000 --> 00:05:40.000]  我醒了的時候
[00:05:40.000 --> 00:05:42.000]  得見你的形象
[00:05:42.000 --> 00:05:46.000]  就心滿意足了
[00:05:46.000 --> 00:05:47.000]  在這裡大衛說
[00:05:47.000 --> 00:05:49.000]  我醒了的時候
[00:05:49.000 --> 00:05:53.000]  這不是指著每天早上醒過來說的
[00:05:53.000 --> 00:05:58.000]  那是指著在永世中醒過來
[00:05:58.000 --> 00:06:04.000]  那個時候在天家見到神的面
[00:06:04.000 --> 00:06:07.000]  神的形象就是神的面
[00:06:07.000 --> 00:06:11.000]  就心滿意足了
[00:06:11.000 --> 00:06:13.000]  他的意思就是說
[00:06:13.000 --> 00:06:15.000]  他到天家的時候
[00:06:15.000 --> 00:06:17.000]  最是他喜樂滿足的
