
[00:00:00.000 --> 00:00:10.000]  在一個段落裏,其實耶穌是記載了耶穌醫治十個長大麻風的病人,行做一個神蹟。
[00:00:10.000 --> 00:00:19.000]  在耶穌的生平裏面,可以說是醫治大麻風病人,其實有很重要的一個意義在裏面。
[00:00:19.000 --> 00:00:28.000]  就在《讓風》裏面都有幾次的記載,耶穌去醫治一些大麻風的病人。
[00:00:28.000 --> 00:00:33.000]  如果大家還記得當施洗約翰去猜派人去問耶穌,
[00:00:33.000 --> 00:00:38.000]  你是不是我們所等的那一位上帝猜派來的那個尼塞亞呢?
[00:00:38.000 --> 00:00:42.000]  耶穌怎樣回答呢?耶穌就說,其中一個回答就說,
[00:00:42.000 --> 00:00:51.000]  你去將我長大麻風的得潔症,就是這一件事,去告訴施洗約翰。
[00:00:51.000 --> 00:00:54.000]  當然耶穌講了一些說話,但其中一個就是說,
[00:00:54.000 --> 00:01:01.000]  那個長大麻風的得醫治,去告訴施洗約翰,我做過一件這樣的事。
[00:01:01.000 --> 00:01:09.000]  長大麻風的得潔症,去證明耶穌就是要來的,上帝猜派來的那一個尼塞亞。
[00:01:09.000 --> 00:01:16.000]  在這裏,耶穌治好了十個長大麻風的病人,在這裏同樣去證明,
[00:01:16.000 --> 00:01:24.000]  他就是上帝所猜派來的那一個救贖主。在路加福音第四章,
[00:01:24.000 --> 00:01:33.000]  在拿撒勒的會堂裏面,都記載耶穌引述先知以利沙去治好了一個麻風病人,
[00:01:33.000 --> 00:01:36.000]  那個人叫做乃曼,耶穌這樣說,
[00:01:36.000 --> 00:01:41.000]  他說在先知以利沙的時候,以色列當中有許多長大麻風的,
[00:01:41.000 --> 00:01:46.000]  但內宗除了敘利亞國的乃曼,沒有一個得潔症的。
[00:01:46.000 --> 00:01:56.000]  在經文裏面,去記載,和乃曼的記載,其實有很多類同的地方,
[00:01:56.000 --> 00:02:02.000]  都是講到有一個外邦的人,長了大麻風的一個病人,
[00:02:02.000 --> 00:02:11.000]  在撒瑪利亞地區,一個地方來到上帝的面前,在舊約裏面,當來到先知的面前,
[00:02:11.000 --> 00:02:16.000]  在這裏就講到一個麻風病人來到耶穌的面前,
[00:02:16.000 --> 00:02:21.000]  這個病人從遠處離開的時候就被治好了,
[00:02:21.000 --> 00:02:28.000]  這個麻風病人治好了之後,他向上帝有一個感恩和一個讚美,
[00:02:28.000 --> 00:02:36.000]  在這段經文裏面,可以說記載著很重要的一個重點,
