
[00:00:00.000 --> 00:00:04.000]  今天晚上我們要在聖經裡面看
[00:00:04.000 --> 00:00:13.000]  每一個基督徒靈性上應該有的七步的經歷
[00:00:13.000 --> 00:00:24.000]  我們一步一步地這樣的前進
[00:00:26.000 --> 00:00:31.000]  這些是基本的經驗,必須有的經驗
[00:00:31.000 --> 00:00:38.000]  我們在聖經裡面看的時候
[00:00:38.000 --> 00:00:43.000]  我們每個人可以對照自己
[00:00:43.000 --> 00:00:48.000]  我有沒有這個經驗
[00:00:48.000 --> 00:00:53.000]  如果沒有,我們就更要追求了
[00:00:53.000 --> 00:00:59.000]  如果有,我們感謝主
[00:00:59.000 --> 00:01:02.000]  還有保守
[00:01:02.000 --> 00:01:06.000]  還有更深的有這些經歷
[00:01:06.000 --> 00:01:12.000]  我們要看七處的經文
[00:01:12.000 --> 00:01:19.000]  每一處的經文代表一個經歷
[00:01:20.000 --> 00:01:24.000]  同時,每一處的經文有一個歷史的背景
[00:01:24.000 --> 00:01:33.000]  這個歷史的背景更幫助我們瞭解經文的意義
[00:01:33.000 --> 00:01:41.000]  好,現在我們開始來看
[00:01:46.000 --> 00:01:49.000]  第一處的經文
[00:01:49.000 --> 00:01:55.000]  我們剛才讀過的那一段裡面
[00:01:55.000 --> 00:02:01.000]  羅馬書七章二十四節
[00:02:01.000 --> 00:02:08.000]  羅馬書七章二十四節
[00:02:12.000 --> 00:02:16.000]  在這裡保羅有一個痛苦的呼聲
[00:02:16.000 --> 00:02:28.000]  他說我真是苦啊,誰能救我脫離這個取死的身體呢?
[00:02:28.000 --> 00:02:39.000]  取死的身體的英文的翻譯不同
[00:02:40.000 --> 00:02:44.000]  裡面有一個意思,就是一個死人的身體
[00:02:44.000 --> 00:02:56.000]  為什麼保羅這樣講呢?
[00:02:56.000 --> 00:03:00.000]  有一個歷史的背景
[00:03:00.000 --> 00:03:07.000]  當時羅馬帝國有一種很可怕的死刑
[00:03:07.000 --> 00:03:12.000]  如果一個人被定了這個死刑的話
[00:03:12.000 --> 00:03:24.000]  那麼他和一個死人的身體就綁在一起
[00:03:24.000 --> 00:03:33.000]  面對面,眼對眼,口對口那樣跟一個死人綁在一起
[00:03:34.000 --> 00:03:38.000]  然後呢,被丟在外面露天的地方
[00:03:38.000 --> 00:03:46.000]  白天在那裡,晚上也在那裡
[00:03:46.000 --> 00:03:58.000]  這個國人沒有辦法脫離那個死人
[00:03:59.000 --> 00:04:03.000]  這樣下去,一直到這個活人死的時候為止
[00:04:03.000 --> 00:04:11.000]  這是個很殘忍的死刑
