
[00:00:00.000 --> 00:00:02.000]  現在我們講宗教經驗
[00:00:02.000 --> 00:00:06.400]  宗教經驗我們先從廣義來講
[00:00:06.400 --> 00:00:10.400]  廣義來看宗教經驗可以說是這樣的情況
[00:00:10.400 --> 00:00:13.600]  我們先兩堂都講到如果用形象來講
[00:00:13.600 --> 00:00:17.200]  是水平的平面關係
[00:00:17.200 --> 00:00:20.200]  第一堂講人是怎樣的呢
[00:00:20.200 --> 00:00:23.000]  首先他要尋索真我
[00:00:23.000 --> 00:00:25.400]  Individualization 一個自我
[00:00:25.400 --> 00:00:28.400]  個別 每個個體的獨特性
[00:00:28.400 --> 00:00:30.800]  然後這個個體的獨特性
[00:00:30.800 --> 00:00:35.400]  第二個特色就是他要投入群體才能完成他自己
[00:00:35.400 --> 00:00:37.800]  人的個體雖然是獨特
[00:00:37.800 --> 00:00:39.600]  但他本身沒辦法完成他自己
[00:00:39.600 --> 00:00:40.600]  他是不足夠的
[00:00:40.600 --> 00:00:43.600]  Insufficient as an individual
[00:00:43.600 --> 00:00:45.600]  所以他投入群體
[00:00:45.600 --> 00:00:52.800]  個人投入群體就找到一個比較全面的人性的描述
[00:00:52.800 --> 00:00:53.800]  這是基督教人
[00:00:53.800 --> 00:00:58.800]  第三個就是消極面來講人有犯罪的可能性
[00:00:58.800 --> 00:01:00.800]  其實我的人觀就是這麼簡單
[00:01:00.800 --> 00:01:01.800]  三點來的
[00:01:01.800 --> 00:01:03.800]  當然可以延展到很多東西
[00:01:03.800 --> 00:01:05.800]  基本上我講的這兩點
[00:01:05.800 --> 00:01:09.800]  就是講到一個平面的人際之間的關係
[00:01:09.800 --> 00:01:11.800]  Individualization and participation
[00:01:11.800 --> 00:01:16.800]  還有一點沒講的就是垂直面
[00:01:16.800 --> 00:01:19.800]  垂直就是人超越他自己
[00:01:19.800 --> 00:01:23.800]  超越他自己這個我們可以說是一個宗教經驗的層次
[00:01:23.800 --> 00:01:29.800]  宗教經驗就是在於將主體指向一個他以外的
[00:01:29.800 --> 00:01:30.800]  不是其他人
[00:01:30.800 --> 00:01:32.800]  不是其他人或是自然界
