
[00:00:00.000 --> 00:00:06.000]  大家會記得我們在今個季度有一個特別的題目
[00:00:06.000 --> 00:00:09.000]  「蒙照的人」
[00:00:09.000 --> 00:00:13.000]  我們提及到我們是蒙照作聖徒
[00:00:13.000 --> 00:00:17.000]  不單單講到上帝將永恆的國度賜給我們
[00:00:17.000 --> 00:00:21.000]  呼召我們進入他的國度裏面
[00:00:21.000 --> 00:00:24.000]  亦同時表達出上帝對我們今天的生活
[00:00:24.000 --> 00:00:27.000]  有各方面的呼召
[00:00:27.000 --> 00:00:30.000]  他盼望我們能夠按他的心意
[00:00:30.000 --> 00:00:33.000]  按他的旨意在不同的生活範圍
[00:00:33.000 --> 00:00:36.000]  來進行他的心意
[00:00:36.000 --> 00:00:41.000]  因為我們被他呼召進入他自己的國度裏面
[00:00:41.000 --> 00:00:44.000]  成為他的聖徒
[00:00:44.000 --> 00:00:47.000]  大家如果留意我們今次提及
[00:00:47.000 --> 00:00:51.000]  這個月份這個季度有的各個講題
[00:00:51.000 --> 00:00:54.000]  你會發覺提及有五方面的蒙照
[00:00:54.000 --> 00:00:59.000]  第一是蒙照進入神的家、神的教會
[00:00:59.000 --> 00:01:03.000]  第二蒙照進入世界作他的見證
[00:01:03.000 --> 00:01:08.000]  第三蒙照進入工作來見證主
[00:01:08.000 --> 00:01:11.000]  第四蒙照進入家庭
[00:01:11.000 --> 00:01:16.000]  第五蒙照進入安息裏面
[00:01:16.000 --> 00:01:19.000]  當你來到思想生活的各個層面的時候
[00:01:19.000 --> 00:01:23.000]  很清楚記得我們是蒙照
[00:01:23.000 --> 00:01:27.000]  不是好像被命運控制隨意的去生活
[00:01:27.000 --> 00:01:29.000]  而是有神給我們的引導
[00:01:29.000 --> 00:01:34.000]  在當中完成神對我們的託付或者使命
[00:01:34.000 --> 00:01:39.000]  而今天當我們思想到蒙照進入到工作的崗位
[00:01:39.000 --> 00:01:43.000]  聖經同時給我們一個很清楚的引導
[00:01:43.000 --> 00:01:46.000]  蒙照進入不同的崗位
[00:01:46.000 --> 00:01:49.000]  或者一些受薪的職業
[00:01:49.000 --> 00:01:52.000]  或者一些非職業性的崗位
[00:01:52.000 --> 00:01:54.000]  或者義務性的崗位
[00:01:54.000 --> 00:01:59.000]  無論如何這些崗位是有神對我們的分派
[00:01:59.000 --> 00:02:02.000]  有神對我們的心意
[00:02:02.000 --> 00:02:05.000]  不單單是為了叫我們能夠謀生活
[00:02:05.000 --> 00:02:07.000]  可以有生活費用
[00:02:07.000 --> 00:02:10.000]  可以自己或者得到某一些社會的地位
[00:02:10.000 --> 00:02:14.000]  更加重要的就是有神給我們的呼召
[00:02:14.000 --> 00:02:16.000]  進入某一些的崗位當中
[00:02:16.000 --> 00:02:19.000]  按著他的指引來生活
[00:02:19.000 --> 00:02:22.000]  也可以去榮耀上帝
[00:02:22.000 --> 00:02:24.000]  因此今天當我們看到工作的時候
[00:02:24.000 --> 00:02:30.000]  我們就會問神帶領我們進入哪一個崗位
[00:02:30.000 --> 00:02:33.000]  神對我們的呼召是什麼呢?
[00:02:33.000 --> 00:02:35.000]  祂喜悅我們在工作崗位當中
[00:02:35.000 --> 00:02:38.000]  怎樣能夠去見證祂呢?
[00:02:38.000 --> 00:02:41.000]  我們一起思想聖經的話
[00:02:41.000 --> 00:02:46.000]  大家一起看看聖經第七章第十七節
[00:02:46.000 --> 00:02:50.000]  聖經就說:不過主怎樣分給各人
[00:02:50.000 --> 00:02:53.000]  神怎樣呼召各人
[00:02:53.000 --> 00:02:56.000]  各人就要照著去行事為人
[00:02:56.000 --> 00:03:00.000]  我也這樣吩咐各教會
[00:03:00.000 --> 00:03:03.000]  上帝給我們不同的工作崗位
[00:03:03.000 --> 00:03:06.000]  但是聖經給我們的指導
[00:03:06.000 --> 00:03:13.000]  就是這些崗位不會產生了我們在神面前地位的不同
[00:03:13.000 --> 00:03:17.000]  神仍然是同樣地來重視我們
[00:03:17.000 --> 00:03:21.000]  不因為崗位不同而有所改變
