
[00:00:00.000 --> 00:00:04.000]  今天要看的是聖經裏面
[00:00:04.000 --> 00:00:11.200]  關於侍奉的幾個比喻
[00:00:11.200 --> 00:00:13.600]  第一個比喻
[00:00:13.600 --> 00:00:19.880]  請大家回到哥林多前書
[00:00:19.880 --> 00:00:25.640]  第三章
[00:00:25.640 --> 00:00:29.200]  第十二節
[00:00:29.200 --> 00:00:31.600]  到第十五節
[00:00:31.600 --> 00:00:34.200]  臨前三章十二至十五節
[00:00:34.200 --> 00:00:36.800]  若有人用金銀寶石
[00:00:36.800 --> 00:00:40.520]  草木和街在這根基上建造
[00:00:40.520 --> 00:00:42.920]  各人的工程必然顯露
[00:00:42.920 --> 00:00:46.000]  因為那日子要將它表明出來
[00:00:46.000 --> 00:00:47.520]  有火發現
[00:00:47.520 --> 00:00:50.800]  這火要試驗各人的工程怎樣
[00:00:50.800 --> 00:00:53.760]  人在那根基上所建造的工程
[00:00:53.760 --> 00:00:55.080]  若傳得住
[00:00:55.080 --> 00:00:56.880]  它就要得賞賜
[00:00:56.880 --> 00:00:58.880]  人的工程若被燒了
[00:00:58.880 --> 00:01:00.640]  它就要受虧損
[00:01:00.640 --> 00:01:02.320]  自己卻要得救
[00:01:02.320 --> 00:01:04.560]  雖然得救
[00:01:04.560 --> 00:01:07.720]  乃從火裏經過一樣
[00:01:07.720 --> 00:01:14.240]  這個比喻給我們很重要的提醒
[00:01:14.240 --> 00:01:20.880]  我們的工程有一天要受試驗
[00:01:20.880 --> 00:01:26.840]  它的真正的價值要顯出來
[00:01:26.840 --> 00:01:29.800]  我們一想到這裏
[00:01:29.800 --> 00:01:34.920]  我們心裏就得到提醒
[00:01:34.920 --> 00:01:38.120]  我們就問自己
[00:01:38.120 --> 00:01:39.920]  到底我的侍奉
[00:01:39.920 --> 00:01:42.680]  是不是金銀寶石的侍奉
[00:01:42.680 --> 00:01:49.080]  或者是草木和街的侍奉
[00:01:49.080 --> 00:01:59.520]  表面的侍奉是草木和街的侍奉
[00:01:59.520 --> 00:02:03.280]  生命的侍奉
[00:02:03.280 --> 00:02:09.600]  是金銀寶石的侍奉
[00:02:09.600 --> 00:02:15.920]  如果我們的工作是徒有其表
[00:02:15.920 --> 00:02:19.800]  沒有屬靈的實際
[00:02:19.800 --> 00:02:25.280]  沒有真正屬靈的果子結出來
[00:02:25.280 --> 00:02:34.200]  我們侍奉的價值就要大打折扣
[00:02:34.200 --> 00:02:38.920]  這裏提到有工作的審判
[00:02:38.920 --> 00:02:41.440]  在這個審判裏面
[00:02:41.440 --> 00:02:44.240]  有人得獎賞
[00:02:44.240 --> 00:02:47.760]  有人受虧損
[00:02:47.760 --> 00:02:54.880]  這是真正值得我們深深注意的事
[00:02:54.880 --> 00:02:59.520]  主對撒迪的教會說
[00:02:59.520 --> 00:03:03.240]  按明你是活的
[00:03:03.240 --> 00:03:08.320]  其實是死的
[00:03:08.320 --> 00:03:13.400]  有明無實的工作
[00:03:13.400 --> 00:03:19.400]  什麼是有明無實的工作呢
[00:03:19.400 --> 00:03:24.480]  就是沒有把人真正帶到祖的面前工作
[00:03:24.480 --> 00:03:29.560]  就是沒有把人真正帶到主面前的工作
[00:03:29.560 --> 00:03:34.280]  未曾使人得重生
[00:03:34.280 --> 00:03:37.560]  或者重生之後
[00:03:37.560 --> 00:03:47.080]  未曾進到結出生命果子的地步
[00:03:47.080 --> 00:03:50.760]  當我們聽到主提醒撒迪教會的話的時候
[00:03:50.760 --> 00:03:55.080]  我們立即肅靜下來
[00:03:55.080 --> 00:03:57.440]  我們就應該祈禱說
[00:03:57.440 --> 00:04:02.120]  主啊 我真需要祢的光照
[00:04:02.120 --> 00:04:05.520]  需要祢的檢查
[00:04:05.520 --> 00:04:10.600]  使我用祢的眼光來看我自己的侍奉
[00:04:10.600 --> 00:04:15.280]  到底我的侍奉是表面的還是內心的
[00:04:15.280 --> 00:04:24.000]  我的侍奉裡面有沒有真正的屬靈的實際呢?
[00:04:24.000 --> 00:04:35.560]  第二個比喻 我們看舊約 耶利米蘇 十三章十二章
[00:04:35.560 --> 00:05:02.320]  第二個比喻 我們看舊約 耶利米蘇 十三章十一節
[00:05:02.320 --> 00:05:05.800]  耶利米蘇 十三章十一節
[00:05:05.800 --> 00:05:10.640]  耶和說:要大怎樣是緊貼人要
[00:05:10.640 --> 00:05:16.080]  照樣我也使以色列全家和猶大全家緊貼我
[00:05:16.080 --> 00:05:18.520]  好叫他們屬我為子民
[00:05:18.520 --> 00:05:22.480]  使我得名聲 得重讚 得榮耀
[00:05:22.480 --> 00:05:25.040]  他們卻不肯聽
[00:05:25.040 --> 00:05:28.440]  這個比喻告訴我們
[00:05:28.440 --> 00:05:34.040]  以色列人好像神的腰帶
[00:05:34.040 --> 00:05:36.520]  神要用他們
[00:05:36.520 --> 00:05:41.520]  讓神得頌讚 得榮耀
[00:05:41.520 --> 00:05:44.480]  但是有一個條件
[00:05:44.480 --> 00:05:54.680]  就是腰帶要緊貼神的腰
[00:05:54.680 --> 00:05:58.960]  意思就是要靠近神
[00:05:58.960 --> 00:06:04.560]  這樣才能從神知取能力
[00:06:04.560 --> 00:06:07.480]  完成使命
[00:06:07.480 --> 00:06:12.240]  剛才我們從第一個比喻看見
[00:06:12.240 --> 00:06:17.640]  我們要做的工作是屬靈的工作
[00:06:17.640 --> 00:06:23.880]  是生命的工作 是結果子的工作
[00:06:23.880 --> 00:06:28.080]  當我們想到這樣的需要的時候
[00:06:28.080 --> 00:06:30.840]  我們立刻感覺
[00:06:30.840 --> 00:06:36.960]  誰能做成這樣生命的工作
[00:06:36.960 --> 00:06:40.520]  我們自己實在做不到
[00:06:40.520 --> 00:06:45.200]  如果我們對自己有真的認識
[00:06:45.200 --> 00:06:52.240]  就知道自己萬無可能做成真正的永恆的工作
[00:06:52.240 --> 00:06:56.000]  因此我們立刻心預備好
[00:06:56.000 --> 00:07:02.560]  接受第二個比喻的訊息
[00:07:02.560 --> 00:07:05.360]  我們需要靠近主
[00:07:05.360 --> 00:07:07.680]  接受祂的能力
[00:07:07.680 --> 00:07:10.320]  讓主來做公
[00:07:10.320 --> 00:07:12.720]  讓聖靈做公
[00:07:12.720 --> 00:07:15.760]  讓我們接受祂的能力
[00:07:15.760 --> 00:07:18.720]  讓我們接受祂的能力
[00:07:18.720 --> 00:07:22.600]  讓主來做公
[00:07:22.600 --> 00:07:27.600]  讓我們自己不過做器皿
