
[00:00:00.000 --> 00:00:03.720]  大家知道我們今年開始有一個五年的計劃
[00:00:03.720 --> 00:00:06.720]  就是讓教會成為使命的教會
[00:00:06.720 --> 00:00:10.360]  有人會問什麼叫做使命教會呢?
[00:00:10.360 --> 00:00:14.200]  是不是一些很新奇的方向呢?
[00:00:14.200 --> 00:00:18.320]  其實完全不是一些新奇的名稱
[00:00:18.320 --> 00:00:22.280]  其實只是我們將神一直給我們的方向
[00:00:22.280 --> 00:00:26.200]  再確實地表明出來
[00:00:26.200 --> 00:00:30.600]  大家知道北宣的使命宣言是什麼嗎?
[00:00:30.600 --> 00:00:33.600]  我每年年初都會考考大家
[00:00:33.600 --> 00:00:37.280]  以神的愛燃點生命
[00:00:37.280 --> 00:00:41.960]  實踐施比受更為有福的生活
[00:00:41.960 --> 00:00:43.800]  試試再讀一次
[00:00:43.800 --> 00:00:47.280]  以神的愛燃點生命
[00:00:47.280 --> 00:00:52.360]  實踐施比受更為有福的生活
[00:00:52.360 --> 00:00:54.960]  使命教會就是向神表明
[00:00:54.960 --> 00:00:56.880]  我們會很認真
[00:00:56.880 --> 00:01:00.400]  我們很盼望能夠真實地實踐
[00:01:00.400 --> 00:01:03.160]  施比受更為有福
[00:01:03.160 --> 00:01:06.040]  神對我們的吩咐
[00:01:06.040 --> 00:01:08.360]  我們不想單單是一個口號
[00:01:08.360 --> 00:01:13.040]  而是渴望真實地走出來
[00:01:13.040 --> 00:01:14.640]  因此我們會想到
[00:01:14.640 --> 00:01:16.800]  我們不是疏忽自己的需要
[00:01:16.800 --> 00:01:18.560]  弟兄姊妹的需要
[00:01:18.560 --> 00:01:20.400]  而是我們會相信
[00:01:20.400 --> 00:01:24.200]  當我們學習憑信心去付出
[00:01:24.200 --> 00:01:26.880]  神會眷顧我們的需要
[00:01:26.880 --> 00:01:29.800]  亦會讓我們有真實的成長
[00:01:29.800 --> 00:01:34.680]  成長不單單是你回應到自己的需要而已
[00:01:34.680 --> 00:01:39.240]  而是當你學習遵行神的吩咐
[00:01:39.240 --> 00:01:40.600]  在過程當中
[00:01:40.600 --> 00:01:43.640]  去經歷神如何滿足你的需要
[00:01:43.640 --> 00:01:47.000]  又透過你去賜福別人
[00:01:47.000 --> 00:01:51.480]  因此相信施比受更為有福
[00:01:51.480 --> 00:01:53.480]  而是真正的行出來
[00:01:53.480 --> 00:01:56.760]  就是我們一個重要的方向
[00:01:56.760 --> 00:01:58.360]  因此未來的幾年
[00:01:58.360 --> 00:02:00.240]  我們大家彼此的面泥
[00:02:00.240 --> 00:02:02.520]  向這個方向來追求
[00:02:02.520 --> 00:02:05.320]  讓你有一個使命的人生
[00:02:05.320 --> 00:02:08.360]  讓教會成為使命的教會
[00:02:08.360 --> 00:02:10.720]  而我們未來的季度裏面
[00:02:10.720 --> 00:02:13.280]  每一次都會回答這個問題
[00:02:13.280 --> 00:02:16.840]  究竟使命教會是怎樣的教會呢?
[00:02:16.840 --> 00:02:19.600]  我們今日首先的回覆就是
[00:02:19.600 --> 00:02:21.640]  使命教會其中一方面
