
[00:00:00.000 --> 00:00:05.320]  在聖經裏面關於聖靈很重要的教導
[00:00:05.320 --> 00:00:09.800]  最主要的經文也是集中在這兩段
[00:00:09.800 --> 00:00:12.800]  今天我們是約翰福音這一段
[00:00:12.800 --> 00:00:17.400]  下一次我們會講到羅馬書第八章那一段
[00:00:17.400 --> 00:00:19.520]  我們下一次才會講到羅馬書
[00:00:19.520 --> 00:00:21.800]  今天我們先集中在約翰福音
[00:00:21.800 --> 00:00:24.520]  剛才我們所讀的經文
[00:00:24.520 --> 00:00:26.000]  如果你有聖經的話
[00:00:26.000 --> 00:00:29.000]  你跟我一起打開約翰福音
[00:00:29.000 --> 00:00:30.520]  十四章
[00:00:30.520 --> 00:00:33.000]  我們今天比較多在聖經裏面
[00:00:33.000 --> 00:00:36.120]  十四章、十六章
[00:00:36.120 --> 00:00:38.720]  十五章如果有時間也會講一點
[00:00:38.720 --> 00:00:41.000]  但我基本都是講十四章
[00:00:41.000 --> 00:00:47.000]  和第十六章的一些教導
[00:00:47.000 --> 00:00:49.720]  為什麼要講聖靈
[00:00:49.720 --> 00:00:53.320]  我覺得對於我們來說
[00:00:53.320 --> 00:00:59.320]  有時候我們有兩個極端的想法
[00:00:59.320 --> 00:01:01.920]  有些人說你講聖靈
[00:01:01.920 --> 00:01:04.320]  即是靈恩派、靈恩教會
[00:01:04.320 --> 00:01:06.120]  靈恩教會經常講聖靈
[00:01:06.120 --> 00:01:08.120]  我們不是靈恩教會
[00:01:08.120 --> 00:01:10.120]  但是我們告訴大家
[00:01:10.120 --> 00:01:13.920]  靈恩教會講聖靈是他的做法
[00:01:13.920 --> 00:01:17.120]  但不等於我們不要講聖靈
[00:01:17.120 --> 00:01:22.520]  有時候靈恩教會講聖靈就過火一點
[00:01:22.520 --> 00:01:26.920]  但有些教會連聖靈都不講就死火
[00:01:26.920 --> 00:01:29.520]  我們不想成為一個死火的教會
[00:01:29.520 --> 00:01:30.120]  為什麼?
[00:01:30.120 --> 00:01:32.520]  因為聖靈其實是很重要的
[00:01:32.520 --> 00:01:34.720]  聖經裏面有些很重要的真理
[00:01:34.720 --> 00:01:37.520]  因為聖靈就是三位一體的神自己
[00:01:37.520 --> 00:01:39.320]  但是一般來說
[00:01:39.320 --> 00:01:43.320]  如果我們說聖父、聖子、聖靈
[00:01:43.320 --> 00:01:44.520]  我不知道你對不對
[00:01:44.520 --> 00:01:48.520]  我估計我們講得出聖靈的
[00:01:48.520 --> 00:01:51.720]  有關方面的認識和真理是最少的
[00:01:51.720 --> 00:01:53.520]  因為聖父我們知道很多
[00:01:53.520 --> 00:01:54.720]  他創造了這個世界
[00:01:54.720 --> 00:01:56.920]  他安排了我們的人生
[00:01:56.920 --> 00:01:59.120]  他有個旨意帶領我們
[00:01:59.120 --> 00:02:00.520]  他有保護我們
[00:02:00.520 --> 00:02:01.520]  他看顧我們
[00:02:01.520 --> 00:02:04.320]  很多東西可以講得到
[00:02:04.320 --> 00:02:05.720]  聖子就更多了
[00:02:05.720 --> 00:02:06.920]  耶穌基督很多了
[00:02:06.920 --> 00:02:08.120]  四個福音書
[00:02:08.120 --> 00:02:09.720]  因為他所做的神蹟
[00:02:09.720 --> 00:02:10.720]  他所講的說話
[00:02:10.720 --> 00:02:12.320]  我們都很熟悉很熟悉
[00:02:12.320 --> 00:02:16.320]  聖靈呢?
[00:02:16.320 --> 00:02:18.920]  可能講不到五句
[00:02:18.920 --> 00:02:21.720]  所以我們說其實都是神自己
[00:02:21.720 --> 00:02:23.720]  神自己不同的身份
[00:02:23.720 --> 00:02:28.120]  但這個是我們最缺乏認識的
[00:02:28.120 --> 00:02:30.320]  但其實我會和大家說
[00:02:30.320 --> 00:02:33.520]  聖靈是和我們最貼身關係的
[00:02:33.520 --> 00:02:35.720]  那個所經歷神的部分
[00:02:35.720 --> 00:02:37.520]  那些的體會來的
[00:02:37.520 --> 00:02:39.120]  所以我很有心
[00:02:39.120 --> 00:02:40.920]  想和大家聖經的真理
[00:02:40.920 --> 00:02:44.520]  我們不是憑空估計
[00:02:44.520 --> 00:02:46.920]  我們從聖經的真理來講聖靈
[00:02:46.920 --> 00:02:49.520]  但是我們不是單單講理論
[00:02:49.520 --> 00:02:53.320]  我們將它轉到我們每天的經歷的生活裏面
[00:02:53.320 --> 00:02:54.720]  我們希望這兩個月
[00:02:54.720 --> 00:02:56.520]  我們帶起一個聖靈運動
[00:02:56.520 --> 00:02:57.320]  聽清楚
[00:02:57.320 --> 00:02:59.120]  不是靈因運動
[00:02:59.120 --> 00:03:00.920]  不要傳出去說
[00:03:00.920 --> 00:03:03.720]  溫偉耀走來這個傳福堂搞靈因運動
[00:03:03.720 --> 00:03:04.720]  不是
[00:03:04.720 --> 00:03:06.320]  聖靈運動
[00:03:06.320 --> 00:03:08.320]  我不一定贊成靈因運動
[00:03:08.320 --> 00:03:11.320]  但我絕對支持聖靈運動
[00:03:11.320 --> 00:03:11.920]  明白嗎?
[00:03:11.920 --> 00:03:14.320]  我們都要成為一個聖靈運動的教會
[00:03:14.320 --> 00:03:16.320]  有個spiritual movement
[00:03:16.320 --> 00:03:18.320]  有spiritual movement
[00:03:18.320 --> 00:03:22.120]  不是一定叫做spiritual gifts
[00:03:22.120 --> 00:03:24.520]  不是charismatic movement
[00:03:24.520 --> 00:03:25.920]  我們是spirit movement
[00:03:25.920 --> 00:03:27.920]  我們有聖靈的教會
[00:03:27.920 --> 00:03:29.520]  每一個弟兄姊妹
[00:03:29.520 --> 00:03:30.320]  在我心裏面
[00:03:30.320 --> 00:03:31.920]  我禱告我來之前
[00:03:31.920 --> 00:03:34.120]  我祈求神幫助我們
[00:03:34.120 --> 00:03:35.920]  我們聽到聖靈的真理
[00:03:35.920 --> 00:03:38.720]  我們就由今天開始去經歷它的真實
[00:03:38.720 --> 00:03:40.120]  然後我們兩個月之後
[00:03:40.120 --> 00:03:41.920]  或者根本就過了一個星期之後
[00:03:41.920 --> 00:03:43.520]  我們能夠和自己說
[00:03:43.520 --> 00:03:44.320]  和弟兄姊妹說
[00:03:44.320 --> 00:03:45.320]  感謝主
[00:03:45.320 --> 00:03:47.320]  聖靈原來真是這麼厲害的
[00:03:47.320 --> 00:03:48.520]  這麼真實的
[00:03:48.520 --> 00:03:50.120]  我的生命被祂焚燒
[00:03:50.120 --> 00:03:52.320]  我的生命被祂扭轉
[00:03:52.320 --> 00:03:54.920]  實在是一個很大的發言
[00:03:54.920 --> 00:03:55.920]  如果是這樣的話
[00:03:55.920 --> 00:03:57.320]  神很祝福我們的教會
[00:03:57.320 --> 00:03:58.720]  一個有聖靈的教會
[00:03:58.720 --> 00:04:00.320]  一定是神祝福我們的教會
[00:04:00.320 --> 00:04:00.920]  OK
[00:04:00.920 --> 00:04:01.320]  好了
[00:04:01.320 --> 00:04:03.320]  我們不要說這些題外話
[00:04:03.320 --> 00:04:06.920]  我們今天就轉到我們所讀的聖經當中
[00:04:06.920 --> 00:04:09.520]  有幾個很重要的真理
[00:04:09.520 --> 00:04:13.120]  我想和大家一起來研究一下
[00:04:13.120 --> 00:04:18.520]  剛才我們所讀的約翰福音十四章和十六章
[00:04:18.520 --> 00:04:21.720]  其實是一個整個段落
[00:04:21.720 --> 00:04:23.520]  如果你研究約翰福音
[00:04:23.520 --> 00:04:25.920]  你就知道那個背景
[00:04:25.920 --> 00:04:28.920]  其實約翰福音第十四章至第十六章
[00:04:28.920 --> 00:04:31.520]  如果你有心一路讀下去的時候
[00:04:31.520 --> 00:04:33.120]  你會發覺是一段
[00:04:33.120 --> 00:04:35.920]  整段都是耶穌的說話
[00:04:35.920 --> 00:04:38.520]  耶穌在什麼時候說這一段的說話呢
[00:04:38.520 --> 00:04:39.920]  這麼長的說話
[00:04:39.920 --> 00:04:42.520]  就是耶穌臨上十字架之前
[00:04:42.520 --> 00:04:44.720]  在聖餐之前
[00:04:44.720 --> 00:04:46.720]  就是最後晚餐的時候
[00:04:46.720 --> 00:04:50.120]  之前說了一個臨別贈言
[00:04:50.120 --> 00:04:52.120]  臨別贈言
[00:04:52.120 --> 00:04:53.120]  因為他上十字架了
[00:04:53.120 --> 00:04:54.520]  他會離開門徒了
[00:04:54.520 --> 00:04:56.720]  所以這一段說話是很重要的
[00:04:56.720 --> 00:04:58.520]  就是說最後有什麼要跟門徒說呢
[00:04:58.520 --> 00:04:59.320]  就是這一段
[00:04:59.320 --> 00:05:01.320]  所以這個是很重要的
[00:05:01.320 --> 00:05:05.120]  第十七章就說到大祭司的祈禱
[00:05:05.120 --> 00:05:07.320]  他為他們做了一個很長的祈禱
[00:05:07.320 --> 00:05:09.920]  然後就上十字架了
[00:05:09.920 --> 00:05:12.720]  所以這個可以說是一個最寶貴的
[00:05:12.720 --> 00:05:15.120]  最後的不要叫遺言
[00:05:15.120 --> 00:05:17.120]  臨別的贈言
[00:05:17.120 --> 00:05:18.720]  那麼這個臨別贈言
[00:05:18.720 --> 00:05:20.920]  為什麼這樣說呢
[00:05:20.920 --> 00:05:22.720]  如果你看回一開始十四章
[00:05:22.720 --> 00:05:24.120]  我們不用揭開的了
[00:05:24.120 --> 00:05:25.120]  那裡呢
[00:05:25.120 --> 00:05:26.320]  耶穌第一句開頭說
[00:05:26.320 --> 00:05:28.520]  你們心裡面不要憂愁
[00:05:28.520 --> 00:05:29.920]  為什麼
[00:05:29.920 --> 00:05:31.920]  當時門徒就是很憂愁
[00:05:31.920 --> 00:05:35.120]  所以耶穌就開始他這個講章
