
[00:00:00.000 --> 00:00:05.000]  今天和大家思想的是關於和諧家庭的訊息
[00:00:05.000 --> 00:00:08.000]  我早前留意到香港一個特別的調查
[00:00:08.000 --> 00:00:10.000]  就是調查香港的中學生
[00:00:10.000 --> 00:00:16.000]  這個調查估計香港大概有十萬個中一的學生
[00:00:16.000 --> 00:00:21.000]  調查發現其中大概有百分之十八、十八個百分比的學生
[00:00:21.000 --> 00:00:24.000]  他們屬於所謂高危少年
[00:00:24.000 --> 00:00:28.000]  意味著這些少年人如果不能有好的引導
[00:00:28.000 --> 00:00:31.000]  將來很大可能成為問題少年
[00:00:31.000 --> 00:00:34.000]  十八個百分比是高危少年
[00:00:34.000 --> 00:00:37.000]  調查也發現這些高危少年
[00:00:37.000 --> 00:00:42.000]  其中一個很重要的原因就是他們的家庭出了問題
[00:00:42.000 --> 00:00:45.000]  他們所說家庭的功能失調
[00:00:45.000 --> 00:00:50.000]  意味著父母之間有很多爭吵、不和的情況
[00:00:50.000 --> 00:00:52.000]  父母不知道去愛護子女
[00:00:52.000 --> 00:00:54.000]  家庭很多的爭吵
[00:00:54.000 --> 00:00:58.000]  父母沒有時間去留心家庭子女的需要
[00:00:58.000 --> 00:01:02.000]  這些所說的就是所謂功能失調
[00:01:02.000 --> 00:01:06.000]  家庭出了問題之後產生很多青少年的問題
[00:01:06.000 --> 00:01:09.000]  當香港說到很多很多社會問題的時候
[00:01:09.000 --> 00:01:15.000]  其實背後去到根源往往都是和家庭有關係
[00:01:15.000 --> 00:01:19.000]  對於基督徒來說我們面對著英國的社會形勢
[00:01:19.000 --> 00:01:21.000]  我們一方面會掛心
[00:01:21.000 --> 00:01:23.000]  但另一方面我們也都很有一種信心
[00:01:23.000 --> 00:01:27.000]  因為知道真理成為了我們的幫助
[00:01:27.000 --> 00:01:29.000]  因此基督徒會常常留心
[00:01:29.000 --> 00:01:33.000]  如何去講有關家庭的真理
[00:01:33.000 --> 00:01:35.000]  在其中一路依靠神
[00:01:35.000 --> 00:01:39.000]  讓真理能夠在我們家庭當中去更新我們
[00:01:39.000 --> 00:01:44.000]  去轉化我們成為一個蒙神賜福的和諧家庭
[00:01:44.000 --> 00:01:48.000]  在教會裏面我們大家都可以互相幫助
[00:01:48.000 --> 00:01:52.000]  我們都知道沒有哪個家庭是完美的家庭
[00:01:52.000 --> 00:01:54.000]  大家都有自己的難處
[00:01:54.000 --> 00:01:58.000]  正因為這樣我們可以放膽將自己的難處講出來
[00:01:58.000 --> 00:02:00.000]  讓弟兄姊妹為我們祈禱
[00:02:00.000 --> 00:02:02.000]  給予互相的支持
[00:02:02.000 --> 00:02:06.000]  一起去領受神給我們一個蒙恩的家庭
[00:02:06.000 --> 00:02:08.000]  因此我們帶著一份盼望
[00:02:08.000 --> 00:02:10.000]  要思想聖經這方面的真理
[00:02:10.000 --> 00:02:14.000]  求神將和諧的家庭賜給我們
[00:02:14.000 --> 00:02:16.000]  我請大家揭開聖經的說話
[00:02:16.000 --> 00:02:20.000]  聖經彼得前書第三章的經文
[00:02:20.000 --> 00:02:29.000]  我們今天會集中思想的是第八到第十六節的經文
[00:02:29.000 --> 00:02:34.000]  我們試試從三方面思想
[00:02:34.000 --> 00:02:38.000]  首先聽大家一起先看的是第九節
[00:02:38.000 --> 00:02:50.000]  「不以惡報惡,以辱罵還辱罵,禱要祝福。因你們是為此蒙召,好叫你們承受福氣。」
[00:02:50.000 --> 00:02:54.000]  經文的前面第三章第一到第七節
[00:02:54.000 --> 00:02:58.000]  講到夫妻之間相處的有關真理
[00:02:58.000 --> 00:03:01.000]  第八節有一個小節
[00:03:01.000 --> 00:03:06.000]  提到「總而言之,在當中要彼此體恤彼此相愛。」
[00:03:06.000 --> 00:03:12.000]  當然所講的是一般整體弟兄姊妹相處的原則
[00:03:12.000 --> 00:03:17.000]  但同時也包括了夫妻的關係和家人之間的關係
[00:03:17.000 --> 00:03:22.000]  在相處上應該按這個原則去相處
[00:03:22.000 --> 00:03:25.000]  聖經開始再講這個相處的原則的時候
[00:03:25.000 --> 00:03:33.000]  第一方面就提到「不以惡報惡,以辱罵還辱罵,禱要祝福。」
[00:03:33.000 --> 00:03:43.000]  因此第一方面聖經說「以祝福回應咒咒,以祝福回應那些惡待你的人。」
[00:03:43.000 --> 00:03:46.000]  而聖經就說「你們是為此蒙召的。」
[00:03:46.000 --> 00:03:48.000]  叫做「蒙召作為神的兒女」
[00:03:48.000 --> 00:03:54.000]  一個重要的方向就是蒙召去學習去愛受敵
[00:03:54.000 --> 00:03:57.000]  去祝福那些咒咒你的人
[00:03:57.000 --> 00:03:59.000]  當你這樣做的時候
[00:03:59.000 --> 00:04:02.000]  聖經就說「好叫你們承受福氣。」
[00:04:02.000 --> 00:04:05.000]  這是聖經很清楚的應許
[00:04:05.000 --> 00:04:06.000]  我請大家在此時
[00:04:06.000 --> 00:04:08.000]  請大家看一看前面的《馬太福音》
[00:04:08.000 --> 00:04:11.000]  一段大家熟悉的經文
[00:04:11.000 --> 00:04:23.000]  在聖經《馬太福音》第五章第四十四節
[00:04:23.000 --> 00:04:26.000]  《馬太福音》第五章第四十四節到四十八節
[00:04:26.000 --> 00:04:30.000]  大家聽我讀出來
[00:04:30.000 --> 00:04:34.000]  「只是我告訴你們要愛你們的仇敵,
[00:04:34.000 --> 00:04:37.000]  為那逼迫你們的禱告,
[00:04:37.000 --> 00:04:40.000]  這樣就可以作你們天父的兒子。
[00:04:40.000 --> 00:04:43.000]  因為他叫日頭照好人也照大人,
[00:04:43.000 --> 00:04:46.000]  降於給予人也給予不義的人。
[00:04:46.000 --> 00:04:50.000]  你們若單愛那愛你們的人有什麼賞賜呢?
[00:04:50.000 --> 00:04:53.000]  就是稅利也不是這樣行嗎?
[00:04:53.000 --> 00:04:56.000]  你們若單請你弟兄的安
[00:04:56.000 --> 00:04:59.000]  給人有什麼長處呢?
[00:04:59.000 --> 00:05:02.000]  就是愛邦人也不是這樣行嗎?
[00:05:02.000 --> 00:05:08.000]  所以你們要完全將你們的天父完全一樣。」
[00:05:08.000 --> 00:05:10.000]  聖經很清楚的告訴我們
[00:05:10.000 --> 00:05:13.000]  我們是成為了天父的兒女
[00:05:13.000 --> 00:05:16.000]  如果你要配得稱為天父的兒女
[00:05:16.000 --> 00:05:19.000]  你就要學習天父的榜樣
[00:05:19.000 --> 00:05:24.000]  因為他善待義人不義的人
[00:05:24.000 --> 00:05:28.000]  似乎比惡人和良善的人
[00:05:28.000 --> 00:05:31.000]  讓日頭普照每一個人
[00:05:31.000 --> 00:05:34.000]  因此他說如果你想做天父的兒女
