
[00:00:00.000 --> 00:00:04.720]  9月尾的就是151道宣導會的教務營
[00:00:04.720 --> 00:00:06.200]  在教務營當中
[00:00:06.200 --> 00:00:09.560]  我們這次很特別的
[00:00:09.560 --> 00:00:11.560]  我們這次就不去烏溪沙
[00:00:11.560 --> 00:00:14.200]  因為區議員會決定
[00:00:14.200 --> 00:00:17.080]  因為烏溪沙的設備太過什麼
[00:00:17.080 --> 00:00:18.200]  不要說什麼
[00:00:18.200 --> 00:00:19.520]  實在太過什麼
[00:00:19.520 --> 00:00:23.160]  那些人也不想住那些烏溪沙的營舍
[00:00:23.160 --> 00:00:24.360]  大家可以想像
[00:00:24.360 --> 00:00:28.360]  我們決定今年就去北宣
[00:00:28.360 --> 00:00:30.360]  用他們的場地
[00:00:30.360 --> 00:00:33.080]  加上用北宣旁邊的一間酒店
[00:00:33.080 --> 00:00:34.360]  作為住宿
[00:00:34.360 --> 00:00:35.960]  真的非常好
[00:00:35.960 --> 00:00:38.360]  所以我作為湊位之一
[00:00:38.360 --> 00:00:39.480]  都很興奮
[00:00:39.480 --> 00:00:41.320]  不過我太近了
[00:00:41.320 --> 00:00:43.880]  不過酒店和我家太近
[00:00:43.880 --> 00:00:45.240]  我當然回家睡覺
[00:00:45.240 --> 00:00:47.080]  所以我就不去住酒店了
[00:00:47.080 --> 00:00:52.440]  在左邊就是我們三位同工去的
[00:00:52.440 --> 00:00:53.320]  再加上Bobo
[00:00:53.320 --> 00:00:56.600]  也是區議員會的一個成員
[00:00:56.600 --> 00:00:58.040]  他也服侍我們
[00:00:58.040 --> 00:01:00.040]  我們當中吃午餐的
[00:01:00.040 --> 00:01:02.040]  就是在北宣那邊吃的
[00:01:02.040 --> 00:01:04.040]  在右邊的圖片
[00:01:04.040 --> 00:01:07.000]  就包了兩個午餐
[00:01:07.000 --> 00:01:08.040]  其中一個午餐
[00:01:08.040 --> 00:01:10.040]  我們三位同工就坐下來
[00:01:10.040 --> 00:01:12.040]  開同工會
[00:01:12.040 --> 00:01:13.240]  爭取時間挺好的
[00:01:13.240 --> 00:01:14.600]  又可以去教務營
[00:01:14.600 --> 00:01:16.600]  又可以彼此分享禁方
[00:01:16.600 --> 00:01:19.080]  有什麼事公要討論
[00:01:19.080 --> 00:01:21.080]  我們坐下來的時候
[00:01:21.080 --> 00:01:22.040]  因為是道會
[00:01:22.040 --> 00:01:22.840]  不可以亂動
[00:01:22.840 --> 00:01:24.040]  就坐下來三個人
[00:01:24.040 --> 00:01:26.440]  沒多久有個姐妹走過來
[00:01:26.440 --> 00:01:27.880]  就遞包紙包給我們
[00:01:27.880 --> 00:01:29.160]  說喝東西了
[00:01:29.160 --> 00:01:30.440]  辛苦你們了
[00:01:30.440 --> 00:01:32.440]  我們就說謝謝
[00:01:32.440 --> 00:01:34.440]  過了一會兒吃飯的時候
[00:01:34.440 --> 00:01:36.440]  這個姐妹又出現了
[00:01:36.440 --> 00:01:37.960]  拿紙巾吧
[00:01:37.960 --> 00:01:38.760]  辛苦你們了
[00:01:38.760 --> 00:01:39.960]  謝謝謝謝
[00:01:39.960 --> 00:01:41.160]  挺好的
[00:01:41.160 --> 00:01:42.760]  差不多吃完了
[00:01:42.760 --> 00:01:43.960]  這個姐妹又出現了
[00:01:43.960 --> 00:01:47.320]  這個姐妹好像偏地遊行
[00:01:47.320 --> 00:01:48.440]  遞牙籤
[00:01:48.440 --> 00:01:49.640]  辛苦你們了
[00:01:49.640 --> 00:01:51.640]  謝謝謝謝
