
[00:00:00.000 --> 00:00:02.000]  今天我們這一段經文
[00:00:02.000 --> 00:00:06.760]  是記載在《馬太福音》22章23至40節
[00:00:06.760 --> 00:00:10.000]  「律法總綱愛神愛人」
[00:00:10.000 --> 00:00:12.000]  在這一段經文裏面
[00:00:12.000 --> 00:00:17.280]  記載法利塞人和一個薩都哥人一齊來試探耶穌
[00:00:17.280 --> 00:00:19.280]  這一段經文的上文
[00:00:19.280 --> 00:00:21.640]  就說到在22章的15節
[00:00:21.640 --> 00:00:25.560]  當時法利塞人出去商議
[00:00:25.560 --> 00:00:29.720]  怎樣咒著耶穌的話陷害他
[00:00:29.720 --> 00:00:34.400]  在這裏其實法利塞人和薩都哥人都是猶太人
[00:00:34.400 --> 00:00:38.160]  其實猶太人有不同的身份或角色
[00:00:38.160 --> 00:00:43.520]  法利塞人和薩都哥人在宗教上的看法
[00:00:43.520 --> 00:00:46.920]  和在政治上的看法都是很不同的
[00:00:46.920 --> 00:00:51.480]  法利塞人他們相信人死後是會復活的
[00:00:51.480 --> 00:00:53.840]  是有天使的,是有來生的生命
[00:00:53.840 --> 00:00:56.640]  但薩都哥人他們不相信有復活
[00:00:56.640 --> 00:00:58.640]  也不相信有天使
[00:00:58.640 --> 00:01:02.480]  在政治上的立場他們都很不同
[00:01:02.480 --> 00:01:06.640]  一個這麼不同的兩個群體都是猶太人
[00:01:06.640 --> 00:01:09.280]  但竟然可以走在一起
[00:01:09.280 --> 00:01:11.840]  原因是什麼呢?大家都很清楚
[00:01:11.840 --> 00:01:13.320]  在現實世界也一樣
[00:01:13.320 --> 00:01:16.840]  很不同的立場的人突然走在一起
[00:01:16.840 --> 00:01:19.320]  因為他們有共同的敵人
[00:01:19.320 --> 00:01:22.120]  共同的敵人是誰呢?就是耶穌
[00:01:22.120 --> 00:01:27.400]  他們不希望耶穌再去做一個遊行報道的工作
[00:01:27.400 --> 00:01:29.000]  很多人去跟從他
[00:01:29.000 --> 00:01:31.560]  在這樣的情況下
[00:01:31.560 --> 00:01:36.680]  他們就用各種方法讓耶穌被捉拿
[00:01:36.680 --> 00:01:39.160]  陷害他於死地
[00:01:39.160 --> 00:01:42.440]  不單止讓他不繼續
[00:01:42.440 --> 00:01:44.440]  還希望置他於死地
[00:01:44.440 --> 00:01:47.160]  在上文裡說到
[00:01:47.160 --> 00:01:49.160]  他們派人去問耶穌的問題
[00:01:49.160 --> 00:01:52.040]  納粹被該殺可不可以呢?
