
[00:00:00.000 --> 00:00:05.600]  我們下半節特別想從一個信仰的角度去看這件事
[00:00:05.600 --> 00:00:10.400]  我們不是用神學來理論處理
[00:00:10.400 --> 00:00:11.480]  我想實際一點
[00:00:11.480 --> 00:00:13.400]  看一些我們的看法
[00:00:13.400 --> 00:00:14.600]  剛才說過
[00:00:14.600 --> 00:00:17.400]  如果得罪了一些教會弟兄姊妹
[00:00:17.400 --> 00:00:19.480]  我們就真的無心
[00:00:19.480 --> 00:00:21.400]  但是我也是想
[00:00:21.400 --> 00:00:27.400]  既然有機會可以很坦誠地講到男人的內心
[00:00:27.400 --> 00:00:28.280]  特別是在淑女身上
[00:00:28.280 --> 00:00:31.280]  我也很想說幾句心底裡的說話
[00:00:31.280 --> 00:00:34.280]  首先我想問一個問題
[00:00:34.280 --> 00:00:37.280]  就是我宣傳的刊物裡也說過
[00:00:37.280 --> 00:00:41.280]  是不是男人特別難信耶穌
[00:00:41.280 --> 00:00:42.280]  很明顯
[00:00:42.280 --> 00:00:44.280]  尤其是在我們的教會
[00:00:44.280 --> 00:00:47.280]  我們也看到很多時候會有獨身的問題
[00:00:47.280 --> 00:00:48.280]  多數獨身的問題
[00:00:48.280 --> 00:00:51.280]  全部都是姐妹的問題
[00:00:51.280 --> 00:00:54.280]  為什麼不會是男性的問題呢?
[00:00:54.280 --> 00:00:57.280]  是不是教會裡男人真的比較少呢?
[00:00:57.280 --> 00:01:02.280]  所以這件事我相信也是很值得處理的
[00:01:02.280 --> 00:01:05.280]  究竟為什麼男人會特別難信耶穌
[00:01:05.280 --> 00:01:08.280]  或者為什麼男人在教會裡適應不了呢?
[00:01:08.280 --> 00:01:10.280]  我有一個看法
[00:01:10.280 --> 00:01:12.280]  你們可以有什麼反應
[00:01:12.280 --> 00:01:13.280]  或者冷血可能有反應
[00:01:13.280 --> 00:01:16.280]  我覺得不關男人的事
[00:01:16.280 --> 00:01:19.280]  也不關女人的事
[00:01:19.280 --> 00:01:22.280]  是我們教會的文化裡
[00:01:22.280 --> 00:01:23.280]  製造了一種
[00:01:23.280 --> 00:01:26.280]  一般男人有特色的人
[00:01:26.280 --> 00:01:27.280]  來到教會之後
