
[00:00:00.000 --> 00:00:03.440]  各位弟兄姊妹 各位朋友 轉內平安
[00:00:03.440 --> 00:00:08.160]  剛才開始的時候我跟Annie說
[00:00:08.160 --> 00:00:09.280]  今天辛苦她了
[00:00:09.280 --> 00:00:11.880]  因為經文比較長 只剩下21節
[00:00:11.880 --> 00:00:14.240]  但我看到她真的很用心地去預備
[00:00:14.240 --> 00:00:15.960]  各位弟兄姊妹
[00:00:15.960 --> 00:00:20.040]  近年我不知道大家有沒有經常聽到一個詞語
[00:00:20.040 --> 00:00:21.560]  是四個字的
[00:00:21.560 --> 00:00:22.840]  就是
[00:00:22.840 --> 00:00:25.120]  勿忘初心
[00:00:25.120 --> 00:00:26.600]  有沒有聽過
[00:00:26.600 --> 00:00:27.480]  經常都這樣說
[00:00:27.480 --> 00:00:30.280]  初心是很重要的 不要忘記
[00:00:30.280 --> 00:00:32.360]  初心指的是
[00:00:32.360 --> 00:00:34.360]  指到你做某一件事
[00:00:34.360 --> 00:00:36.760]  最初的原因是什麼
[00:00:36.760 --> 00:00:40.760]  所以在教會當中的時候
[00:00:40.760 --> 00:00:42.160]  都好想問一下大家
[00:00:42.160 --> 00:00:44.000]  大家還記不記得
[00:00:44.000 --> 00:00:47.760]  當初你們決志信耶穌
[00:00:47.760 --> 00:00:49.360]  跟隨主的時候
[00:00:49.360 --> 00:00:50.880]  是什麼原因呢
[00:00:50.880 --> 00:00:53.160]  有些人可能很快
[00:00:53.160 --> 00:00:54.960]  今年才剛決志
[00:00:54.960 --> 00:00:58.960]  有些人可能已經相當一段時月了
[00:00:58.960 --> 00:01:00.760]  到底是什麼原因
[00:01:00.760 --> 00:01:03.040]  你的初心是怎樣的呢
[00:01:03.040 --> 00:01:07.520]  由大概十年前
[00:01:07.520 --> 00:01:10.040]  或者更加早的時間開始
[00:01:10.040 --> 00:01:12.440]  其實有不少人提出
[00:01:12.440 --> 00:01:15.200]  說我們現代教會傳的福音
[00:01:15.200 --> 00:01:16.960]  是有一個問題的
[00:01:16.960 --> 00:01:18.440]  就是什麼問題呢
[00:01:18.440 --> 00:01:21.720]  就是往往是過分偏重了
[00:01:21.720 --> 00:01:23.320]  在神的恩典那裡
[00:01:23.840 --> 00:01:24.960]  只是告訴別人
[00:01:24.960 --> 00:01:26.160]  你信耶穌
[00:01:26.160 --> 00:01:28.160]  就可以得到什麼
[00:01:28.160 --> 00:01:29.240]  例如信了耶穌
[00:01:29.240 --> 00:01:30.760]  你就會得到健康
[00:01:30.760 --> 00:01:32.040]  你會得到財富
