
[00:00:00.000 --> 00:00:12.580]  今天早上,因為時間有限,我只能夠講一邊,下一個主題繼續講。
[00:00:12.580 --> 00:00:21.240]  我要講的就是為什麼我們要有團聚生活。
[00:00:21.240 --> 00:00:27.280]  第一個原因,團聚生活是神的旨意。
[00:00:27.280 --> 00:00:32.840]  神的旨意就是我們要走出路線。
[00:00:32.840 --> 00:00:38.040]  如果一件事是神的旨意,
[00:00:38.040 --> 00:00:42.280]  我們就有一個不能的反應,
[00:00:42.280 --> 00:00:46.680]  就是接受,
[00:00:46.680 --> 00:00:50.280]  而且照著主宰,
[00:00:50.280 --> 00:01:03.800]  聖經告訴我們,教會是神的家,至少在四卷書裏面這樣講。
[00:01:03.800 --> 00:01:13.280]  《耶穌所說》二章十九節,告訴我們教會是神的家。
[00:01:13.280 --> 00:01:21.280]  彼得前書四章十七節,告訴我們教會是神的家。
[00:01:21.280 --> 00:01:34.280]  基督太前書三章十五節,告訴我們教會是神的家。
[00:01:34.280 --> 00:01:44.280]  希伯來書三章五節,又告訴我們教會是神的家。
[00:01:44.280 --> 00:01:54.280]  一次,兩次,三次,多次,把這個真理告訴我們。
[00:01:54.280 --> 00:02:04.280]  彼得前書二章十七節,有這樣一句話,
[00:02:04.280 --> 00:02:11.280]  要親愛教宗的弟兄,
[00:02:11.280 --> 00:02:17.280]  教宗的弟兄,兩文是一個字,
[00:02:17.280 --> 00:02:23.280]  可以翻作弟兄團,
[00:02:23.280 --> 00:02:28.280]  教會是一個弟兄團體,
[00:02:28.280 --> 00:02:37.280]  當時用弟兄來代表姊妹和弟兄,
[00:02:37.280 --> 00:02:50.280]  就好像中國的孔子說,四海之內皆兄弟,也不是說皆兄弟姊妹。
[00:02:50.280 --> 00:02:56.280]  在那個時代,他們習慣這樣說,
[00:02:56.280 --> 00:03:01.280]  教會被稱作團體,
[00:03:01.280 --> 00:03:07.280]  這是很值得我們注意的一件事,
[00:03:07.280 --> 00:03:11.280]  在教會裡面所有的人,
[00:03:11.280 --> 00:03:15.280]  都是弟兄姊妹,
[00:03:15.280 --> 00:03:21.280]  這是一個多麼寶貴的偉大事實。
[00:03:21.280 --> 00:03:27.280]  在歷史裡面,有一顆炸彈,
[00:03:27.280 --> 00:03:33.280]  爆炸開來,對人類有很大的影響。
[00:03:33.280 --> 00:03:38.280]  這一顆炸彈,就是一句話,
[00:03:38.280 --> 00:03:41.280]  在聖經裡面,
[00:03:41.280 --> 00:03:46.280]  在《非利門書》第十六節,
[00:03:46.280 --> 00:03:50.280]  在那裡保羅這樣說,
[00:03:50.280 --> 00:03:56.280]  他提到阿彌西姆,原來是一個奴隸,
[00:03:56.280 --> 00:03:59.280]  但是保羅說,
[00:03:59.280 --> 00:04:03.280]  他現在不再是奴隸,
[00:04:03.280 --> 00:04:07.280]  乃是弟兄,
[00:04:07.280 --> 00:04:13.280]  當時羅馬帝國有奴隸制度,
[00:04:13.280 --> 00:04:17.280]  主人階級,奴隸階級,
[00:04:17.280 --> 00:04:21.280]  分別是玄宿,
[00:04:21.280 --> 00:04:27.280]  分別完全是很大的分別,
[00:04:27.280 --> 00:04:31.280]  但是在那樣一個時代裡面,
[00:04:31.280 --> 00:04:34.280]  保羅被聖靈感動,
[00:04:34.280 --> 00:04:39.280]  把一個奴隸稱作弟兄,
[00:04:39.280 --> 00:04:43.280]  這是超時代的觀念,
[00:04:43.280 --> 00:04:47.280]  這是一個屬靈的炸彈,
[00:04:47.280 --> 00:04:49.280]  炸開來,
[00:04:49.280 --> 00:04:55.280]  後來基督教做了羅馬的國教之後,
[00:04:55.280 --> 00:04:59.280]  奴隸的制度就廢除了,
[00:04:59.280 --> 00:05:04.280]  今天我們在基督的愛裡面,
[00:05:04.280 --> 00:05:07.280]  彼此是弟兄姊妹,
[00:05:07.280 --> 00:05:10.280]  在神的家中,
[00:05:10.280 --> 00:05:14.280]  過肢體的生活,
[00:05:14.280 --> 00:05:20.280]  上帝給人類兩個大分別,
[00:05:20.280 --> 00:05:25.280]  一個是我們身體的家庭,
[00:05:25.280 --> 00:05:29.280]  第二就是我們屬靈的家庭,
[00:05:29.280 --> 00:05:31.280]  就是教會,
[00:05:31.280 --> 00:05:36.280]  我們身體的家庭很寶貴,
[00:05:36.280 --> 00:05:45.280]  有人把家叫作沙漠裡面的綠洲,
[00:05:45.280 --> 00:05:51.280]  這個社會世界好像沙漠,
