
[00:00:00.000 --> 00:00:07.000]  餘生:帝公姊妹,平安
[00:00:07.000 --> 00:00:11.000]  餘生:讓我們一起一個禱告開始
[00:00:11.000 --> 00:00:18.000]  餘生:親愛的神,感謝你賜給我們
[00:00:18.000 --> 00:00:22.000]  餘生:有生命氣息,有健康
[00:00:22.000 --> 00:00:27.000]  餘生:有兄弟姊妹共聚一堂
[00:00:27.000 --> 00:00:29.000]  餘生:這都不是偶然的
[00:00:29.000 --> 00:00:34.000]  餘生:神啊,這都是你世下莫大的恩典來的
[00:00:34.000 --> 00:00:36.000]  餘生:神啊,願我們珍惜這一切
[00:00:36.000 --> 00:00:38.000]  餘生:在你的話語當中
[00:00:38.000 --> 00:00:42.000]  餘生:我們的生命被受到餵養
[00:00:42.000 --> 00:00:45.000]  餘生:我們的靈裏面更加的壯大
[00:00:45.000 --> 00:00:48.000]  餘生:在你靈裏面剛強壯膽
[00:00:48.000 --> 00:00:50.000]  餘生:我們願你的話語覆蓋我們
[00:00:50.000 --> 00:00:53.000]  餘生:成爲我們腳前的燈,路上的光
[00:00:53.000 --> 00:00:55.000]  餘生:照亮我們前行的路
[00:00:55.000 --> 00:00:57.000]  餘生:我們這樣仰望交託
[00:00:57.000 --> 00:00:59.000]  餘生:奉主耶穌,得勝的名求
[00:00:59.000 --> 00:01:01.000]  餘生:阿門
[00:01:01.000 --> 00:01:07.000]  餘生:周星馳電影《十神》有沒有看過
[00:01:07.000 --> 00:01:11.000]  餘生:裏面有一道黯然銷魂飯
[00:01:11.000 --> 00:01:15.000]  餘生:其實就是叉燒煎蛋飯
[00:01:15.000 --> 00:01:19.000]  餘生:但是黯然銷魂這個詞呢
[00:01:19.000 --> 00:01:23.000]  餘生:出自南朝江燕的別婦的第一句
[00:01:23.000 --> 00:01:29.000]  餘生:叫做黯然銷魂者,爲別而倚矣
[00:01:29.000 --> 00:01:34.000]  餘生:它的意思是離別會讓人極度失落
[00:01:34.000 --> 00:01:39.000]  餘生:精神恍惚,甚至失魂落魄
[00:01:39.000 --> 00:01:44.000]  餘生:當年福建或者廣東的婦女
[00:01:44.000 --> 00:01:48.000]  餘生:丈夫向南洋去討生活
[00:01:48.000 --> 00:01:52.000]  餘生:可能現在去到馬來西亞、菲律賓那一帶
[00:01:52.000 --> 00:01:55.000]  餘生:然後長年回不來
[00:01:55.000 --> 00:02:00.000]  餘生:他們就會在海邊修建望夫亭
[00:02:00.000 --> 00:02:05.000]  餘生:經常結伴去亭那邊看一看
[00:02:05.000 --> 00:02:10.000]  餘生:就是丈夫回來了嘛,很心酸
[00:02:10.000 --> 00:02:15.000]  餘生:離別真的是失魂落魄
[00:02:15.000 --> 00:02:18.000]  餘生:這個是生離
[00:02:18.000 --> 00:02:22.000]  餘生:還有一種是死別
[00:02:22.000 --> 00:02:26.000]  餘生:就好像蘇東坡懷念王妻寫的
[00:02:26.000 --> 00:02:32.000]  餘生:十年生死兩茫茫,不思量自難忘
[00:02:32.000 --> 00:02:37.000]  餘生:千里孤魂,無處化淒涼
[00:02:37.000 --> 00:02:42.000]  餘生:生離死別是人之大痛
[00:02:42.000 --> 00:02:47.000]  餘生:我記得2002年的時候,我爸爸突然暈倒
[00:02:47.000 --> 00:02:52.000]  餘生:然後就要做那個心臟的大橋手術
[00:02:52.000 --> 00:02:55.000]  餘生:我媽就心裏很害怕
[00:02:55.000 --> 00:02:59.000]  餘生:她不敢簽字讓醫生做手術
[00:02:59.000 --> 00:03:05.000]  餘生:最後醫生沒辦法,就通過我媽打電話給我
[00:03:05.000 --> 00:03:09.000]  餘生:然後要我來做這個決定
[00:03:09.000 --> 00:03:13.000]  餘生:我就在電話裏最終同意做手術
[00:03:13.000 --> 00:03:17.000]  餘生:我爸爸才推上了手術檯
[00:03:17.000 --> 00:03:20.000]  餘生:當我爸爸做手術的時候
[00:03:20.000 --> 00:03:25.000]  餘生:我一個人在香港靜徽大學宿舍的樓頂
[00:03:25.000 --> 00:03:27.000]  餘生:很安靜
[00:03:27.000 --> 00:03:32.000]  餘生:但是又非常緊張,等待手術的結果
[00:03:32.000 --> 00:03:34.000]  餘生:我很害怕
[00:03:34.000 --> 00:03:38.000]  餘生:我很害怕我父親下不了手術檯
[00:03:38.000 --> 00:03:41.000]  餘生:從此我就再也聽不到他的聲音
[00:03:41.000 --> 00:03:44.000]  餘生:看不到他的面容
[00:03:44.000 --> 00:03:49.000]  餘生:好在我父親最終都挺過來了
[00:03:49.000 --> 00:03:51.000]  餘生:20年後
[00:03:51.000 --> 00:03:54.000]  餘生:當我們團企的無盡姊妹
