
[00:00:00.000 --> 00:00:03.000]  面對痛苦 面對死亡
[00:00:03.000 --> 00:00:07.000]  與受苦的你共歷憂患
[00:00:07.000 --> 00:00:25.000]  我錄這一套錄音帶
[00:00:25.000 --> 00:00:29.000]  是為了紀念過去不夠一年之中
[00:00:29.000 --> 00:00:34.000]  相繼離開世界的父親溫耀武先生
[00:00:34.000 --> 00:00:37.000]  和我的太太雅玲
[00:00:37.000 --> 00:00:43.000]  這套錄音帶也是希望送給
[00:00:43.000 --> 00:00:48.000]  我那個智力不健全的女兒 曉華
[00:00:48.000 --> 00:00:52.000]  我願望她有一天成長之後
[00:00:52.000 --> 00:00:55.000]  能夠聽得明白這一卷錄音帶
[00:00:55.000 --> 00:00:57.000]  能夠明白
[00:00:57.000 --> 00:01:01.000]  就是因為這個世界不完美
[00:01:01.000 --> 00:01:04.000]  因為這個世界有痛苦
[00:01:04.000 --> 00:01:08.000]  生命才值得活下去
[00:01:08.000 --> 00:01:12.000]  當然這一卷錄音帶
[00:01:12.000 --> 00:01:18.000]  也是送給在痛苦當中的你
[00:01:18.000 --> 00:01:24.000]  也是送給每一個在憂患當中的
[00:01:24.000 --> 00:01:27.000]  主內弟兄姊妹
[00:01:27.000 --> 00:01:30.000]  如果你不是一個基督徒
[00:01:30.000 --> 00:01:36.000]  我相信我們之間也可以有溝通的地方
[00:01:36.000 --> 00:01:39.000]  我從來都很深信
[00:01:39.000 --> 00:01:45.000]  痛苦的經驗是普遍的經驗
[00:01:45.000 --> 00:01:48.000]  一個人痛苦的時候
[00:01:48.000 --> 00:01:50.000]  他的經驗無分是基督徒的
[00:01:50.000 --> 00:01:53.000]  或不是基督徒的
[00:01:53.000 --> 00:01:56.000]  或者你也可以藉著這個機會
[00:01:56.000 --> 00:01:59.000]  去了解一下
[00:01:59.000 --> 00:02:05.000]  這個基督徒怎樣去在痛苦當中掙扎
[00:02:05.000 --> 00:02:10.000]  去理解、去發問題、去獲得答案
[00:02:10.000 --> 00:02:18.000]  現在開始我們一起去走這條痛苦的路
[00:02:18.000 --> 00:02:21.000]  一起來道思想
[00:02:21.000 --> 00:02:28.000]  我相信你心裏有很多問題想問
[00:02:28.000 --> 00:02:32.000]  或者我也有很多事想跟你談
[00:02:32.000 --> 00:02:39.000]  不過我們可能素未謀面
[00:02:39.000 --> 00:02:43.000]  我們的溝通不一定很容易
[00:02:44.000 --> 00:02:51.000]  或者在我嘗試跟你一起分享
[00:02:51.000 --> 00:02:54.000]  我所掙扎的問題之前
[00:02:54.000 --> 00:02:58.000]  我稍微交代一下我自己一些的際遇
[00:02:58.000 --> 00:03:01.000]  可能這些的際遇
[00:03:01.000 --> 00:03:07.000]  對於你、對於我都有很深刻的意思
[00:03:10.000 --> 00:03:15.000]  如果你要問我我的生命是怎樣的話
[00:03:15.000 --> 00:03:18.000]  我想我可以將1984年
[00:03:18.000 --> 00:03:22.000]  作為我生命的一個分界點
[00:03:22.000 --> 00:03:26.000]  1984年之前的我
[00:03:26.000 --> 00:03:31.000]  是一個平順、成功的生命
[00:03:31.000 --> 00:03:37.000]  我出生在一個不算富有
[00:03:37.000 --> 00:03:40.000]  但是相當簡單和洽的家庭
[00:03:40.000 --> 00:03:44.000]  在我童年到少年的時間當中
[00:03:44.000 --> 00:03:47.000]  我沒有經歷過很多香港人
[00:03:47.000 --> 00:03:51.000]  會經驗到那種家庭的破裂
[00:03:51.000 --> 00:03:54.000]  或者生活環境的壓力
