
[00:00:00.000 --> 00:00:05.000]  今天我們一起來思想關於能力的問題
[00:00:05.000 --> 00:00:09.000]  是神國的能力
[00:00:09.000 --> 00:00:11.000]  靈力
[00:00:11.000 --> 00:00:16.000]  今天我們所生活的社會時常都會說能力,說實力
[00:00:16.000 --> 00:00:20.000]  不過很多時候我們說的是經濟的能力
[00:00:20.000 --> 00:00:23.000]  我們說的是政治的實力
[00:00:23.000 --> 00:00:26.000]  我們說的是我們有什麼學識
[00:00:26.000 --> 00:00:30.000]  所以我們可以有什麼實力,有什麼經驗
[00:00:30.000 --> 00:00:34.000]  這些都是我們今天所說的,到處都會聽到的地方
[00:00:34.000 --> 00:00:36.000]  但今天我們不是說那些能力
[00:00:36.000 --> 00:00:38.000]  我們說屬靈的能力
[00:00:38.000 --> 00:00:42.000]  從神的國而來的能力
[00:00:42.000 --> 00:00:46.000]  今天這段聖經除了路加福音之外
[00:00:46.000 --> 00:00:48.000]  馬太福音也有記載
[00:00:48.000 --> 00:00:50.000]  馬太福音第十二章
[00:00:50.000 --> 00:00:53.000]  馬可福音也有記載,比較簡單
[00:00:53.000 --> 00:00:55.000]  馬太福音更詳細
[00:00:55.000 --> 00:00:57.000]  不過我們對照的時候
[00:00:57.000 --> 00:01:02.000]  今天這段聖經就比較清楚究竟發生了什麼事
[00:01:02.000 --> 00:01:04.000]  為什麼說今天說能力呢?
[00:01:04.000 --> 00:01:09.000]  因為這件事的開始是由耶穌所做的事件
[00:01:09.000 --> 00:01:11.000]  作為一個序幕
[00:01:11.000 --> 00:01:13.000]  剛才我們讀的時候你會留意
[00:01:13.000 --> 00:01:17.000]  聖經說耶穌醫好了一個啞巴鬼
[00:01:17.000 --> 00:01:20.000]  馬太福音就說得更詳細一點
[00:01:20.000 --> 00:01:23.000]  這是一個被鬼附的人
[00:01:23.000 --> 00:01:25.000]  啞又聾
[00:01:25.000 --> 00:01:27.000]  耶穌就醫好了他
[00:01:27.000 --> 00:01:33.000]  一個啞又聾,心裡又被撒旦魔鬼所附著的
[00:01:33.000 --> 00:01:36.000]  一個真的跟外界完全隔絕的人
[00:01:36.000 --> 00:01:40.000]  心靈受捆綁,身體不能溝通
[00:01:40.000 --> 00:01:42.000]  耶穌基督將他的鬼趕出來
[00:01:42.000 --> 00:01:45.000]  他的口可以說話,耳可以聽到
[00:01:45.000 --> 00:01:48.000]  這件本來是極美麗的事情
[00:01:48.000 --> 00:01:53.000]  但這件事引起了周圍的人議論紛紛
[00:01:53.000 --> 00:01:55.000]  馬太福音說到
[00:01:55.000 --> 00:01:59.000]  有人問這是不是大衛的子孫
[00:01:59.000 --> 00:02:02.000]  這句話當然不是問耶穌是不是猶太人
[00:02:02.000 --> 00:02:05.000]  大衛的子孫也所說的
[00:02:05.000 --> 00:02:10.000]  這個人,耶穌竟然可以做出這樣的事
[00:02:10.000 --> 00:02:11.000]  太神奇了
[00:02:11.000 --> 00:02:14.000]  會不會就是那個要來的尼塞亞呢?
[00:02:14.000 --> 00:02:17.000]  於是有人開始問這個問題
[00:02:17.000 --> 00:02:20.000]  聖經說還有一些人從另一個角度說
[00:02:20.000 --> 00:02:23.000]  這次可能是碰運氣
[00:02:23.000 --> 00:02:25.000]  於是叫耶穌多做幾件事出來
[00:02:25.000 --> 00:02:29.000]  多做幾件厲害的事,我就相信你
[00:02:29.000 --> 00:02:34.000]  但最重要的是還有一些一直反對耶穌的人
[00:02:34.000 --> 00:02:37.000]  聖經所說的就是文士和法尼塞人
[00:02:37.000 --> 00:02:39.000]  他看到周圍的人議論紛紛的時候
[00:02:39.000 --> 00:02:42.000]  他恐怕那些人真的相信耶穌是尼塞亞
[00:02:42.000 --> 00:02:43.000]  於是他緊張了
[00:02:43.000 --> 00:02:48.000]  於是就說,不是,這個人是靠鬼王趕鬼的
[00:02:48.000 --> 00:02:55.000]  就是這件事件引發了耶穌有三段的講論
[00:02:55.000 --> 00:02:57.000]  老九福音記得很清楚
[00:02:57.000 --> 00:03:00.000]  耶穌用一個論證來講
[00:03:00.000 --> 00:03:02.000]  這是一個國和國之間的自相紛爭
[00:03:02.000 --> 00:03:06.000]  家和自相紛爭根本是不能成立的
[00:03:06.000 --> 00:03:09.000]  所以我不是靠鬼王趕鬼,鬼怎麼能趕鬼呢?
[00:03:09.000 --> 00:03:12.000]  正的靈才能趕邪靈
[00:03:12.000 --> 00:03:15.000]  這是第一個耶穌的論證
[00:03:15.000 --> 00:03:18.000]  第二個,他講到一個壯漢
[00:03:18.000 --> 00:03:21.000]  他的家本來是平安無事的
[00:03:21.000 --> 00:03:26.000]  但是有更大的力量,更大能力的人進來的時候
[00:03:26.000 --> 00:03:30.000]  就將他征服,就會將他擄掠了
[00:03:30.000 --> 00:03:33.000]  這是第二個比喻
[00:03:33.000 --> 00:03:37.000]  是一個更有能力,更大能力的比喻
[00:03:37.000 --> 00:03:42.000]  第三個,二十四字開始講到一個描述
[00:03:42.000 --> 00:03:45.000]  講到一個污靈離開了一個人的心靈
[00:03:45.000 --> 00:03:50.000]  走來走去,最後回到原來裡面沒有東西,還空著
[00:03:50.000 --> 00:03:53.000]  於是帶了七個更加惡的鬼進去
[00:03:53.000 --> 00:03:56.000]  於是那個人後來的情況更加差
[00:03:56.000 --> 00:04:00.000]  所以耶穌用一個論證,用一個比喻
[00:04:00.000 --> 00:04:04.000]  再加一個陳述來回應這些敵人
[00:04:04.000 --> 00:04:11.000]  文氏法利賽人說耶穌是靠鬼王別西卜趕鬼的說法
[00:04:11.000 --> 00:04:15.000]  究竟今天這段聖經提醒我們什麼呢?
[00:04:15.000 --> 00:04:22.000]  我們想看幾個很重要,關於靈力神的國的能力的真理
[00:04:22.000 --> 00:04:25.000]  首先我們講耶穌的論證,也很清楚
[00:04:25.000 --> 00:04:28.000]  耶穌說很簡單
[00:04:28.000 --> 00:04:35.000]  物以類聚,同類內鬥是不可能的
[00:04:35.000 --> 00:04:39.000]  其實耶穌這樣講不是一個哲學的理論
[00:04:39.000 --> 00:04:43.000]  耶穌說這件事你睜大眼,其實你心知肚明
[00:04:43.000 --> 00:04:46.000]  你是在騙自己,為什麼呢?
[00:04:46.000 --> 00:04:50.000]  這個本來被捆綁的,本來被傷害的人
[00:04:50.000 --> 00:04:52.000]  現在被釋放,被祝福
[00:04:52.000 --> 00:04:54.000]  這個是不是來自神自己呢?
[00:04:54.000 --> 00:04:57.000]  耶穌用兩個根據跟他們說
[00:04:57.000 --> 00:04:59.000]  你們自己也是這樣看的
[00:04:59.000 --> 00:05:02.000]  這裡說到有一個說法
[00:05:02.000 --> 00:05:07.000]  他說你們自己的子孫趕鬼又靠誰呢?
[00:05:07.000 --> 00:05:08.000]  第十九節
[00:05:08.000 --> 00:05:11.000]  因此他們必成為你的審判官
[00:05:11.000 --> 00:05:14.000]  原來當時猶太人自己也有這樣的傳統
[00:05:14.000 --> 00:05:19.000]  如果被捉了,竟然可以趕鬼或者可以治好人的時候
[00:05:19.000 --> 00:05:23.000]  大家就說,哇,這就是神能力的彰顯
[00:05:23.000 --> 00:05:25.000]  耶穌說你們自己也是這樣做
[00:05:25.000 --> 00:05:27.000]  你看到祂就是神能力的彰顯
[00:05:27.000 --> 00:05:29.000]  你看到我同樣做了一件這樣的事
[00:05:29.000 --> 00:05:31.000]  你就說我是鬼王
[00:05:31.000 --> 00:05:36.000]  這是你自己睜大眼,掩著自己的良心說謊
[00:05:36.000 --> 00:05:39.000]  不是騙別人,而是騙自己
[00:05:39.000 --> 00:05:41.000]  因為你正在審判自己
[00:05:41.000 --> 00:05:44.000]  你所說的話是在審判自己
[00:05:44.000 --> 00:05:46.000]  因為你自己也不是這個標準
[00:05:46.000 --> 00:05:48.000]  你自己也知道,這是第一點
[00:05:48.000 --> 00:05:51.000]  第二,耶穌說這樣的衝突
[00:05:51.000 --> 00:05:54.000]  不可能來自同一類
[00:05:54.000 --> 00:05:57.000]  因為同類的衝突只會互相幫助
[00:05:57.000 --> 00:06:00.000]  如果我是鬼王,我就會幫他更加捆綁
[00:06:00.000 --> 00:06:03.000]  我是不會釋放他的
[00:06:03.000 --> 00:06:08.000]  原來能力,你看那個表現就知道兩個不同的來源
[00:06:08.000 --> 00:06:15.000]  魔鬼的能力,鬼王的能力是捆綁傷害殘害
[00:06:15.000 --> 00:06:18.000]  神的能力才是釋放和祝福
[00:06:18.000 --> 00:06:21.000]  你看到我所做的是釋放和祝福
[00:06:21.000 --> 00:06:25.000]  所以你完全知道我所做的能力來源
[00:06:25.000 --> 00:06:28.000]  是來自那位祝福和釋放的上帝
[00:06:28.000 --> 00:06:30.000]  而不是來自鬼王
[00:06:30.000 --> 00:06:37.000]  你還這樣說,表示你是完全的掩著自己見到真理的心
[00:06:37.000 --> 00:06:41.000]  是否定面對真理
[00:06:41.000 --> 00:06:47.000]  所以馬太福音記載了耶穌用了幾句很嚴厲的話
[00:06:47.000 --> 00:06:51.000]  可能是耶穌在世說得最嚴厲的話
[00:06:51.000 --> 00:06:54.000]  就是馬太福音第31和32節
[00:06:54.000 --> 00:06:56.000]  耶穌做了一個結論
[00:06:56.000 --> 00:06:58.000]  因此我告訴你們
[00:06:58.000 --> 00:07:02.000]  人一切的罪和攝族的話都可以赦免
[00:07:02.000 --> 00:07:06.000]  可是攝族聖靈就不得著赦免
[00:07:06.000 --> 00:07:10.000]  然後再說,無論誰說了得罪人子
[00:07:10.000 --> 00:07:14.000]  即是得罪了我,都可以得到赦免
[00:07:14.000 --> 00:07:17.000]  但說得罪了聖靈的
[00:07:17.000 --> 00:07:21.000]  今生來世都不得著赦免
[00:07:21.000 --> 00:07:24.000]  可能這句話是耶穌在世說得最嚴厲的
[00:07:24.000 --> 00:07:26.000]  不能得到赦免
[00:07:26.000 --> 00:07:28.000]  為什麼很多電影節目都很害怕
[00:07:28.000 --> 00:07:30.000]  經常問我有沒有得罪聖靈
[00:07:30.000 --> 00:07:31.000]  你不用擔心
[00:07:31.000 --> 00:07:34.000]  這班人,文獻法利昌人,他錯在哪裡
[00:07:34.000 --> 00:07:38.000]  他錯在明明已經真理,但在他面前
[00:07:38.000 --> 00:07:39.000]  他都拒絕
[00:07:39.000 --> 00:07:41.000]  這不是他不知道
[00:07:41.000 --> 00:07:43.000]  不是他軟弱
[00:07:43.000 --> 00:07:45.000]  而是他面對真理都自己
[00:07:45.000 --> 00:07:47.000]  不是騙自己
[00:07:47.000 --> 00:07:49.000]  其實他完全知道自己在說什麼
[00:07:49.000 --> 00:07:53.000]  不過他是否定神給他的真理
[00:07:53.000 --> 00:07:57.000]  耶穌說你這個情況是不能赦免
[00:07:57.000 --> 00:07:59.000]  因為你完全拒絕神自己
[00:07:59.000 --> 00:08:01.000]  今生來世都不能赦免
[00:08:01.000 --> 00:08:02.000]  除非你自己悔改
[00:08:02.000 --> 00:08:04.000]  這個意思是這樣
[00:08:04.000 --> 00:08:06.000]  耶穌在說很嚴厲的說話
