
[00:00:00.000 --> 00:00:03.200]  也是在兩個數裡面
[00:00:03.200 --> 00:00:09.800]  我們看第四章第五節
[00:00:09.800 --> 00:00:14.000]  你們想經上所說的是突然的嗎
[00:00:14.000 --> 00:00:17.200]  神說自住在我們裡面的靈
[00:00:17.200 --> 00:00:19.200]  是戀愛的一個極度嗎
[00:00:19.200 --> 00:00:21.600]  這個靈就是聖靈
[00:00:21.600 --> 00:00:27.400]  神的聖靈在我們的裡面
[00:00:28.200 --> 00:00:31.200]  靈就是針對著魔鬼
[00:00:31.200 --> 00:00:34.200]  形成一個相對的力量
[00:00:34.200 --> 00:00:37.800]  在這個裡面魔鬼興風作浪
[00:00:37.800 --> 00:00:40.600]  在我們的靈性裡面
[00:00:40.600 --> 00:00:43.000]  聖靈做我們的幫助
[00:00:43.000 --> 00:00:45.800]  都是超然的力量
[00:00:45.800 --> 00:00:49.000]  這個裡面超然的因素是魔鬼
[00:00:49.000 --> 00:00:51.400]  在我們基督徒的人生裡面
[00:00:51.400 --> 00:00:53.400]  超然的因素聖靈
[00:00:53.400 --> 00:00:55.000]  就是上帝的靈
[00:00:55.000 --> 00:00:58.000]  做我們的外助
[00:00:58.800 --> 00:01:00.800]  超然做罪惡的外助
[00:01:00.800 --> 00:01:04.000]  聖靈做我們真善美的外助
[00:01:04.000 --> 00:01:11.600]  另外我們看第一章第18節
[00:01:11.600 --> 00:01:16.800]  他按自己的旨意用真道生了我們
[00:01:16.800 --> 00:01:19.400]  就是上帝按自己的旨意
[00:01:19.400 --> 00:01:21.400]  用真道生了我們
[00:01:21.400 --> 00:01:22.800]  這邊提到真道
[00:01:22.800 --> 00:01:24.600]  那就是聖經的真理
[00:01:24.600 --> 00:01:26.400]  耶穌基督的真理
[00:01:26.400 --> 00:01:30.400]  這個真理把我們生下來
[00:01:30.400 --> 00:01:33.600]  那就是說我們是從真理生的
[00:01:33.600 --> 00:01:35.600]  We are born of truth
[00:01:35.600 --> 00:01:38.800]  這個是非常重要的一件事
[00:01:38.800 --> 00:01:43.800]  真理是我們得到了新生命
[00:01:43.800 --> 00:01:46.200]  生了我們就是重生
[00:01:46.200 --> 00:01:48.200]  重生就是新生
[00:01:48.200 --> 00:01:50.800]  主耶穌非常注重重生
[00:01:50.800 --> 00:01:53.600]  就是我們這個身體從父母生下來
[00:01:53.600 --> 00:01:57.200]  我們這個心靈要從真道
[00:01:57.200 --> 00:01:59.600]  這裡說從真道重生
[00:01:59.600 --> 00:02:03.400]  我們裡面有了一個新的生命
[00:02:03.400 --> 00:02:07.200]  這個新的生命針對我們原來的那個私欲
[00:02:07.200 --> 00:02:09.600]  在我們裡面的那個劣根性
[00:02:09.600 --> 00:02:14.200]  那個劣根性是罪惡的這個因素之一
[00:02:14.200 --> 00:02:16.400]  現在我們在基督裡重生
[00:02:16.400 --> 00:02:18.000]  得到這個新生命
[00:02:18.000 --> 00:02:20.800]  這個是善的因素之一
[00:02:20.800 --> 00:02:25.000]  剛剛和我們原來的劣根性相對立
[00:02:25.000 --> 00:02:32.000]  那麼還有世俗環繞一般的人
[00:02:32.000 --> 00:02:36.800]  基督徒在教會裡面有一個新的團體
[00:02:36.800 --> 00:02:39.600]  我們在教會裡面一個新的潮流
[00:02:39.600 --> 00:02:42.400]  我記得好像在第一個晚上我提過
[00:02:42.400 --> 00:02:47.400]  這個世界裡面有一個很強的一個
[00:02:47.400 --> 00:02:51.600]  Sweeping Culture 文化的潮流
[00:02:51.600 --> 00:02:54.400]  在這個文化的圈子裡的人
