
[00:00:00.000 --> 00:00:11.000]  我們翻看聖經第七章第十三節
[00:00:11.000 --> 00:00:16.000]  一開始他說你們要進閘門
[00:00:16.000 --> 00:00:20.000]  不再停留在聽的階段
[00:00:20.000 --> 00:00:22.000]  當主耶穌的路教訓門徒
[00:00:22.000 --> 00:00:25.000]  聖經的真理天國的真理的時候
[00:00:25.000 --> 00:00:28.000]  來到的時候很清楚給我們一個吩咐
[00:00:28.000 --> 00:00:32.000]  一個勉勵你們要進閘門
[00:00:32.000 --> 00:00:35.000]  可能你會想起在教育聖經
[00:00:35.000 --> 00:00:39.000]  同樣有很多神的僕人這樣呼籲我們
[00:00:39.000 --> 00:00:42.000]  當他快要臨終的時候
[00:00:42.000 --> 00:00:44.000]  你會記得他跟一群以色列人說
[00:00:44.000 --> 00:00:46.000]  很重要的話
[00:00:46.000 --> 00:00:48.000]  他說我將生與死
[00:00:48.000 --> 00:00:49.000]  禍與福
[00:00:49.000 --> 00:00:52.000]  陳明在你們面前
[00:00:52.000 --> 00:00:55.000]  你們要揀選生命
[00:00:55.000 --> 00:00:59.000]  叫你們和你們的子孫可以存活
[00:00:59.000 --> 00:01:02.000]  在人生的路上有很多的抉擇
[00:01:02.000 --> 00:01:05.000]  神呼籲我們去揀選生命
[00:01:05.000 --> 00:01:10.000]  以致我們能夠得到真正神給我們的祝福
[00:01:10.000 --> 00:01:12.000]  聖經提醒我們
[00:01:12.000 --> 00:01:18.000]  這種揀選正正反映出在我們日常生活裡
[00:01:18.000 --> 00:01:22.000]  日常生活裡怎樣也要做出不同的抉擇
[00:01:22.000 --> 00:01:25.000]  以致你會進入救恩的門
[00:01:25.000 --> 00:01:28.000]  而且一直在裡面一直成長
[00:01:28.000 --> 00:01:31.000]  繼續在神的道裡
[00:01:31.000 --> 00:01:32.000]  揀選生命
[00:01:32.000 --> 00:01:34.000]  作出人生的抉擇
[00:01:34.000 --> 00:01:36.000]  進入閘門
[00:01:36.000 --> 00:01:39.000]  正是主耶穌對我們的吩咐
[00:01:39.000 --> 00:01:41.000]  在這段經文大家會看到
[00:01:41.000 --> 00:01:43.000]  聖經有兩個很清楚的比喻
[00:01:43.000 --> 00:01:44.000]  讓我們看到
[00:01:44.000 --> 00:01:46.000]  大家讀這段經文會知道
[00:01:46.000 --> 00:01:49.000]  很清楚聖經說的第一個比喻
[00:01:49.000 --> 00:01:53.000]  是閘門和永生的路
[00:01:53.000 --> 00:01:56.000]  另一個是一條寬的門
[00:01:56.000 --> 00:01:57.000]  大的路
[00:01:57.000 --> 00:01:59.000]  去到死亡的路
[00:01:59.000 --> 00:02:01.000]  一個路的比喻
[00:02:01.000 --> 00:02:03.000]  而下面提及到另一個比喻
[00:02:03.000 --> 00:02:06.000]  就是好樹結好果子
[00:02:06.000 --> 00:02:09.000]  壞樹結壞果子的比喻
[00:02:09.000 --> 00:02:12.000]  我們一起看看這兩段經文
[00:02:12.000 --> 00:02:15.000]  在聖經裡第十三節
[00:02:15.000 --> 00:02:17.000]  聖經說你們當進閘門
[00:02:17.000 --> 00:02:20.000]  因為引導滅亡的門是寬的路
[00:02:20.000 --> 00:02:24.000]  是大的進去的人也多
[00:02:24.000 --> 00:02:27.000]  但同樣一個事實就是
[00:02:27.000 --> 00:02:30.000]  但引導生命的門是窄的
[00:02:30.000 --> 00:02:32.000]  路是少的
