
[00:00:00.000 --> 00:00:04.200]  我們今天繼續思想有關使命教會的一方面的真理
[00:00:04.200 --> 00:00:08.000]  大家知道我們這個季度一直在說使命教會是什麼
[00:00:08.000 --> 00:00:15.800]  而今天我們所說到的使命教會是一個信徒心靈相通的群體
[00:00:15.800 --> 00:00:20.000]  是一個生命有連結的生命群體
[00:00:20.000 --> 00:00:22.800]  大家可能都一定會參加過一些婚禮
[00:00:22.800 --> 00:00:25.400]  去婚禮的時候你會記得上上提出的
[00:00:25.400 --> 00:00:28.400]  以弗所書五章三十一節的經文
[00:00:28.400 --> 00:00:32.800]  經文就說人要離開父母與妻子連合
[00:00:32.800 --> 00:00:37.000]  二人成為一體
[00:00:37.000 --> 00:00:40.800]  好奇妙說到兩個人可以有很不同的背景性情
[00:00:40.800 --> 00:00:45.600]  但卻可以在婚姻當中生命結合
[00:00:45.600 --> 00:00:50.600]  是神自己特別的一個設計安排
[00:00:50.600 --> 00:00:54.400]  聖經接著就說這是極大的奧秘
[00:00:54.400 --> 00:00:58.400]  但聖經說這不單單是說夫妻的結合
[00:00:58.400 --> 00:01:03.200]  更加是說基督與教會說的
[00:01:03.200 --> 00:01:08.600]  基督與教會可以聯合是極大的奧秘
[00:01:08.600 --> 00:01:13.400]  二者成為一體
[00:01:13.400 --> 00:01:15.200]  當你小心思考的時候你會發覺
[00:01:15.200 --> 00:01:19.400]  是不能夠憑我們的理解完全明白
[00:01:19.400 --> 00:01:26.400]  怎麼可能這位創造天地的上帝與他的教會成為一體
[00:01:26.400 --> 00:01:31.400]  這個人神的聯合是怎麼發生的呢?
[00:01:31.400 --> 00:01:33.400]  我們未必完全明白
[00:01:33.400 --> 00:01:36.000]  但聖經就這樣向我們啟示
[00:01:36.000 --> 00:01:40.200]  這位上帝是與我們聯合的
[00:01:40.200 --> 00:01:41.800]  我過去曾經分享過一件事情
[00:01:41.800 --> 00:01:45.800]  我想再提就是幾年之前我在北美港島
[00:01:45.800 --> 00:01:51.400]  之後有一對夫婦出來跟我聊天
[00:01:51.400 --> 00:01:53.800]  他們兩位很興奮地跟我說
[00:01:53.800 --> 00:01:56.800]  「施牧師一定要告訴你見證」
[00:01:56.800 --> 00:01:59.200]  兩人曾經一起去旅行
[00:01:59.200 --> 00:02:03.000]  在加拿大的魁北克省冬天的時候
[00:02:03.000 --> 00:02:05.800]  開著車到處去
[00:02:05.800 --> 00:02:08.400]  突然因為不小心看不清楚
[00:02:08.400 --> 00:02:12.800]  就撞在路邊的雪山丘上
[00:02:12.800 --> 00:02:17.800]  雪堆整個車子立即翻側了
[00:02:17.800 --> 00:02:21.400]  他們在驚慌當中從車子裡爬出來
[00:02:21.400 --> 00:02:24.400]  立即打電話想求救
[00:02:24.400 --> 00:02:26.400]  打電話到處問的時候
[00:02:26.400 --> 00:02:28.800]  發覺說不清楚
[00:02:28.800 --> 00:02:31.600]  你知道魁北克省說什麼是穩的
[00:02:31.600 --> 00:02:33.200]  說法文
[00:02:33.200 --> 00:02:36.000]  說不清楚一直都解釋不了自己的問題
