
[00:00:00.000 --> 00:00:04.560]  我們今天一起思想的是聖經二弗書第四章的經文
[00:00:04.560 --> 00:00:10.080]  這段經文提到教會的真理
[00:00:10.080 --> 00:00:14.000]  大家讀聖經的時候都會常常想起
[00:00:14.000 --> 00:00:16.520]  聖經提及什麼是教會
[00:00:16.520 --> 00:00:19.360]  教會就是基督的身體
[00:00:19.360 --> 00:00:21.720]  是基督所愛的
[00:00:21.720 --> 00:00:23.120]  既然是祂的身體
[00:00:23.120 --> 00:00:24.800]  一定是祂所珍貴
[00:00:24.800 --> 00:00:28.160]  聖經所說保養固息的對象
[00:00:28.880 --> 00:00:31.920]  當我們什麼時候說我們很愛主
[00:00:31.920 --> 00:00:33.880]  當你說愛主的時候
[00:00:33.880 --> 00:00:35.560]  自然的結論就是
[00:00:35.560 --> 00:00:40.160]  你必然會去愛主的身體
[00:00:40.160 --> 00:00:41.680]  主的教會
[00:00:41.680 --> 00:00:43.320]  如果你說你愛主
[00:00:43.320 --> 00:00:45.480]  但你不愛主的教會
[00:00:45.480 --> 00:00:47.720]  是一個很矛盾的說法
[00:00:47.720 --> 00:00:50.240]  因此你發覺很多時候
[00:00:50.240 --> 00:00:52.200]  當聖經提醒我們的時候
[00:00:52.200 --> 00:00:55.920]  記得教會是基督的身體
[00:00:56.040 --> 00:00:58.560]  免得我們去彼此的愛護
[00:00:58.560 --> 00:01:01.240]  來表達我們對主的愛
[00:01:01.240 --> 00:01:03.720]  在主的教會裡面
[00:01:03.720 --> 00:01:05.880]  有很多不同的弟兄姊妹
[00:01:05.880 --> 00:01:07.960]  有時候有一些軟弱的
[00:01:07.960 --> 00:01:09.880]  甚至有一些不成熟的
[00:01:09.880 --> 00:01:12.280]  甚至有一些帶給你有傷害的
[00:01:12.280 --> 00:01:14.600]  有時候想著想著就覺得
[00:01:14.600 --> 00:01:16.160]  愛不下了
[00:01:16.160 --> 00:01:19.520]  但每當想起聖經所說
[00:01:19.520 --> 00:01:21.120]  基督愛教會
[00:01:21.120 --> 00:01:22.960]  為教會捨己
[00:01:22.960 --> 00:01:25.280]  都是我常常想起的說話
[00:01:25.600 --> 00:01:29.440]  每當想起主願意為教會捨己
[00:01:29.440 --> 00:01:33.680]  我愛教會又算得了什麼
[00:01:33.680 --> 00:01:36.400]  怎能夠和主相比較
[00:01:36.400 --> 00:01:39.200]  就鼓勵自己繼續學習去愛
[00:01:39.200 --> 00:01:42.120]  繼續去學習去服侍弟兄姊妹
[00:01:42.120 --> 00:01:44.680]  在英國的大群體裡面
[00:01:44.680 --> 00:01:46.040]  聖經清楚說道
[00:01:46.040 --> 00:01:48.720]  教會是基督的身體
[00:01:48.720 --> 00:01:51.280]  而我們就是一個的身體
[00:01:51.280 --> 00:01:54.120]  是一個的合一的整體
[00:01:54.640 --> 00:01:56.200]  所以我們一起看看聖經
[00:01:56.200 --> 00:01:58.720]  如何免礙我們彼此的建立
[00:01:58.720 --> 00:01:59.840]  彼此的相愛
[00:01:59.840 --> 00:02:02.880]  在聖經我們先讀第四章第四節
[00:02:02.880 --> 00:02:07.320]  聖經說身體只有一個
[00:02:07.320 --> 00:02:09.520]  聖靈只有一位
[00:02:09.520 --> 00:02:11.240]  就像你們夢照
[00:02:11.240 --> 00:02:14.000]  只是藉著一個的盼望
[00:02:14.000 --> 00:02:16.320]  在《士大人傳》說述到
[00:02:16.320 --> 00:02:18.840]  當五旬節的時候聖靈降臨
[00:02:18.840 --> 00:02:20.240]  聖靈降臨
[00:02:20.240 --> 00:02:23.080]  當時有很多不同的猶太人
[00:02:23.200 --> 00:02:25.560]  他們說出不同國家的語言
[00:02:25.560 --> 00:02:31.040]  這些表明了在全世界各地方各民族
[00:02:31.040 --> 00:02:33.360]  領受神救恩的人
[00:02:33.360 --> 00:02:36.800]  都是從一位聖靈領受感動
[00:02:36.800 --> 00:02:38.800]  進入救恩的門
[00:02:38.800 --> 00:02:43.200]  因此是一位聖靈建立了他的教會
[00:02:43.200 --> 00:02:45.520]  所以聖經提及到
[00:02:45.520 --> 00:02:47.360]  我們是由一位聖靈
[00:02:47.360 --> 00:02:49.400]  進入神的國度裡面
[00:02:49.400 --> 00:02:52.240]  而且是由一個的盼望
[00:02:52.480 --> 00:02:54.040]  這個共一的盼望
[00:02:54.040 --> 00:02:55.680]  就是福音的盼望
[00:02:55.680 --> 00:02:59.720]  和耶穌基督領受給我們永恆的救恩
[00:02:59.720 --> 00:03:01.720]  是同一個盼望
