
[00:00:00.000 --> 00:00:03.000]  在上一個主日我們去講
[00:00:03.000 --> 00:00:05.340]  創世紀的時候,講到亞當
[00:00:05.340 --> 00:00:08.360]  和夏娃,因著犯罪的緣故
[00:00:08.360 --> 00:00:11.800]  他們不再信服上帝了
[00:00:11.800 --> 00:00:13.980]  所以他們的後裔
[00:00:13.980 --> 00:00:17.560]  就是我們,所有的人都在一個罪惡世界裏面
[00:00:17.560 --> 00:00:18.960]  我們都有一個罪性
[00:00:18.960 --> 00:00:22.600]  因著有罪性,所以我們有種種的罪行
[00:00:22.600 --> 00:00:25.440]  在一個罪惡的世界裏面,究竟
[00:00:25.440 --> 00:00:29.080]  上帝怎樣去對待我們這些當中的罪人呢
[00:00:29.080 --> 00:00:31.320]  就在今天,我們去看一段經文
[00:00:31.320 --> 00:00:34.520]  在以弗所書的第二章一至二節
[00:00:34.520 --> 00:00:37.660]  講到上帝怎樣藉著耶穌去拯救我們
[00:00:37.660 --> 00:00:39.600]  在以弗所書的第一章
[00:00:39.600 --> 00:00:42.460]  保羅用了一個很長的篇幅
[00:00:42.460 --> 00:00:45.260]  可以說做一件事,就是讚美上帝
[00:00:45.260 --> 00:00:48.120]  讚美上帝的榮耀
[00:00:48.120 --> 00:00:51.020]  怎樣藉著耶穌的救恩
[00:00:51.020 --> 00:00:54.520]  彰顯祂的慈愛,彰顯祂的憐憫
[00:00:54.520 --> 00:00:57.920]  在第二章的第一至第三節
[00:00:57.920 --> 00:01:01.500]  保羅更具體的說出這個救恩是怎樣的救恩呢
[00:01:01.500 --> 00:01:02.880]  第二章第一節這樣說
[00:01:02.880 --> 00:01:06.140]  你們死在過犯之中,他叫你們活過來
[00:01:06.140 --> 00:01:08.660]  那時你們在其中行事為人
[00:01:08.660 --> 00:01:12.600]  隨隨今世的風俗,順服空中掌權者的手令
[00:01:12.600 --> 00:01:16.140]  就是現今在活逆之子心中運行的邪令
[00:01:16.140 --> 00:01:20.060]  我們從前也都在他們中間放縱肉體的私慾
[00:01:20.060 --> 00:01:22.800]  隨著肉體和心中所喜好的去行
[00:01:22.800 --> 00:01:26.120]  本為可怒之子,和別人一樣
[00:01:26.400 --> 00:01:29.060]  第二章一開始,一個很重要的主題
[00:01:29.060 --> 00:01:31.520]  就是上帝呼召我們的盼望
[00:01:31.520 --> 00:01:35.560]  說到上帝的救恩,為何人在人間
[00:01:35.560 --> 00:01:37.400]  人在罪惡裏面本來是絕望的
[00:01:37.400 --> 00:01:39.900]  但是現在因著上帝的拯救
[00:01:39.900 --> 00:01:43.600]  我們有一個很大的永生的盼望
[00:01:43.600 --> 00:01:46.480]  在第二章的一至第十節
[00:01:46.480 --> 00:01:49.640]  說到人本來與上帝敵對的
[00:01:49.640 --> 00:01:51.560]  在罪惡裏面和上帝是敵對的
[00:01:51.560 --> 00:01:54.400]  但是現在因著上帝的拯救
[00:01:54.400 --> 00:01:57.600]  可以再一次與上帝有一個和好
[00:01:57.600 --> 00:02:00.960]  能夠成為一個與我們生活上
[00:02:00.960 --> 00:02:03.240]  是合乎上帝喜悅的一個人
[00:02:03.240 --> 00:02:05.800]  接著在第二章的第一至第三節
[00:02:05.800 --> 00:02:08.480]  就是說人未認識上帝之前是什麼狀態呢
[00:02:08.480 --> 00:02:10.800]  死在罪惡當中
[00:02:10.800 --> 00:02:13.560]  在這裏保羅一開始說你們的
[00:02:13.560 --> 00:02:17.120]  我是猶太人,你們就是外邦人
[00:02:17.120 --> 00:02:19.920]  你們外邦人其實在罪惡裏面
[00:02:19.920 --> 00:02:22.320]  不過在這裏如果大家留心
[00:02:22.320 --> 00:02:24.560]  保羅亦都說我們
[00:02:24.560 --> 00:02:28.600]  保羅亦都想到其實外邦人未認識耶穌之前
[00:02:28.600 --> 00:02:29.520]  在罪惡裏面
[00:02:29.520 --> 00:02:31.240]  其實猶太人都一樣
[00:02:31.240 --> 00:02:36.000]  我們雖然在表面上說是上帝的選民
[00:02:36.000 --> 00:02:39.200]  但是其實我們未認識耶穌之前
[00:02:39.200 --> 00:02:41.080]  我們未認識一個救恩之前
[00:02:41.080 --> 00:02:42.880]  我們同樣在一個罪惡裏面
[00:02:42.880 --> 00:02:45.400]  所以之後又說我們
[00:02:45.400 --> 00:02:47.960]  我們都是一班罪人
[00:02:47.960 --> 00:02:50.800]  我們不比外邦人好
[00:02:50.800 --> 00:02:54.600]  在這裏保羅去形容
[00:02:54.600 --> 00:02:57.080]  當我們未認識上帝之前
