
[00:00:00.000 --> 00:00:05.120]  今天跟大家說的經文是記載在約翰福音第四章27-42節
[00:00:05.120 --> 00:00:07.420]  在約翰福音第四章裏面
[00:00:07.420 --> 00:00:10.500]  我們經常說是活水篇 耶穌和
[00:00:10.500 --> 00:00:12.540]  一個撒瑪利亞婦人
[00:00:12.540 --> 00:00:15.100]  去談論什麼是活水
[00:00:15.100 --> 00:00:16.380]  在
[00:00:16.380 --> 00:00:17.660]  約翰福音裏面
[00:00:17.660 --> 00:00:18.680]  就是記載
[00:00:18.680 --> 00:00:22.020]  耶穌在一個罪加城裏面和一個
[00:00:22.020 --> 00:00:23.040]  撒瑪利亞
[00:00:23.040 --> 00:00:24.820]  撒瑪利亞婦人的對話
[00:00:24.820 --> 00:00:26.100]  這一段的經文
[00:00:26.100 --> 00:00:27.900]  27-42節
[00:00:28.160 --> 00:00:31.480]  可以說是整個罪事的一個高峰
[00:00:31.480 --> 00:00:33.540]  在上文裏面
[00:00:33.540 --> 00:00:36.100]  第四章1-26節
[00:00:36.100 --> 00:00:37.380]  記載
[00:00:37.380 --> 00:00:42.500]  耶穌打破了猶太人和撒瑪利亞人的種族的隔閡
[00:00:42.500 --> 00:00:44.540]  男性和女性
[00:00:44.540 --> 00:00:46.840]  性別的界限
[00:00:46.840 --> 00:00:47.860]  都打破了
[00:00:47.860 --> 00:00:49.660]  主動地向一位
[00:00:49.660 --> 00:00:53.240]  有道德有瑕疵的一個婦人
[00:00:53.500 --> 00:00:58.360]  啟示她自己就是上帝所差派來的那個尼采
[00:00:58.360 --> 00:01:00.400]  在27-42節
[00:01:00.400 --> 00:01:02.200]  進一步去延伸
[00:01:02.200 --> 00:01:03.740]  對話的影響
[00:01:03.740 --> 00:01:04.760]  包括了
[00:01:04.760 --> 00:01:07.320]  這一班門徒的反應是怎樣呢?
[00:01:07.320 --> 00:01:10.640]  耶穌對屬靈的食物的教導
[00:01:10.640 --> 00:01:12.440]  和撒瑪利亞人
[00:01:12.440 --> 00:01:14.480]  因為婦人的見證
[00:01:14.480 --> 00:01:17.560]  而歸順耶穌的一個過程
[00:01:17.560 --> 00:01:18.840]  在28-30節
[00:01:18.840 --> 00:01:20.880]  記載
[00:01:20.880 --> 00:01:23.440]  那婦人就留下水罐子
[00:01:23.700 --> 00:01:25.240]  往城裡去
[00:01:25.240 --> 00:01:26.520]  對眾人說
[00:01:26.520 --> 00:01:27.540]  你們來看
[00:01:27.540 --> 00:01:29.000]  有一個人將我
[00:01:29.000 --> 00:01:30.880]  素來所行的一切事
[00:01:30.880 --> 00:01:32.660]  都給我說出來了
