
[00:00:00.000 --> 00:00:02.000]  聖禮是什麼呢?
[00:00:02.000 --> 00:00:07.040]  當然我們基督教福言教所贊成的聖禮
[00:00:07.040 --> 00:00:10.200]  相信是聖禮的只有兩個
[00:00:10.200 --> 00:00:13.040]  一個是水禮
[00:00:13.040 --> 00:00:14.440]  Aptos
[00:00:14.440 --> 00:00:17.680]  另外一個就是聖餐
[00:00:17.680 --> 00:00:19.720]  Body Communion
[00:00:19.720 --> 00:00:21.040]  聖餐
[00:00:21.040 --> 00:00:24.880]  我們先看整個聖禮
[00:00:24.880 --> 00:00:26.880]  如何了解一個聖禮
[00:00:26.880 --> 00:00:28.240]  為什麼要有聖禮
[00:00:28.240 --> 00:00:32.240]  聖禮包含了什麼呢?
[00:00:32.240 --> 00:00:35.240]  我們可以說
[00:00:35.240 --> 00:00:39.240]  加爾文的說法引述加爾文教育學院
[00:00:39.240 --> 00:00:42.240]  基督教教義
[00:00:42.240 --> 00:00:44.240]  光耀
[00:00:44.240 --> 00:00:47.240]  聖餐是一種外向的証明
[00:00:47.240 --> 00:00:52.240]  在我們與主人共同感受的意識之中
[00:00:52.240 --> 00:00:56.240]  祂的好意向我們保證
[00:00:56.240 --> 00:00:59.240]  保持我們的信仰的弱點
[00:00:59.240 --> 00:01:02.240]  我們再次在祂的旁邊
[00:01:02.240 --> 00:01:06.240]  向祂表達我們的神聖性
[00:01:06.240 --> 00:01:10.240]  在祂和天使之間
[00:01:10.240 --> 00:01:13.240]  這裡包含了幾樣東西
[00:01:13.240 --> 00:01:16.240]  第一 聖禮是一個外向的証明
[00:01:16.240 --> 00:01:18.240]  用現代化的字眼來說
[00:01:18.240 --> 00:01:20.240]  可以說是一種象徵
[00:01:20.240 --> 00:01:22.240]  象徵
[00:01:23.240 --> 00:01:27.240]  具體可以看到的象徵
[00:01:27.240 --> 00:01:32.240]  可以看到的象徵
[00:01:32.240 --> 00:01:35.240]  然後它的作用是什麼呢?
[00:01:35.240 --> 00:01:37.240]  通過可以看到的象徵
[00:01:37.240 --> 00:01:41.240]  可以看到的象徵包括了行動和物質
[00:01:41.240 --> 00:01:43.240]  Material and action
[00:01:43.240 --> 00:01:46.240]  在水禮裡有水
[00:01:46.240 --> 00:01:48.240]  這個material
[00:01:48.240 --> 00:01:50.240]  有行動有action
[00:01:50.240 --> 00:01:54.240]  就是浸下去的時候起身
[00:01:54.240 --> 00:01:58.240]  或者是灑在頭上摸頭的時候
[00:01:58.240 --> 00:02:00.240]  潑水在頭上
[00:02:00.240 --> 00:02:02.240]  這個是洗禮
[00:02:02.240 --> 00:02:05.240]  這個有行動有物質
[00:02:05.240 --> 00:02:08.240]  在聖餐一樣有物質
[00:02:08.240 --> 00:02:11.240]  有餅 有酒或者葡萄汁
[00:02:11.240 --> 00:02:15.240]  有行動 有舉起杯子來喝
[00:02:15.240 --> 00:02:16.240]  有張開餅
[00:02:18.240 --> 00:02:20.240]  有些分開一起喝
[00:02:20.240 --> 00:02:22.240]  這裡無論如何
[00:02:22.240 --> 00:02:25.240]  在外圍可以看到的具體表現
[00:02:25.240 --> 00:02:28.240]  具體的物質加上具體的動作
[00:02:28.240 --> 00:02:30.240]  是為了什麼呢?
[00:02:30.240 --> 00:02:34.240]  是有三個方向的意義
[00:02:34.240 --> 00:02:39.240]  Whereas with the Lord self to our consciences
[00:02:39.240 --> 00:02:42.240]  在我們的心靈裡打印
[00:02:42.240 --> 00:02:44.240]  這個什麼印呢?
[00:02:44.240 --> 00:02:46.240]  The promise of his goodwill to us
[00:02:47.240 --> 00:02:49.240]  當我們施行聖禮的時候
[00:02:49.240 --> 00:02:52.240]  我們有一個向後回顧的宣告
[00:02:52.240 --> 00:02:55.240]  神已經為我成就了這些東西
[00:02:55.240 --> 00:02:57.240]  在水禮裡
[00:02:57.240 --> 00:03:00.240]  耶穌基督已經為我釘十字架
[00:03:00.240 --> 00:03:02.240]  我已經與耶穌基督同死同埋
[00:03:02.240 --> 00:03:04.240]  這個過去式
[00:03:04.240 --> 00:03:06.240]  在聖餐裡
[00:03:06.240 --> 00:03:08.240]  耶穌基督已經為我受苦
[00:03:08.240 --> 00:03:11.240]  我要紀念耶穌為我受苦
[00:03:11.240 --> 00:03:13.240]  紀念在回顧以往
[00:03:13.240 --> 00:03:14.240]  然後呢
[00:03:16.240 --> 00:03:18.240]  To sustain the weakness of our faith
