
[00:00:00.000 --> 00:00:05.000]  我們將昨天晚上看的那節聖經再看一次
[00:00:05.000 --> 00:00:12.000]  請大家翻到彼得後書第三章十八節
[00:00:12.000 --> 00:00:17.000]  彼得後書第三章十八節
[00:00:17.000 --> 00:00:29.000]  你們卻要在我們讀舊讀耶穌基督的恩典和知識上有掌引
[00:00:29.000 --> 00:00:35.000]  在這裡我們看見主耶穌的完全的名稱
[00:00:35.000 --> 00:00:37.000]  祂是耶穌
[00:00:37.000 --> 00:00:42.000]  祂是著重為人子的耶穌
[00:00:42.000 --> 00:00:45.000]  祂的入身顯見
[00:00:45.000 --> 00:00:50.000]  基督著重祂的神格神性
[00:00:50.000 --> 00:00:52.000]  救主
[00:00:52.000 --> 00:00:56.000]  祂是救我們的那一位
[00:00:56.000 --> 00:01:00.000]  祂也是我們的主
[00:01:00.000 --> 00:01:04.000]  我們已經看過耶穌是神
[00:01:04.000 --> 00:01:07.000]  我們看過耶穌是我們的救主
[00:01:07.000 --> 00:01:10.000]  昨天晚上我們開始看
[00:01:10.000 --> 00:01:13.000]  耶穌是我們每一個人的主
[00:01:13.000 --> 00:01:15.000]  我們是祂的婦人
[00:01:15.000 --> 00:01:18.000]  祂是我們的主人
[00:01:18.000 --> 00:01:20.000]  我們要順服祂
[00:01:20.000 --> 00:01:24.000]  我們要徹底的聽祂的話
[00:01:24.000 --> 00:01:28.000]  昨天晚上我們也看了另外一節聖經
[00:01:28.000 --> 00:01:35.000]  在《馬太福音》第四章第十節
[00:01:35.000 --> 00:01:38.000]  《馬太福音》四章十節
[00:01:38.000 --> 00:01:41.000]  末了一句
[00:01:41.000 --> 00:01:47.000]  當拜祖你的神,但要侍奉他
[00:01:47.000 --> 00:01:50.000]  我們怎麼樣拜祖?
[00:01:50.000 --> 00:01:56.000]  我們拜祖的方法就是但要侍奉他
[00:01:56.000 --> 00:02:00.000]  不但侍奉他,而且但要侍奉他
[00:02:00.000 --> 00:02:03.000]  沒有其他所侍奉的
[00:02:03.000 --> 00:02:06.000]  沒有其他的神,沒有其他的主
[00:02:06.000 --> 00:02:08.000]  換一個話說
[00:02:08.000 --> 00:02:12.000]  我們把一切的偶像都破除了
