
[00:00:00.000 --> 00:00:02.720]  然后第九章记载了一个神迹
[00:00:02.720 --> 00:00:06.080]  就是耶稣医好了一个生来黑暗的人
[00:00:06.080 --> 00:00:07.460]  一出生就瞎了
[00:00:07.460 --> 00:00:09.940]  但是现在耶稣医好了他
[00:00:09.940 --> 00:00:12.260]  在第九章的一至二十三节
[00:00:12.260 --> 00:00:14.520]  当这个神迹
[00:00:14.520 --> 00:00:17.920]  耶稣在安息日里面去行这个神迹
[00:00:17.920 --> 00:00:19.700]  这群法利塞人
[00:00:19.700 --> 00:00:23.240]  已经对这个壳子作了第一轮的审讯
[00:00:23.240 --> 00:00:26.240]  就是说要肯定耶稣是一个罪人
[00:00:26.240 --> 00:00:29.240]  就是耶稣犯了这个安息日
[00:00:29.240 --> 00:00:34.080]  所以找了很多一个壳子的亲人
[00:00:34.080 --> 00:00:36.280]  轮舍父母
[00:00:36.280 --> 00:00:39.880]  整个审讯的过程的目的只有一个
[00:00:39.880 --> 00:00:42.720]  就是要证明耶稣是一个罪人
[00:00:42.720 --> 00:00:45.900]  接着来到第二轮的审讯
[00:00:45.900 --> 00:00:49.520]  第二轮的审讯在二十四至二十五节这样说
[00:00:49.520 --> 00:00:51.580]  所以法利塞人第二次见了也
[00:00:51.580 --> 00:00:54.200]  从前黑暗的人来对他说
[00:00:54.200 --> 00:00:56.120]  你该将荣耀归给神
[00:00:56.120 --> 00:00:58.200]  我们知道这人是罪人
[00:00:58.200 --> 00:01:01.920]  他说,他说的罪人不是我不知道
[00:01:01.920 --> 00:01:03.440]  有一件事我知道
[00:01:03.440 --> 00:01:07.800]  从前我是眼黑的,如今能看见了
[00:01:07.800 --> 00:01:10.280]  在上文里面可以说都见到
[00:01:10.280 --> 00:01:13.480]  在一群宗教领袖里面其实都有不同的意见
[00:01:13.480 --> 00:01:17.160]  有些人就说耶稣犯了安息日
[00:01:17.160 --> 00:01:18.320]  所以他是罪人
[00:01:18.320 --> 00:01:19.800]  但是另一些人也说
[00:01:19.800 --> 00:01:22.440]  一个罪人怎么可以行一个这样的神迹呢
[00:01:22.440 --> 00:01:24.040]  其实有些的争论在里面
[00:01:24.040 --> 00:01:25.040]  不过来到这里
[00:01:25.040 --> 00:01:28.120]  基本上这些争论已经达成一致
[00:01:28.120 --> 00:01:32.320]  指向就是要证明耶稣是一个罪人
[00:01:32.320 --> 00:01:36.280]  在这里我们也见到一位壳子的反应
