
[00:00:00.000 --> 00:00:06.560]  我講這個題目,我都多謝我們有同工幫手將powerpoint打出來
[00:00:06.560 --> 00:00:11.000]  回想我初信主的時候,就有人說
[00:00:11.000 --> 00:00:18.360]  舊約時代是律法的時代,新約時代是因典的時代
[00:00:18.360 --> 00:00:21.880]  我懷疑大家都有聽過這些說法
[00:00:21.880 --> 00:00:27.320]  當時我只是一個初信者,我沒有什麼分辨的能力
[00:00:27.320 --> 00:00:32.120]  我很簡單地接受了這個說法
[00:00:32.120 --> 00:00:36.480]  直到讀神學的時候,我才知道這個說法
[00:00:36.480 --> 00:00:40.720]  有些粗疏,我講得客氣一點,十分粗疏
[00:00:40.720 --> 00:00:42.520]  甚至並不準確
[00:00:42.520 --> 00:00:50.680]  近年有人將愛與和平和實踐公義這兩方面的看法和價值對立起來
[00:00:50.680 --> 00:00:54.720]  就代表著不同路線的基督徒的思想特徵
[00:00:54.720 --> 00:00:59.040]  我自己並不是要代表哪個方面去講話
[00:00:59.040 --> 00:01:05.760]  而是說在神學上,這種二元的思維並不正確
[00:01:05.760 --> 00:01:08.560]  並且是誤導著基督徒
[00:01:08.560 --> 00:01:13.440]  這種將愛與和平和實踐公義對立起來的思維
[00:01:13.440 --> 00:01:16.680]  背後的理據是什麼呢?
[00:01:16.680 --> 00:01:23.240]  就是舊約時代是律法的時代,新約時代是因典的時代
[00:01:23.240 --> 00:01:28.560]  這種對人類歷史進行不同時代的分段
[00:01:28.560 --> 00:01:32.440]  這些是很普遍的做法
[00:01:32.440 --> 00:01:37.040]  任何一種分類方法都有它的理據
[00:01:37.040 --> 00:01:39.640]  但同樣有它的問題
[00:01:39.640 --> 00:01:44.040]  舊約時代是律法的時代,新約時代是因典的時代
[00:01:44.040 --> 00:01:51.800]  這個歷史分類的方法表面上是進行一個很簡單的描述
[00:01:51.800 --> 00:01:56.760]  但卻在背後承載了一些不準確的信息
[00:01:56.760 --> 00:01:59.600]  請大家留心聽
[00:01:59.600 --> 00:02:04.920]  舊約時代是律法時代,新約時代是因典的時代
[00:02:04.920 --> 00:02:08.200]  背後的神觀是什麼呢?
[00:02:08.200 --> 00:02:10.960]  舊約時代的神是公義的神
[00:02:10.960 --> 00:02:14.160]  新約時代的神是慈愛的神
[00:02:14.160 --> 00:02:16.760]  我相信你們也聽過這些說法
[00:02:16.760 --> 00:02:24.560]  我還沒說下去的時候,我刻意選了詩篇103,6-17節作為講道經文
[00:02:24.560 --> 00:02:27.840]  剛才敬拜隊也帶過大家唱
[00:02:27.840 --> 00:02:31.040]  你會發覺耶和華是有因典有連文的
[00:02:31.040 --> 00:02:33.040]  你不需要讀很多神學
[00:02:33.040 --> 00:02:37.240]  你也應該知道耶和華有因典有連文
[00:02:37.240 --> 00:02:40.640]  但當我們說舊約時代的神是公義的神
[00:02:40.640 --> 00:02:43.640]  新約時代的神是慈愛的神
[00:02:43.640 --> 00:02:49.640]  這樣的說法是指神觀是隨著時代變化的
[00:02:49.640 --> 00:02:52.640]  神的本性可以隨著時代變化
[00:02:52.640 --> 00:02:56.640]  舊約時代是律法時代高舉公義的標準
[00:02:56.640 --> 00:03:01.440]  新約時代是以福音作為高舉因典的標準
[00:03:01.440 --> 00:03:03.440]  這些我們也聽過
[00:03:03.440 --> 00:03:05.640]  這種分類的方法的好處是什麼呢?
[00:03:05.640 --> 00:03:08.240]  就是特顯耶穌基督的福音是很獨特的
[00:03:08.240 --> 00:03:11.440]  耶穌基督的福音是完全正確的
[00:03:11.440 --> 00:03:15.840]  不過這種分類方法背後是在說什麼呢?
[00:03:15.840 --> 00:03:18.840]  有一個很嚴重的神觀錯誤
[00:03:18.840 --> 00:03:21.840]  我們的神是一時一樣的
[00:03:21.840 --> 00:03:24.840]  所以我今天是特意要說出這個問題
[00:03:24.840 --> 00:03:28.840]  就是說有很多人說的都是錯的
[00:03:28.840 --> 00:03:32.840]  希伯來書13章8節說
[00:03:32.840 --> 00:03:37.840]  耶穌基督昨日今日一直到永遠是一樣的
[00:03:37.840 --> 00:03:40.840]  有經文根據的,不是我說的
[00:03:40.840 --> 00:03:44.840]  同樣的,我們的上帝聖父也是永遠的神
[00:03:44.840 --> 00:03:47.840]  不會隨時改變自己的本性
[00:03:47.840 --> 00:03:50.840]  這是很重要的信念
[00:03:50.840 --> 00:03:55.840]  因為我們的神是昨日今日直到永遠的神
[00:03:55.840 --> 00:03:58.840]  所以舊約時代的神是公義的神
[00:03:58.840 --> 00:04:01.840]  新約時代的神是慈愛的神
[00:04:01.840 --> 00:04:03.840]  這個說法是絕對錯誤的
[00:04:03.840 --> 00:04:05.840]  肯定是錯誤的
[00:04:06.840 --> 00:04:11.840]  這種錯誤的神觀有什麼後果呢?
[00:04:11.840 --> 00:04:14.840]  引致一個錯誤的倫理觀
[00:04:14.840 --> 00:04:18.840]  就以為聖經是高舉愛而貶低公義
[00:04:18.840 --> 00:04:21.840]  我講一個我自己的經驗
[00:04:21.840 --> 00:04:23.840]  我神學畢業之後
[00:04:23.840 --> 00:04:27.840]  我去了一個警察會
[00:04:27.840 --> 00:04:30.840]  派我去一間中學教聖經
[00:04:30.840 --> 00:04:34.840]  你知道教聖經的同學比較活躍
[00:04:34.840 --> 00:04:37.840]  用這個字眼,不要有任何偏見
[00:04:37.840 --> 00:04:42.840]  我教聖經,你可以想像那些同學會不會專心聽我說聖經
[00:04:42.840 --> 00:04:43.840]  當然不會
[00:04:43.840 --> 00:04:47.840]  你做老師,同學會不會吵的
[00:04:47.840 --> 00:04:51.840]  你會去跟他聊天,勸喻他
[00:04:51.840 --> 00:04:54.840]  勸喻不聽,你會不會給他一些處罰呢?
[00:04:54.840 --> 00:04:57.840]  會的,如果你做老師,你也會
[00:04:57.840 --> 00:04:58.840]  正常的
[00:04:58.840 --> 00:05:01.840]  但這個同學很有智慧
[00:05:01.840 --> 00:05:05.840]  老師,你說耶穌愛我們,赦免我們的罪
[00:05:05.840 --> 00:05:07.840]  你為什麼要罰我?
[00:05:07.840 --> 00:05:11.840]  你有沒有想過這是一個很嚴肅的神學問題?
[00:05:11.840 --> 00:05:14.840]  你講愛,你就不要罰我
[00:05:14.840 --> 00:05:16.840]  你罰我,你不對
[00:05:16.840 --> 00:05:18.840]  你自己自相矛盾
[00:05:18.840 --> 00:05:23.840]  我突然想,愛是不是錯也不用罰?
[00:05:23.840 --> 00:05:24.840]  你明不明白我的意思?
[00:05:24.840 --> 00:05:28.840]  我開始時在想,其實各位弟兄姊妹
[00:05:28.840 --> 00:05:32.840]  我們每一個人都拿著愛的宗旨做人
[00:05:32.840 --> 00:05:37.840]  但你會在你的生活環境裡調色
[00:05:37.840 --> 00:05:39.840]  你會自動調色
[00:05:39.840 --> 00:05:41.840]  所以我們是運作了
[00:05:41.840 --> 00:05:45.840]  我們沒有想過我們是在用其他標準
[00:05:45.840 --> 00:05:48.840]  幫助我們實踐愛
[00:05:48.840 --> 00:05:51.840]  我只不過把這個問題帶出來
[00:05:51.840 --> 00:05:54.840]  你可能會說,你想這麼多幹嘛?
[00:05:54.840 --> 00:05:56.840]  這個問題為什麼要想?
[00:05:56.840 --> 00:06:01.840]  就是因為基督教倫理的基礎是哪裡的問題
[00:06:01.840 --> 00:06:05.840]  大家很自然地回答,基督教倫理的基礎是愛
[00:06:05.840 --> 00:06:07.840]  當然是對的
[00:06:07.840 --> 00:06:09.840]  但你自己操作也不是這樣
[00:06:09.840 --> 00:06:11.840]  那你就要想深一層
[00:06:11.840 --> 00:06:15.840]  基督教倫理的基礎不只是愛
[00:06:15.840 --> 00:06:17.840]  還有公義
[00:06:17.840 --> 00:06:20.840]  所以這個很重要,很多人都錯
[00:06:20.840 --> 00:06:23.840]  究竟聖經是否高舉愛而貶低公義呢?
[00:06:23.840 --> 00:06:27.840]  又或者反過來說,究竟聖經是否高舉公義而不貶低愛呢?
[00:06:27.840 --> 00:06:31.840]  這才是我們今天要去處理的問題
[00:06:31.840 --> 00:06:34.840]  究竟聖經是怎麼說的呢?
[00:06:34.840 --> 00:06:36.840]  我就可以告訴大家
[00:06:36.840 --> 00:06:41.840]  在我盡我的能力去仔細研讀聖經之後
[00:06:41.840 --> 00:06:47.840]  我發現聖經是同時重視愛,同時重視公義
[00:06:47.840 --> 00:06:52.840]  究竟為什麼有些基督徒會高舉愛而貶低公義呢?
[00:06:52.840 --> 00:06:56.840]  本來聖經是很清楚的教導
[00:06:56.840 --> 00:06:59.840]  但近年我真的覺得很可惜
[00:06:59.840 --> 00:07:02.840]  有些人扭曲甚至歪曲聖經的教導
[00:07:02.840 --> 00:07:09.840]  宣揚一種所謂愛與公義矛盾對立的信息來誤導信徒
[00:07:09.840 --> 00:07:11.840]  我看到其實是很擇心
[00:07:11.840 --> 00:07:15.840]  在聖靈的催促下,我提到的題目就是愛與公義
[00:07:15.840 --> 00:07:17.840]  內容有三部分
[00:07:17.840 --> 00:07:21.840]  第一部分就是愛與公義是同時並存的
[00:07:21.840 --> 00:07:23.840]  這個我剛才已經解釋了
[00:07:23.840 --> 00:07:26.840]  第二部分就是正義與和平
[00:07:26.840 --> 00:07:31.840]  第三部分就是我們要成為一個有愛有公義的人
[00:07:31.840 --> 00:07:35.840]  首先看看第一部分,愛與公義是同時並存的
[00:07:35.840 --> 00:07:37.840]  我是根據聖經所說的
[00:07:37.840 --> 00:07:40.840]  愛與公義是不是矛盾呢?
[00:07:40.840 --> 00:07:41.840]  我說不是
[00:07:41.840 --> 00:07:42.840]  因為什麼呢?
[00:07:42.840 --> 00:07:45.840]  在希伯來文C篇103篇第六第七節
[00:07:45.840 --> 00:07:49.840]  耶和華說:施行公義,為一切受屈的人伸冤
[00:07:49.840 --> 00:07:54.840]  他使摩西知道他的法則,叫以色列人了解他的作為
[00:07:54.840 --> 00:07:58.840]  我就引用了一個英文的NASB的譯本給你們
[00:07:58.840 --> 00:08:01.840]  其實這個powerpoint你們可以拿,沒問題的
[00:08:01.840 --> 00:08:05.840]  那麼我就看希伯來文
[00:08:05.840 --> 00:08:09.840]  希伯來文的原文如果說公義
[00:08:09.840 --> 00:08:13.840]  這個字比較複雜一點,Jedekwah
[00:08:13.840 --> 00:08:17.840]  他說:而為一切受屈的人伸冤
[00:08:17.840 --> 00:08:19.840]  是可以逆作什麼呢?
[00:08:19.840 --> 00:08:23.840]  為一切受屈的人伸張正義
[00:08:23.840 --> 00:08:27.840]  其實舊的聖經是很重視公義的
[00:08:27.840 --> 00:08:29.840]  103篇第八節
[00:08:29.840 --> 00:08:31.840]  你又要留心了
[00:08:31.840 --> 00:08:37.840]  耶和華說:有憐憫有恩典,不輕而發怒,且有豐盛的慈愛
[00:08:37.840 --> 00:08:39.840]  你要問一個問題
[00:08:39.840 --> 00:08:46.840]  第六第七節和第八節緊密相連
[00:08:46.840 --> 00:08:52.840]  是在描述耶和華對公義和慈愛都一樣的看重
[00:08:52.840 --> 00:08:54.840]  經文是很清楚的
[00:08:54.840 --> 00:08:59.840]  舊約時代的神是充滿慈愛的
[00:08:59.840 --> 00:09:04.840]  是證明了舊約時代的神不只是公義沒有慈愛
[00:09:04.840 --> 00:09:08.840]  很明顯,單看這段經文你都看得到
[00:09:08.840 --> 00:09:11.840]  CB103篇第九到第十節說:
[00:09:11.840 --> 00:09:16.840]  祂不長久責備,也不永遠懷勞
[00:09:16.840 --> 00:09:20.840]  祂沒有按我們過飯代我們
[00:09:20.840 --> 00:09:23.840]  也沒有照我們的罪業報應我們
[00:09:23.840 --> 00:09:25.840]  當你這樣看的時候
[00:09:25.840 --> 00:09:27.840]  你就更加明白
[00:09:27.840 --> 00:09:29.840]  舊約時代的神
[00:09:29.840 --> 00:09:32.840]  祂真的愛到我們不得了
[00:09:32.840 --> 00:09:34.840]  這段經文是在說
[00:09:34.840 --> 00:09:36.840]  神是赦免人的罪過
[00:09:36.840 --> 00:09:40.840]  經文是用天地和父親來作例子
[00:09:40.840 --> 00:09:42.840]  說出道理
[00:09:42.840 --> 00:09:46.840]  神沒有按我們應該受的罪過來懷我們
[00:09:46.840 --> 00:09:49.840]  神沒有按我們應該受的報應來懷我們
[00:09:49.840 --> 00:09:52.840]  你想想,這是非常大的恩典
[00:09:52.840 --> 00:09:56.840]  如果舊約時代的神只是講公義
[00:09:56.840 --> 00:09:58.840]  飯菜就要罰的話
[00:09:58.840 --> 00:10:02.840]  當然經文沒有否定飯菜要罰
[00:10:02.840 --> 00:10:05.840]  但有沒有看到,當飯菜受罰的時候
[00:10:05.840 --> 00:10:08.840]  神的慈愛和憐憫是更大
[00:10:08.840 --> 00:10:11.840]  你明不明白,這是很重要的地方
[00:10:11.840 --> 00:10:14.840]  舊約的神不會說你做錯就不用罰
[00:10:14.840 --> 00:10:18.840]  但祂罰得來是很有愛和慈悲的
[00:10:18.840 --> 00:10:20.840]  所以你看舊約聖經的時候
[00:10:20.840 --> 00:10:22.840]  是說那些人
[00:10:22.840 --> 00:10:24.840]  我寧願落在耶和華的手中
[00:10:24.840 --> 00:10:26.840]  比落在敵人的手上好
[00:10:26.840 --> 00:10:27.840]  是什麼意思呢?
[00:10:27.840 --> 00:10:30.840]  雖然我做錯了,或是我需要死
[00:10:30.840 --> 00:10:32.840]  但我死得沒那麼慘
[00:10:32.840 --> 00:10:35.840]  你可以這樣理解舊約聖經所說的
[00:10:35.840 --> 00:10:38.840]  詩篇103篇第14到16節
[00:10:38.840 --> 00:10:39.840]  是這麼說的
[00:10:39.840 --> 00:10:41.840]  為什麼我們的神會這麼憐憫我們呢?
[00:10:41.840 --> 00:10:44.840]  因為祂知道我們的本體
[00:10:44.840 --> 00:10:47.840]  思念我們不過是塵土
[00:10:47.840 --> 00:10:50.840]  至於世人,祂的年日如草一樣
[00:10:50.840 --> 00:10:53.840]  祂發望和野地的花
[00:10:53.840 --> 00:10:56.840]  驚風一吹,就必無尤
[00:10:56.840 --> 00:10:59.840]  祂的源處也不在,認識祂
[00:10:59.840 --> 00:11:01.840]  所以神是顧念我們
[00:11:01.840 --> 00:11:04.840]  祂只不過是一個很微小很軟弱的人
[00:11:04.840 --> 00:11:06.840]  所以這樣對待我們
[00:11:06.840 --> 00:11:10.840]  然後第14到16節說完之後
[00:11:10.840 --> 00:11:12.840]  說的是神是怎樣的呢?
[00:11:12.840 --> 00:11:15.840]  祂是情理兼備地對待我們
[00:11:15.840 --> 00:11:16.840]  同意嗎?
[00:11:16.840 --> 00:11:20.840]  然後到了第14到17節
[00:11:20.840 --> 00:11:26.840]  有一件事,說的是慈愛歸於敬畏祂的人
[00:11:26.840 --> 00:11:29.840]  從耿古到永遠
[00:11:29.840 --> 00:11:32.840]  祂的公義都歸給了祂子子孫孫
[00:11:32.840 --> 00:11:34.840]  大家請留意
[00:11:34.840 --> 00:11:38.840]  在這裡,公義這個概念又走出來了
[00:11:38.840 --> 00:11:43.840]  這經文說到神同時是慈愛和公義
[00:11:43.840 --> 00:11:45.840]  聖經教導我們的是
[00:11:45.840 --> 00:11:48.840]  公義和慈愛並不是矛盾
