
[00:00:00.000 --> 00:00:07.200]  我們再看剛才聖經《讓夫音》第十二章的經文
[00:00:07.200 --> 00:00:13.000]  我們思想主耶穌提及「人只得榮耀了」
[00:00:13.000 --> 00:00:14.800]  當我們說起榮耀的時候
[00:00:14.800 --> 00:00:20.200]  大家都會很體會在生活上榮耀是一件很重要的事
[00:00:20.200 --> 00:00:23.800]  未必是一些實物你可以捉到摸到
[00:00:23.800 --> 00:00:27.200]  但是很真實每一天都在影響我們
[00:00:27.200 --> 00:00:29.400]  怎樣做人生不同的抉擇
[00:00:29.400 --> 00:00:32.000]  我們人生的方向
[00:00:32.000 --> 00:00:33.800]  說到榮耀的時候
[00:00:33.800 --> 00:00:38.400]  我們大家都會體會中國人其實很明白
[00:00:38.400 --> 00:00:41.800]  中國人純粹說面子很重要
[00:00:41.800 --> 00:00:44.800]  純粹說有光彩很重要
[00:00:44.800 --> 00:00:49.800]  因此就算是付多大代價都要有光彩
[00:00:49.800 --> 00:00:53.800]  很多人都會體會到有時候在工作環境
[00:00:53.800 --> 00:00:59.800]  見到有些同事在自己部門得到最高的銷售獎
[00:00:59.800 --> 00:01:02.800]  拿到最多的一個成果
[00:01:02.800 --> 00:01:05.800]  嘗試在大家面前讚賞他
[00:01:05.800 --> 00:01:11.000]  也都公開表示有一些獎金特別來獎勵他
[00:01:11.000 --> 00:01:16.400]  大家走過去握手讚賞他
[00:01:16.400 --> 00:01:19.000]  在旁邊的你或者我
[00:01:19.000 --> 00:01:25.400]  都會有一種感覺我也要努力像他一樣
[00:01:25.400 --> 00:01:27.800]  有一種光彩是很吸引
[00:01:27.800 --> 00:01:30.200]  很想都能夠得到
[00:01:30.200 --> 00:01:32.800]  不單單是這些工作上的環境
[00:01:32.800 --> 00:01:35.400]  我想生活上大家都會很多時候體會
[00:01:35.400 --> 00:01:39.000]  很多事情有一種對自己的吸引
[00:01:39.000 --> 00:01:42.400]  見到姐妹的兒子
[00:01:42.400 --> 00:01:45.600]  不單止在一間很出名的大學
[00:01:45.600 --> 00:01:51.600]  突然告訴你兒子讀了博士畢業了
[00:01:51.600 --> 00:01:56.400]  很光彩很開心很榮耀的事情
[00:01:56.400 --> 00:01:59.200]  可能因此我們都會有一種感覺
[00:01:59.200 --> 00:02:01.600]  無論如何都要栽培
[00:02:01.600 --> 00:02:05.600]  就算兒子拿不到博士也要拿碩士
[00:02:05.600 --> 00:02:10.000]  可能有很多不同的事情在生活上都會吸引我們
[00:02:10.000 --> 00:02:15.200]  都會覺得是一些很想要的一種成果
[00:02:15.200 --> 00:02:18.000]  當主耶穌說到復活的時候
[00:02:18.000 --> 00:02:21.200]  在復活的時候之前祂就說
[00:02:21.200 --> 00:02:25.400]  祂說人子得榮耀的時候到了
[00:02:25.400 --> 00:02:26.800]  你未見到聖經說
[00:02:26.800 --> 00:02:29.000]  將會主耶穌要面對的是
[00:02:29.000 --> 00:02:31.600]  撫蘭和十字架
