
[00:00:00.000 --> 00:00:04.500]  我們這一次所講的題目就是基督
[00:00:04.500 --> 00:00:08.800]  我們這一次所講的題目就是基督論
[00:00:08.800 --> 00:00:15.800]  因為我們對於主耶穌所認識的、所知道、所崇拜的
[00:00:15.800 --> 00:00:18.500]  我們要弄得非常的清楚
[00:00:18.500 --> 00:00:22.100]  我們對於我們所認識的、所崇拜的這位主耶穌基督
[00:00:22.100 --> 00:00:24.000]  我們一定要搞得很清楚
[00:00:24.000 --> 00:00:28.500]  我們如果在基督的信仰上不清楚
[00:00:28.500 --> 00:00:31.300]  我們其他的教義也都弄不清楚
[00:00:31.300 --> 00:00:35.800]  如果我們在信仰的教義不清楚
[00:00:35.800 --> 00:00:38.200]  其他就會有很多東西不清楚
[00:00:38.200 --> 00:00:42.000]  我們這一次講的就是先存的基督
[00:00:42.000 --> 00:00:46.100]  第一天我們講先存的基督存在的存
[00:00:46.100 --> 00:00:48.400]  以後我們講舊約中的基督
[00:00:48.400 --> 00:00:51.000]  以後第二次我們講舊約中的基督
[00:00:51.000 --> 00:00:54.800]  昨天我們是談到降生的基督
[00:00:54.800 --> 00:00:57.200]  昨天我們是講到降生的基督
[00:00:57.200 --> 00:00:59.200]  他來到這個世界為人
[00:00:59.200 --> 00:01:01.100]  帶著一個人的樣式
[00:01:01.100 --> 00:01:04.300]  他來這個世界做人,帶著人的樣式
[00:01:04.300 --> 00:01:08.500]  我們覺得聖經以主耶穌為中心
[00:01:08.500 --> 00:01:11.300]  我們覺得聖經是以主耶穌為中心
[00:01:11.300 --> 00:01:13.300]  我們無論查考舊約新約
[00:01:13.300 --> 00:01:16.100]  我們總是要尋找關於耶穌的事情
[00:01:16.100 --> 00:01:17.500]  無論查考舊約新約
[00:01:17.500 --> 00:01:19.600]  我們總要找到主耶穌基督
[00:01:19.600 --> 00:01:24.400]  那麼聖經裡面有幾樣是主耶穌給我們帶來的
[00:01:24.400 --> 00:01:25.700]  給我們的福氣
[00:01:25.700 --> 00:01:29.600]  聖經裡面有講到主耶穌帶來給我們很多種福氣
[00:01:29.600 --> 00:01:31.900]  今天我們要談到祂的恩典
[00:01:31.900 --> 00:01:34.800]  我們今天要談到主耶穌的恩典
[00:01:34.800 --> 00:01:37.200]  明天我們談到主耶穌的保鞋
[00:01:37.200 --> 00:01:39.400]  明天我們要談到主耶穌的保鞋
[00:01:39.400 --> 00:01:42.000]  後天我們談到主耶穌的十字架
[00:01:42.000 --> 00:01:44.600]  後天我們要談到主耶穌的十字架
[00:01:44.600 --> 00:01:49.600]  我們盼望各位能夠聽一個整個的系統的關係
[00:01:49.600 --> 00:01:53.100]  我們希望各位能夠聽整個有系統的信息
[00:01:53.100 --> 00:01:56.500]  我們請看提多書第二章
[00:01:56.500 --> 00:02:00.000]  現在請各位看提多書的第二章
[00:02:00.000 --> 00:02:02.100]  十一至十五節
[00:02:02.100 --> 00:02:04.200]  十一到十五節
[00:02:04.200 --> 00:02:06.900]  提多二章十一至十五節
[00:02:06.900 --> 00:02:10.300]  提多二章十一到十五節
[00:02:10.300 --> 00:02:15.900]  提到十一節因為神救眾人的恩典已經顯明出來了
[00:02:15.900 --> 00:02:20.900]  十一節說因為神救眾人的恩典已經顯明出來了
[00:02:20.900 --> 00:02:23.700]  再請我們看第三章四至八節
[00:02:23.700 --> 00:02:27.700]  又看第三章四到第八節
[00:02:27.700 --> 00:02:32.300]  在這一段裡面也是提到主的恩慈
[00:02:32.300 --> 00:02:35.800]  祂和祂向人所慈的慈愛
[00:02:35.800 --> 00:02:40.100]  這裡是講到祂的恩慈和祂向人所施的慈愛
[00:02:40.100 --> 00:02:44.800]  第七節號召我們因祂的恩得成為義
[00:02:44.800 --> 00:02:49.300]  第七節說好叫我們因祂的恩能夠成為義
[00:02:49.300 --> 00:02:53.900]  慕迪先生他有一個時候他查考聖經
[00:02:53.900 --> 00:02:56.500]  慕迪先生有一個時候他查考聖經
[00:02:56.500 --> 00:02:58.600]  他查考關於恩典的事情
[00:02:58.600 --> 00:03:00.900]  他是查考到關於恩典的事情
[00:03:00.900 --> 00:03:02.300]  他心裡就充滿了
[00:03:02.300 --> 00:03:04.200]  他心裡是充滿了
[00:03:04.200 --> 00:03:07.300]  他就跑到街上他遇到一個人他就問他說
[00:03:07.300 --> 00:03:09.300]  你知道不知道恩典嗎
[00:03:09.300 --> 00:03:12.100]  他一到街上他見到一個人就問他
[00:03:12.100 --> 00:03:13.700]  你知不知道恩典啊
[00:03:13.700 --> 00:03:15.200]  這個人就很稀奇啊
[00:03:15.200 --> 00:03:17.300]  他說恩典哪一個恩典誰啊
[00:03:17.300 --> 00:03:19.300]  這個恩典是一個人的名字啦
[00:03:19.300 --> 00:03:21.100]  這個人就覺得很奇怪
[00:03:21.100 --> 00:03:22.400]  哪個恩典啊
[00:03:22.400 --> 00:03:25.000]  因為有些人的名字是叫做恩典的
[00:03:25.000 --> 00:03:28.000]  莫名其妙為什麼有人來問他
[00:03:28.000 --> 00:03:29.800]  恩典是什麼
[00:03:29.800 --> 00:03:31.200]  問他知道不知道
[00:03:31.200 --> 00:03:34.000]  問他恩典是什麼你知不知道呢
[00:03:34.000 --> 00:03:37.100]  各位我相信我們做基督徒的
[00:03:37.100 --> 00:03:39.100]  各位我深信我們做基督徒的
[00:03:39.100 --> 00:03:41.700]  也有好多故事分明明白
[00:03:41.700 --> 00:03:43.700]  聖的恩到底是什麼一回事
[00:03:43.700 --> 00:03:47.300]  有好多人不明白恩典到底是什麼意思
[00:03:47.300 --> 00:03:50.500]  許多現在傳道的人
[00:03:50.500 --> 00:03:52.300]  許多現在傳道的人
[00:03:52.300 --> 00:03:56.900]  不注重人是在罪惡裡面死了
[00:03:56.900 --> 00:04:00.300]  他不注重到人原本是在罪惡裡面死掉
[00:04:00.300 --> 00:04:02.000]  自己是毫無辦法
[00:04:02.000 --> 00:04:03.900]  是自己毫無辦法的
[00:04:03.900 --> 00:04:06.900]  他們不過是哦請你來信耶穌就夠了
[00:04:06.900 --> 00:04:09.400]  他們以為呢不過是請你來信耶穌就夠了
[00:04:09.400 --> 00:04:11.000]  信耶穌如何如何的好
[00:04:11.000 --> 00:04:13.100]  信耶穌有如何如何的好處
[00:04:13.100 --> 00:04:14.700]  我們總要認清楚
[00:04:14.700 --> 00:04:16.700]  我們如果不信耶穌
[00:04:16.700 --> 00:04:18.900]  我們是絕無指望的人
[00:04:18.900 --> 00:04:20.300]  我們一定要認清楚
[00:04:20.300 --> 00:04:21.500]  如果我們不信耶穌
[00:04:21.500 --> 00:04:23.800]  我們是絕對沒有指望的
[00:04:23.800 --> 00:04:26.900]  所以我們要認清楚到底恩典是什麼
[00:04:26.900 --> 00:04:30.800]  所以我們要認清楚到底恩典是什麼
[00:04:30.800 --> 00:04:34.400]  如果一個人得罪了什麼
[00:04:34.400 --> 00:04:36.500]  他不應當得的
[00:04:36.500 --> 00:04:38.000]  如果一個人得罪了一些東西
[00:04:38.000 --> 00:04:40.300]  是他不應當得的
[00:04:40.300 --> 00:04:42.700]  沒有一點條件得這個東西
