
[00:00:00.000 --> 00:00:02.320]  提摩特赫書是很值得我們留意的
[00:00:02.320 --> 00:00:04.800]  雖然是一本很短的書
[00:00:04.800 --> 00:00:10.160]  提摩特赫書一方面是保羅臨終的遺言
[00:00:10.160 --> 00:00:13.040]  他自己知道他在坐牢
[00:00:13.040 --> 00:00:14.080]  在羅馬
[00:00:14.080 --> 00:00:18.600]  歷史告訴我們他寫完這封書之後
[00:00:18.600 --> 00:00:21.520]  幾個月就被斬頭了
[00:00:21.520 --> 00:00:23.640]  所以是他最後的說話
[00:00:23.640 --> 00:00:28.320]  一個這麼偉大的信徒一定有很多東西想說
[00:00:28.480 --> 00:00:30.400]  他最後有機會說的時候
[00:00:30.400 --> 00:00:31.000]  是什麼呢
[00:00:31.000 --> 00:00:34.360]  我們帶著這樣的心情去看這本書
[00:00:34.360 --> 00:00:37.200]  看看當中有什麼重要的祝福
[00:00:37.200 --> 00:00:38.640]  留給提摩泰
[00:00:38.640 --> 00:00:41.240]  也留給你和我今天的信徒
[00:00:41.240 --> 00:00:45.200]  而且提摩泰和保羅當日所面對的世界
[00:00:45.200 --> 00:00:47.440]  和我們今天其實有很多的相似
[00:00:47.440 --> 00:00:48.920]  很共鳴的
[00:00:48.920 --> 00:00:50.480]  當時的世界
[00:00:50.480 --> 00:00:53.640]  按照我們所見到的提摩特赫書裡面所寫的
[00:00:53.640 --> 00:00:55.280]  是一個失控的世界
[00:00:55.280 --> 00:00:57.760]  是一個越來越令人失望的世界
[00:00:58.400 --> 00:00:59.800]  甚至是一個
[00:00:59.800 --> 00:01:01.840]  是不可理喻的世界
[00:01:01.840 --> 00:01:03.120]  就像今天這樣
[00:01:03.120 --> 00:01:06.040]  所以我們說這個一定得到我們的共鳴
[00:01:06.040 --> 00:01:07.280]  究竟有什麼
[00:01:07.280 --> 00:01:10.080]  可以令基督徒在這麼困難的日子裡面
[00:01:10.080 --> 00:01:11.640]  仍然可以向前走
[00:01:11.640 --> 00:01:14.520]  仍然可以裝備自己呢
[00:01:14.520 --> 00:01:15.600]  這個就是我們
[00:01:15.600 --> 00:01:18.440]  想看到提摩泰赫書的
[00:01:18.440 --> 00:01:19.800]  信息和祝福
[00:01:19.800 --> 00:01:21.800]  我們上一次
[00:01:21.800 --> 00:01:22.920]  如果你有來崇拜
[00:01:22.920 --> 00:01:23.960]  你都記得
[00:01:23.960 --> 00:01:25.320]  我們第一個題目
